Input Number, Run_Number, Result@ 100, prey_g616, prey_mrna595, predator_H2, predator_Q2b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_Q2b_H2, prey_g594, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 053, F, 0, 0, 0, 0, 1, 1, 0, 3, 2, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 111, 2, 94, 106, 104, 102, 100, 97, 56, 118, 3, 110, 3, 40, 57, 4, 34, 101, 0, 0, 0, 100, 130, 78, 78, 1, 1, 0, 0, 2, 2, 5, 0, 131, 0, 2, 60, 0, 61, 61, 3, 3, 136, 102, 95, 4, 4
INVAR-1, Run: 054, F, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 102, 0, 96, 88, 88, 89, 89, 127, 94, 69, 0, 101, 0, 32, 26, 1, 31, 108, 0, 0, 0, 107, 99, 94, 94, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 43, 0, 43, 43, 0, 0, 91, 60, 97, 0, 0
INVAR-1, Run: 055, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 103, 0, 90, 99, 99, 101, 100, 95, 54, 91, 0, 103, 0, 41, 45, 1, 28, 96, 0, 0, 0, 95, 106, 82, 82, 1, 1, 0, 0, 0, 0, 0, 0, 107, 0, 0, 46, 0, 46, 46, 0, 0, 119, 91, 90, 0, 0
INVAR-1, Run: 056, F, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 107, 2, 120, 135, 135, 93, 92, 71, 31, 101, 7, 106, 7, 39, 56, 6, 20, 74, 0, 0, 0, 72, 113, 70, 69, 9, 9, 6, 6, 10, 9, 10, 0, 113, 0, 5, 45, 1, 45, 45, 5, 5, 111, 91, 118, 2, 2
INVAR-1, Run: 057, F, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 5, 101, 80, 79, 100, 99, 75, 48, 59, 1, 94, 1, 27, 30, 1, 31, 100, 0, 0, 0, 99, 103, 103, 103, 2, 2, 1, 1, 0, 0, 0, 0, 104, 0, 0, 29, 0, 29, 29, 0, 0, 93, 62, 98, 3, 3
INVAR-1, Run: 058, F, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 3, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 117, 8, 98, 86, 86, 104, 101, 116, 81, 85, 8, 116, 8, 34, 38, 6, 60, 103, 0, 0, 0, 102, 153, 96, 95, 8, 8, 4, 4, 10, 8, 10, 0, 153, 0, 5, 47, 2, 47, 47, 5, 5, 136, 76, 90, 5, 5
INVAR-1, Run: 059, F, 0, 1, 0, 2, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 94, 96, 96, 106, 105, 94, 60, 60, 1, 93, 1, 34, 33, 1, 17, 90, 0, 0, 0, 88, 87, 80, 80, 2, 2, 3, 3, 2, 2, 0, 0, 86, 0, 0, 27, 0, 27, 27, 0, 0, 95, 77, 95, 1, 1
INVAR-1, Run: 060, F, 0, 1, 0, 2, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 1, 1, 106, 0, 87, 100, 100, 91, 91, 73, 41, 77, 0, 104, 0, 32, 37, 1, 17, 107, 0, 0, 0, 105, 108, 103, 100, 1, 1, 0, 0, 0, 0, 0, 0, 107, 0, 0, 39, 0, 40, 40, 0, 0, 102, 84, 87, 0, 0
INVAR-1, Run: 061, F, 0, 0, 0, 4, 1, 2, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 106, 12, 87, 85, 85, 101, 101, 91, 53, 54, 11, 104, 11, 38, 22, 4, 23, 109, 0, 0, 0, 108, 121, 86, 86, 4, 4, 7, 7, 6, 6, 5, 0, 118, 0, 2, 31, 0, 31, 31, 3, 3, 106, 81, 75, 14, 14
INVAR-1, Run: 062, F, 0, 2, 0, 0, 1, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 1, 94, 1, 117, 131, 129, 98, 97, 112, 68, 74, 4, 94, 4, 44, 34, 2, 28, 98, 0, 0, 0, 95, 85, 98, 97, 7, 7, 5, 5, 6, 6, 4, 0, 86, 0, 3, 37, 0, 40, 39, 1, 1, 86, 58, 117, 6, 6
INVAR-1, Run: 063, F, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 101, 0, 87, 83, 83, 91, 91, 80, 42, 81, 0, 100, 0, 38, 45, 1, 31, 114, 0, 0, 0, 112, 101, 133, 133, 1, 1, 0, 0, 0, 0, 0, 0, 101, 0, 0, 35, 0, 36, 36, 0, 0, 113, 82, 88, 0, 0
INVAR-1, Run: 064, F, 0, 2, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 92, 1, 100, 104, 102, 99, 99, 110, 63, 41, 3, 91, 3, 46, 25, 1, 26, 89, 0, 0, 0, 86, 87, 76, 75, 1, 1, 2, 2, 0, 0, 0, 0, 88, 0, 0, 15, 0, 16, 15, 0, 0, 80, 54, 100, 5, 5
INVAR-1, Run: 065, F, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 92, 1, 99, 102, 102, 102, 100, 111, 78, 59, 3, 91, 3, 31, 24, 3, 24, 111, 0, 0, 0, 109, 81, 101, 101, 1, 1, 1, 1, 4, 3, 3, 0, 81, 0, 1, 35, 1, 35, 35, 2, 2, 79, 55, 99, 3, 3
INVAR-1, Run: 066, F, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 1, 1, 78, 0, 101, 104, 103, 91, 91, 67, 42, 66, 0, 78, 0, 25, 26, 1, 30, 82, 0, 0, 0, 80, 77, 88, 86, 1, 1, 0, 0, 0, 0, 0, 0, 78, 0, 0, 37, 0, 39, 38, 0, 0, 90, 59, 102, 0, 0
INVAR-1, Run: 067, F, 0, 0, 0, 3, 1, 2, 0, 2, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 93, 0, 105, 117, 117, 91, 91, 116, 63, 55, 0, 91, 0, 53, 28, 1, 35, 98, 0, 0, 0, 97, 88, 111, 111, 2, 2, 3, 3, 1, 1, 1, 0, 86, 0, 1, 26, 0, 27, 26, 0, 0, 104, 67, 107, 0, 0
INVAR-1, Run: 068, F, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 97, 0, 97, 108, 108, 87, 86, 93, 56, 52, 0, 96, 0, 36, 31, 1, 20, 79, 0, 0, 0, 78, 114, 77, 77, 1, 1, 0, 0, 1, 1, 0, 0, 114, 0, 0, 19, 0, 19, 19, 0, 0, 84, 63, 97, 0, 0
INVAR-1, Run: 069, F, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 96, 5, 92, 98, 96, 94, 93, 97, 59, 42, 6, 96, 6, 38, 22, 14, 16, 98, 0, 0, 0, 96, 89, 94, 91, 13, 13, 11, 11, 20, 17, 22, 1, 90, 1, 9, 20, 3, 20, 20, 13, 13, 70, 54, 87, 4, 4
INVAR-1, Run: 070, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 100, 0, 84, 79, 79, 106, 105, 127, 85, 73, 0, 100, 0, 41, 39, 1, 34, 95, 0, 0, 0, 94, 100, 86, 85, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 30, 0, 34, 33, 0, 0, 99, 65, 84, 0, 0
INVAR-1, Run: 071, F, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 4, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 112, 0, 89, 89, 89, 112, 108, 102, 71, 87, 1, 110, 1, 26, 38, 1, 32, 99, 0, 0, 0, 97, 122, 90, 90, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 49, 0, 49, 49, 0, 0, 110, 78, 89, 0, 0
INVAR-1, Run: 072, F, 0, 0, 0, 1, 1, 0, 0, 2, 4, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 117, 12, 101, 114, 110, 91, 89, 89, 46, 98, 4, 117, 4, 43, 50, 4, 18, 82, 0, 0, 0, 81, 132, 87, 87, 3, 3, 2, 2, 4, 3, 4, 0, 132, 0, 1, 48, 1, 48, 48, 3, 3, 109, 91, 91, 9, 9
INVAR-1, Run: 073, F, 0, 3, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 103, 3, 101, 107, 106, 94, 94, 80, 58, 44, 2, 103, 2, 22, 21, 3, 23, 86, 0, 0, 0, 82, 92, 85, 82, 2, 2, 1, 1, 3, 3, 8, 0, 93, 0, 6, 23, 0, 23, 23, 2, 2, 68, 45, 98, 2, 2
INVAR-1, Run: 074, F, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 94, 0, 106, 105, 105, 78, 77, 80, 51, 75, 1, 94, 1, 29, 43, 1, 26, 114, 0, 0, 0, 113, 94, 132, 132, 1, 1, 1, 1, 0, 0, 0, 0, 95, 0, 0, 30, 0, 31, 31, 0, 0, 95, 67, 108, 0, 0
INVAR-1, Run: 075, F, 0, 3, 0, 1, 1, 1, 0, 2, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 102, 0, 105, 108, 106, 99, 99, 84, 59, 59, 0, 101, 0, 25, 30, 1, 23, 100, 0, 0, 0, 96, 115, 102, 100, 2, 2, 3, 3, 6, 4, 3, 0, 115, 0, 3, 29, 2, 29, 29, 0, 0, 100, 76, 107, 0, 0
INVAR-1, Run: 076, F, 0, 1, 0, 1, 1, 3, 0, 1, 3, 1, 1, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 118, 8, 103, 103, 100, 104, 103, 130, 88, 81, 2, 115, 2, 42, 43, 4, 25, 94, 2, 2, 3, 95, 100, 87, 86, 5, 5, 5, 5, 3, 3, 4, 5, 100, 5, 1, 38, 0, 38, 38, 3, 3, 100, 72, 96, 4, 4
INVAR-1, Run: 077, F, 0, 0, 0, 1, 1, 1, 0, 1, 3, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 97, 0, 107, 110, 107, 107, 106, 91, 48, 63, 1, 96, 1, 43, 28, 1, 29, 118, 0, 0, 0, 117, 74, 133, 132, 4, 4, 3, 3, 1, 0, 1, 0, 74, 0, 1, 32, 1, 34, 33, 0, 0, 94, 64, 108, 1, 1
INVAR-1, Run: 078, F, 0, 1, 0, 3, 1, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 108, 0, 109, 96, 95, 100, 99, 112, 67, 76, 1, 108, 1, 44, 46, 1, 40, 94, 0, 0, 0, 92, 123, 88, 87, 1, 1, 2, 2, 0, 0, 0, 0, 121, 0, 0, 29, 0, 30, 30, 0, 0, 103, 62, 111, 1, 1
INVAR-1, Run: 079, F, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 97, 4, 113, 125, 124, 75, 74, 88, 49, 82, 4, 96, 4, 39, 38, 1, 24, 106, 0, 0, 0, 105, 91, 81, 81, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 43, 0, 44, 44, 0, 0, 93, 69, 109, 2, 2
INVAR-1, Run: 080, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 101, 0, 96, 93, 93, 79, 78, 80, 47, 62, 0, 101, 0, 31, 26, 1, 15, 95, 0, 0, 0, 94, 97, 92, 91, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 36, 0, 36, 36, 0, 0, 80, 65, 96, 0, 0
INVAR-1, Run: 081, F, 0, 0, 0, 2, 1, 3, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 96, 94, 94, 94, 94, 86, 63, 50, 0, 92, 0, 22, 24, 3, 16, 100, 0, 0, 0, 99, 78, 96, 96, 6, 6, 8, 8, 5, 5, 6, 0, 77, 0, 4, 26, 0, 26, 26, 2, 2, 76, 60, 98, 0, 0
INVAR-1, Run: 082, F, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 90, 0, 110, 79, 79, 90, 89, 86, 53, 74, 0, 90, 0, 32, 37, 1, 39, 87, 0, 0, 0, 86, 96, 80, 80, 3, 3, 3, 3, 0, 0, 0, 0, 95, 0, 0, 37, 0, 37, 37, 0, 0, 110, 70, 110, 0, 0
INVAR-1, Run: 083, F, 0, 3, 0, 0, 1, 0, 0, 2, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 83, 0, 92, 70, 68, 109, 107, 95, 64, 59, 0, 83, 0, 31, 35, 1, 26, 95, 0, 0, 0, 91, 89, 85, 84, 1, 1, 0, 0, 0, 0, 0, 0, 90, 0, 0, 24, 0, 24, 24, 0, 0, 95, 69, 94, 0, 0
INVAR-1, Run: 084, F, 0, 1, 0, 2, 1, 2, 0, 1, 0, 1, 2, 0, 2, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 1, 100, 0, 107, 86, 86, 93, 91, 86, 59, 125, 0, 98, 0, 27, 64, 1, 15, 96, 0, 0, 0, 94, 96, 94, 92, 1, 1, 0, 0, 0, 0, 0, 0, 95, 0, 0, 59, 0, 60, 60, 0, 0, 99, 82, 108, 0, 0
INVAR-1, Run: 085, F, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 111, 7, 109, 112, 111, 82, 81, 94, 62, 79, 9, 110, 9, 31, 36, 2, 10, 103, 0, 0, 0, 101, 89, 91, 90, 3, 3, 2, 2, 2, 2, 1, 0, 89, 0, 0, 39, 0, 42, 40, 1, 1, 90, 79, 102, 12, 12
INVAR-1, Run: 086, F, 0, 1, 0, 2, 1, 3, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 109, 0, 113, 107, 107, 99, 99, 119, 86, 69, 2, 106, 2, 33, 26, 2, 41, 106, 0, 0, 0, 104, 116, 96, 96, 2, 2, 3, 3, 5, 3, 2, 0, 115, 0, 1, 40, 2, 42, 42, 1, 1, 107, 65, 113, 4, 4
INVAR-1, Run: 087, F, 0, 3, 0, 2, 1, 1, 0, 0, 1, 1, 1, 0, 2, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 113, 0, 102, 100, 99, 92, 91, 104, 70, 71, 0, 112, 0, 34, 31, 2, 38, 95, 0, 0, 0, 91, 101, 105, 101, 4, 4, 0, 0, 2, 0, 2, 0, 100, 0, 1, 40, 2, 40, 40, 1, 1, 113, 73, 102, 0, 0
INVAR-1, Run: 088, F, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 103, 0, 87, 93, 92, 74, 74, 53, 45, 42, 2, 102, 2, 8, 14, 2, 9, 101, 0, 0, 0, 100, 82, 104, 103, 5, 5, 1, 1, 3, 2, 1, 0, 83, 0, 0, 27, 1, 28, 27, 1, 1, 83, 73, 87, 1, 1
INVAR-1, Run: 089, F, 0, 0, 0, 1, 1, 4, 0, 1, 0, 1, 3, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 102, 113, 113, 101, 98, 94, 45, 42, 0, 91, 0, 49, 19, 3, 23, 108, 0, 0, 0, 107, 92, 76, 75, 2, 2, 0, 0, 2, 2, 5, 0, 92, 0, 3, 22, 0, 22, 22, 2, 2, 72, 48, 103, 0, 0
INVAR-1, Run: 090, F, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 97, 6, 99, 91, 90, 89, 89, 95, 68, 74, 10, 97, 10, 27, 30, 6, 42, 89, 0, 0, 0, 85, 95, 90, 89, 7, 7, 5, 5, 5, 2, 5, 0, 96, 0, 0, 43, 3, 44, 44, 5, 5, 112, 70, 94, 5, 5
INVAR-1, Run: 091, F, 0, 1, 0, 2, 1, 1, 0, 1, 0, 1, 2, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 89, 9, 98, 100, 100, 111, 109, 104, 65, 50, 10, 88, 10, 38, 27, 4, 19, 101, 7, 7, 6, 105, 71, 90, 89, 2, 2, 7, 7, 3, 3, 4, 2, 70, 2, 1, 22, 0, 22, 22, 3, 3, 65, 45, 90, 10, 10
INVAR-1, Run: 092, F, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 88, 3, 97, 129, 126, 108, 107, 110, 55, 49, 1, 88, 1, 54, 23, 5, 16, 90, 0, 0, 0, 89, 92, 95, 94, 5, 5, 3, 3, 5, 5, 7, 0, 93, 0, 3, 26, 0, 26, 26, 4, 4, 67, 51, 95, 1, 1
INVAR-1, Run: 093, F, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 109, 0, 85, 82, 82, 90, 89, 74, 50, 86, 2, 108, 2, 22, 37, 1, 26, 105, 0, 0, 0, 104, 108, 137, 137, 1, 1, 2, 2, 0, 0, 0, 0, 108, 0, 0, 48, 0, 48, 48, 0, 0, 112, 85, 86, 2, 2
INVAR-1, Run: 094, F, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 102, 0, 101, 111, 110, 107, 106, 100, 62, 84, 1, 101, 1, 38, 40, 1, 39, 88, 0, 0, 0, 87, 154, 81, 81, 2, 2, 3, 3, 2, 2, 1, 0, 154, 0, 1, 44, 0, 44, 44, 0, 0, 117, 78, 101, 1, 1
INVAR-1, Run: 095, F, 0, 0, 0, 0, 1, 0, 0, 3, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 80, 1, 100, 95, 93, 82, 82, 92, 58, 52, 2, 80, 2, 34, 32, 6, 20, 92, 0, 0, 0, 91, 63, 103, 103, 5, 5, 2, 2, 8, 3, 8, 0, 64, 0, 3, 20, 5, 20, 20, 5, 5, 83, 62, 102, 2, 2
INVAR-1, Run: 096, F, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 88, 4, 115, 74, 74, 101, 101, 100, 67, 65, 2, 88, 2, 33, 34, 1, 26, 81, 0, 0, 0, 78, 82, 99, 95, 1, 1, 1, 1, 1, 0, 0, 0, 83, 0, 0, 31, 1, 31, 31, 0, 0, 90, 64, 111, 3, 3
INVAR-1, Run: 097, F, 0, 0, 0, 0, 1, 0, 0, 2, 2, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 100, 0, 100, 91, 89, 100, 98, 63, 45, 96, 1, 100, 1, 17, 48, 1, 22, 105, 0, 0, 0, 104, 91, 101, 101, 3, 3, 2, 2, 0, 0, 0, 0, 92, 0, 0, 47, 0, 48, 48, 0, 0, 107, 85, 102, 0, 0
INVAR-1, Run: 098, F, 0, 1, 0, 0, 1, 0, 0, 1, 3, 1, 1, 0, 2, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 93, 4, 108, 106, 103, 116, 115, 87, 50, 72, 3, 93, 3, 37, 41, 1, 19, 107, 0, 0, 0, 105, 93, 107, 107, 1, 1, 0, 0, 0, 0, 0, 0, 94, 0, 0, 27, 0, 28, 28, 0, 0, 93, 72, 105, 5, 5
INVAR-1, Run: 099, F, 0, 1, 0, 0, 1, 2, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 100, 2, 89, 63, 62, 101, 101, 82, 68, 67, 5, 98, 5, 14, 35, 1, 35, 107, 0, 0, 0, 105, 115, 86, 85, 4, 4, 1, 1, 1, 1, 0, 0, 116, 0, 0, 31, 0, 32, 32, 0, 0, 103, 68, 89, 5, 5
INVAR-1, Run: 100, F, 0, 3, 0, 2, 1, 1, 0, 2, 2, 1, 2, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 103, 0, 89, 113, 111, 94, 92, 102, 63, 74, 0, 102, 0, 36, 41, 1, 26, 101, 0, 0, 0, 97, 91, 106, 105, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 33, 0, 33, 33, 0, 0, 104, 77, 91, 0, 0
