Input Number, Run_Number, Result@ 100, B, F, X1, A, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 75, 10, 8, 75, 9, 5, 3, 8, 9, 18, 66, 33
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 66, 9, 9, 66, 9, 6, 2, 9, 6, 18, 47, 22
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 74, 7, 7, 74, 9, 8, 0, 9, 7, 18, 144, 71
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 0, 9, 4, 18, 179, 7, 7, 179, 9, 7, 1, 9, 5, 18, 78, 37
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 109, 8, 8, 109, 9, 6, 2, 9, 7, 18, 204, 101
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8, 1, 18, 141, 11, 9, 141, 9, 5, 3, 8, 8, 18, 111, 55
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 0, 9, 4, 18, 155, 5, 5, 155, 9, 6, 2, 9, 5, 18, 98, 47
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 172, 10, 10, 172, 9, 6, 2, 9, 6, 18, 45, 21
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8, 2, 18, 116, 6, 4, 116, 9, 4, 4, 8, 7, 18, 38, 18
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 132, 27, 27, 132, 9, 5, 3, 9, 8, 18, 81, 40
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 107, 3, 3, 107, 9, 5, 3, 9, 8, 18, 33, 16
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 129, 7, 7, 129, 9, 4, 4, 9, 8, 18, 69, 34
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 71, 4, 4, 71, 9, 7, 1, 9, 9, 18, 38, 19
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 0, 9, 4, 18, 134, 3, 3, 134, 9, 6, 2, 9, 5, 18, 64, 30
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8, 2, 18, 44, 8, 6, 44, 9, 4, 4, 8, 7, 18, 64, 31
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 150, 5, 5, 150, 9, 6, 2, 9, 8, 18, 71, 35
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 0, 9, 4, 18, 109, 9, 9, 109, 9, 5, 3, 9, 5, 18, 88, 42
