Input Number, Run_Number, Result@ 100, X1, H, M, PE, PO, CE, Y, D, CO, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 085, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 13, 45, 9, 10, 16, 9, 18, 27, 22, 45
INVAR-1, Run: 086, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 33, 151, 9, 17, 9, 9, 18, 27, 42, 151
INVAR-1, Run: 087, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 22, 92, 9, 12, 14, 9, 18, 27, 31, 92
INVAR-1, Run: 088, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 32, 152, 9, 16, 10, 9, 18, 27, 41, 152
INVAR-1, Run: 089, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 108, 9, 12, 14, 9, 18, 27, 38, 108
INVAR-1, Run: 090, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 20, 105, 9, 13, 13, 9, 18, 27, 29, 105
INVAR-1, Run: 091, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 28, 128, 9, 14, 12, 9, 18, 27, 37, 128
INVAR-1, Run: 092, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 11, 116, 9, 15, 11, 9, 18, 27, 20, 116
INVAR-1, Run: 093, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 18, 160, 9, 14, 12, 9, 18, 27, 27, 160
INVAR-1, Run: 094, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 292, 9, 16, 10, 9, 18, 27, 38, 292
