Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 107, 5, 5, 107, 9, 3, 5, 9, 9, 18, 390, 195
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 173, 7, 7, 173, 9, 6, 2, 9, 9, 18, 106, 53
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 170, 7, 5, 170, 9, 4, 4, 8, 9, 18, 78, 39
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 108, 6, 4, 108, 9, 5, 3, 8, 9, 18, 146, 73
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 50, 5, 5, 50, 9, 6, 2, 9, 9, 18, 252, 126
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 128, 9, 7, 128, 9, 7, 1, 8, 9, 18, 70, 35
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 107, 12, 12, 107, 9, 4, 4, 9, 9, 18, 562, 281
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 139, 4, 4, 139, 9, 5, 3, 9, 9, 18, 56, 28
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 89, 4, 4, 89, 9, 6, 2, 9, 9, 18, 44, 22
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 121, 5, 5, 121, 9, 5, 3, 9, 9, 18, 204, 102
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 106, 5, 3, 106, 9, 4, 4, 8, 9, 18, 98, 49
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 79, 6, 4, 79, 9, 5, 3, 8, 9, 18, 448, 224
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 127, 7, 7, 127, 9, 5, 3, 9, 9, 18, 254, 127
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 135, 3, 3, 135, 9, 5, 3, 9, 9, 18, 76, 38
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 57, 4, 2, 57, 9, 2, 6, 8, 9, 18, 94, 47
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 63, 4, 4, 63, 9, 5, 3, 9, 9, 18, 64, 32
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 105, 7, 7, 105, 9, 6, 2, 9, 9, 18, 36, 18
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 118, 7, 7, 118, 9, 7, 1, 9, 9, 18, 294, 147
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 85, 9, 9, 85, 9, 5, 3, 9, 9, 18, 66, 33
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 83, 5, 3, 83, 9, 6, 2, 8, 9, 18, 120, 60
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 74, 11, 11, 74, 9, 6, 2, 9, 9, 18, 132, 66
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 121, 6, 6, 121, 9, 7, 1, 9, 9, 18, 64, 32
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 137, 6, 6, 137, 9, 5, 3, 9, 9, 18, 70, 35
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 83, 7, 5, 83, 9, 6, 2, 8, 9, 18, 168, 84
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 92, 7, 7, 92, 9, 3, 5, 9, 9, 18, 56, 28
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 61, 8, 8, 61, 9, 5, 3, 9, 9, 18, 96, 48
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 130, 10, 8, 130, 9, 5, 3, 8, 9, 18, 130, 65
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 125, 6, 4, 125, 9, 3, 5, 8, 9, 18, 114, 57
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 61, 8, 6, 61, 9, 4, 4, 8, 9, 18, 88, 44
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 106, 11, 9, 106, 9, 3, 5, 8, 9, 18, 240, 120
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 40, 11, 9, 40, 9, 7, 1, 8, 9, 18, 116, 58
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 87, 8, 6, 87, 9, 2, 6, 8, 9, 18, 96, 48
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 89, 1, 1, 89, 9, 6, 2, 9, 9, 18, 102, 51
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 117, 3, 3, 117, 9, 5, 3, 9, 9, 18, 242, 121
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 107, 8, 8, 107, 9, 3, 5, 9, 9, 18, 82, 41
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 240, 1, 1, 240, 9, 8, 0, 9, 9, 18, 128, 64
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 110, 2, 2, 110, 9, 5, 3, 9, 9, 18, 202, 101
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 157, 10, 10, 157, 9, 5, 3, 9, 9, 18, 110, 55
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 154, 6, 6, 154, 9, 5, 3, 9, 9, 18, 310, 155
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 163, 5, 5, 163, 9, 7, 1, 9, 9, 18, 130, 65
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 83, 14, 14, 83, 9, 6, 2, 9, 9, 18, 120, 60
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 93, 7, 7, 93, 9, 3, 5, 9, 9, 18, 90, 45
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 62, 3, 3, 62, 9, 5, 3, 9, 9, 18, 240, 120
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 88, 7, 5, 88, 9, 5, 3, 8, 9, 18, 442, 221
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 145, 8, 8, 145, 9, 4, 4, 9, 9, 18, 458, 229
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 77, 5, 5, 77, 9, 5, 3, 9, 9, 18, 34, 17
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 123, 11, 9, 123, 9, 7, 1, 8, 9, 18, 294, 147
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 129, 9, 9, 129, 9, 4, 4, 9, 9, 18, 70, 35
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 35, 7, 5, 35, 9, 6, 2, 8, 9, 18, 124, 62
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 112, 5, 5, 112, 9, 4, 4, 9, 9, 18, 76, 38
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 95, 2, 2, 95, 9, 8, 0, 9, 9, 18, 134, 67
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 78, 7, 5, 78, 9, 1, 7, 8, 9, 18, 64, 32
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 146, 6, 6, 146, 9, 3, 5, 9, 9, 18, 102, 51
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 86, 1, 1, 86, 9, 6, 2, 9, 9, 18, 120, 60
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 160, 3, 3, 160, 9, 5, 3, 9, 9, 18, 328, 164
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 121, 7, 5, 121, 9, 7, 1, 8, 9, 18, 140, 70
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 101, 9, 9, 101, 9, 6, 2, 9, 9, 18, 106, 53
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 71, 2, 2, 71, 9, 7, 1, 9, 9, 18, 26, 13
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 88, 6, 6, 88, 9, 5, 3, 9, 9, 18, 168, 84
