Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 79, 37, 95, 89, 71, 66, 57, 54, 18, 611, 5, 9, 3, 4, 50, 50, 405, 311, 232, 195, 206, 94
INVAR-1, Run: 002, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 61, 59, 56, 51, 50, 2, 100, 3, 5, 1, 0, 50, 50, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 003, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 70, 66, 157, 93, 82, 72, 61, 55, 11, 642, 10, 11, 6, 5, 50, 50, 490, 393, 323, 257, 152, 97
INVAR-1, Run: 004, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 58, 31, 30, 102, 69, 59, 55, 54, 33, 597, 10, 4, 1, 4, 50, 50, 339, 219, 161, 130, 258, 120
INVAR-1, Run: 005, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 74, 46, 51, 101, 81, 69, 65, 59, 20, 659, 12, 4, 6, 9, 50, 50, 402, 271, 197, 151, 257, 131
INVAR-1, Run: 006, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 87, 64, 204, 62, 58, 55, 54, 53, 4, 777, 3, 1, 1, 3, 50, 50, 580, 455, 368, 304, 197, 125
INVAR-1, Run: 007, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 94, 52, 136, 96, 84, 71, 62, 51, 12, 754, 13, 9, 11, 1, 50, 50, 539, 382, 288, 236, 215, 157
INVAR-1, Run: 008, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 79, 48, 65, 89, 81, 71, 62, 55, 8, 545, 10, 9, 7, 5, 50, 50, 391, 292, 213, 165, 154, 99
INVAR-1, Run: 009, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 65, 34, 75, 80, 64, 60, 56, 54, 16, 542, 4, 4, 2, 4, 50, 50, 374, 274, 209, 175, 168, 100
INVAR-1, Run: 010, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 80, 26, 67, 88, 77, 65, 59, 54, 11, 661, 12, 6, 5, 4, 50, 50, 415, 273, 193, 167, 246, 142
INVAR-1, Run: 011, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 51, 30, 40, 86, 73, 66, 61, 57, 13, 435, 7, 5, 4, 7, 50, 50, 292, 221, 170, 140, 143, 71
INVAR-1, Run: 012, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 72, 64, 222, 90, 72, 62, 57, 53, 18, 850, 10, 5, 4, 3, 50, 50, 596, 458, 386, 322, 254, 138
INVAR-1, Run: 013, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 76, 48, 53, 96, 77, 70, 60, 54, 19, 743, 7, 10, 6, 4, 50, 50, 454, 277, 201, 153, 289, 177
INVAR-1, Run: 014, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 68, 63, 59, 56, 55, 5, 100, 4, 3, 1, 5, 50, 50, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 015, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 61, 42, 52, 103, 87, 71, 62, 54, 16, 595, 16, 9, 8, 4, 50, 50, 379, 255, 194, 152, 216, 124
INVAR-1, Run: 016, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 68, 33, 50, 114, 98, 81, 64, 58, 16, 639, 17, 17, 6, 8, 50, 50, 401, 251, 183, 150, 238, 150
INVAR-1, Run: 017, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 57, 45, 51, 84, 76, 69, 59, 52, 8, 520, 7, 10, 7, 2, 50, 50, 360, 253, 196, 151, 160, 107
INVAR-1, Run: 018, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 60, 56, 54, 50, 50, 4, 100, 2, 4, 0, 0, 50, 50, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 019, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 70, 37, 53, 92, 80, 67, 61, 53, 12, 645, 13, 6, 8, 3, 50, 50, 400, 260, 190, 153, 245, 140
INVAR-1, Run: 020, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 10, 1, 2, 10, 78, 40, 35, 116, 88, 72, 65, 56, 28, 751, 16, 7, 9, 6, 50, 50, 432, 253, 175, 135, 319, 179
