Input Number, Run_Number, Result@ 100, ao, SetABX1, SetX1ab, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 17, 7, 2, 0, 8, 1, 0, 8, 1, 12, 2, 1, 1, 14, 4, 0, 23, 5, 28, 6, 1, 1, 0, 8, 1, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 17, 1, 0, 0, 5, 1, 2, 2, 1, 1, 1, 1, 1, 3, 0, 11, 0, 33, 1, 0, 0, 0, 0, 0, 0, 0, 6, 6, 2, 8, 3, 1, 6, 0, 0, 21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 18, 7, 2, 0, 8, 1, 0, 2, 0, 6, 1, 0, 1, 16, 2, 0, 14, 5, 17, 6, 1, 1, 0, 9, 0, 0, 2, 0, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 16, 2, 0, 30, 1, 8, 33, 9, 1, 1, 0, 0, 1, 3, 0, 6, 0, 21, 1, 0, 0, 0, 0, 0, 0, 0, 2, 17, 5, 19, 6, 1, 6, 0, 0, 32, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 17, 9, 0, 0, 8, 1, 0, 44, 5, 46, 6, 1, 1, 17, 1, 0, 4, 0, 6, 1, 1, 1, 0, 8, 1, 0, 0, 0, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 17, 1, 0, 2, 2, 0, 4, 1, 1, 1, 1, 1, 1, 2, 0, 12, 0, 24, 4, 1, 0, 0, 0, 0, 0, 0, 3, 5, 0, 11, 2, 1, 7, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, P, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 18, 8, 1, 0, 7, 2, 0, 5, 0, 9, 1, 0, 1, 14, 2, 2, 17, 4, 22, 7, 1, 1, 0, 9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 17, 1, 0, 10, 3, 0, 12, 1, 1, 1, 1, 1, 1, 4, 0, 9, 0, 31, 1, 0, 0, 0, 0, 0, 0, 0, 4, 2, 1, 4, 2, 1, 5, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 17, 7, 1, 1, 9, 0, 0, 12, 0, 15, 2, 1, 1, 17, 1, 0, 3, 2, 5, 3, 1, 1, 0, 9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 14, 3, 1, 15, 8, 3, 20, 5, 1, 1, 1, 1, 1, 3, 0, 26, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 0, 5, 1, 1, 6, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 8, 1, 0, 9, 0, 0, 45, 15, 47, 16, 1, 1, 17, 1, 0, 38, 6, 40, 7, 1, 1, 0, 9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 17, 1, 0, 4, 1, 1, 6, 2, 1, 1, 1, 1, 1, 2, 0, 9, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 2, 10, 2, 0, 7, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 6, 0, 0, 0, 0, 1, 1, 1, 0, 9, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 8, 1, 0, 7, 2, 0, 0, 1, 4, 2, 1, 1, 15, 3, 0, 67, 14, 71, 15, 1, 1, 0, 8, 1, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 8, 1, 0, 8, 1, 0, 23, 3, 26, 4, 3, 1, 17, 1, 0, 18, 7, 20, 8, 1, 1, 0, 9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 16, 2, 0, 16, 3, 2, 19, 3, 1, 1, 1, 1, 1, 5, 0, 31, 0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 4, 21, 5, 23, 6, 1, 4, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 17, 8, 1, 0, 6, 3, 0, 11, 1, 16, 2, 1, 1, 16, 2, 0, 24, 4, 27, 5, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 17, 1, 0, 17, 9, 6, 18, 6, 0, 0, 0, 0, 1, 7, 0, 34, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 10, 3, 1, 5, 3, 1, 2, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, P, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 0, 0, 1, 14, 8, 1, 0, 9, 0, 0, 13, 2, 15, 3, 4, 1, 16, 0, 1, 0, 0, 2, 2, 1, 1, 0, 8, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 16, 1, 0, 12, 0, 2, 14, 3, 1, 1, 1, 1, 1, 2, 0, 7, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 1, 4, 1, 6, 3, 1, 6, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
