Input Number, Run_Number, Result@ 100, X1, Y, X2, NEW_REACTION, Reaction1, Reaction2
INVAR-1, Run: 096, P, 2, 242, 0, 115, 266, 24
INVAR-1, Run: 097, P, 6, 214, 0, 103, 238, 24
INVAR-1, Run: 098, P, 3, 221, 0, 105, 245, 24
INVAR-1, Run: 099, P, 0, 186, 0, 86, 210, 24
INVAR-1, Run: 100, P, 0, 238, 0, 112, 262, 24
INVAR-10, Run: 001, P, 6, 206, 0, 102, 248, 42
INVAR-10, Run: 002, P, 0, 204, 0, 98, 246, 42
INVAR-10, Run: 003, P, 3, 219, 0, 107, 261, 42
INVAR-10, Run: 004, P, 1, 211, 0, 102, 253, 42
INVAR-10, Run: 005, P, 0, 220, 0, 106, 262, 42
INVAR-10, Run: 006, P, 0, 202, 0, 97, 244, 42
INVAR-10, Run: 007, P, 8, 214, 0, 107, 256, 42
INVAR-10, Run: 008, P, 2, 200, 0, 97, 242, 42
INVAR-10, Run: 009, P, 0, 204, 0, 98, 246, 42
INVAR-10, Run: 010, P, 1, 199, 0, 96, 241, 42
INVAR-10, Run: 011, P, 2, 192, 0, 93, 234, 42
INVAR-10, Run: 012, P, 0, 220, 0, 106, 262, 42
INVAR-10, Run: 013, P, 0, 208, 0, 100, 250, 42
INVAR-10, Run: 014, P, 0, 206, 0, 99, 248, 42
INVAR-10, Run: 015, P, 3, 219, 0, 107, 261, 42
INVAR-10, Run: 016, P, 2, 228, 0, 111, 270, 42
INVAR-10, Run: 017, P, 3, 205, 0, 100, 247, 42
INVAR-10, Run: 018, P, 0, 188, 0, 90, 230, 42
INVAR-10, Run: 019, P, 0, 174, 0, 83, 216, 42
INVAR-10, Run: 020, P, 2, 212, 0, 103, 254, 42
INVAR-10, Run: 021, P, 0, 198, 0, 95, 240, 42
INVAR-10, Run: 022, P, 0, 192, 0, 92, 234, 42
INVAR-10, Run: 023, P, 1, 185, 0, 89, 227, 42
INVAR-10, Run: 024, P, 1, 201, 0, 97, 243, 42
INVAR-10, Run: 025, P, 0, 222, 0, 107, 264, 42
INVAR-10, Run: 026, P, 1, 187, 0, 90, 229, 42
INVAR-10, Run: 027, P, 3, 205, 0, 100, 247, 42
INVAR-10, Run: 028, P, 3, 217, 0, 106, 259, 42
INVAR-10, Run: 029, P, 3, 179, 0, 87, 221, 42
INVAR-10, Run: 030, P, 2, 224, 0, 109, 266, 42
INVAR-10, Run: 031, P, 4, 212, 0, 104, 254, 42
INVAR-10, Run: 032, P, 2, 226, 0, 110, 268, 42
INVAR-10, Run: 033, P, 1, 217, 0, 105, 259, 42
INVAR-10, Run: 034, P, 9, 191, 0, 96, 233, 42
INVAR-10, Run: 035, P, 3, 191, 0, 93, 233, 42
INVAR-10, Run: 036, P, 1, 209, 0, 101, 251, 42
INVAR-10, Run: 037, P, 5, 179, 0, 88, 221, 42
INVAR-10, Run: 038, P, 1, 185, 0, 89, 227, 42
INVAR-10, Run: 039, P, 0, 206, 0, 99, 248, 42
INVAR-10, Run: 040, P, 4, 182, 0, 89, 224, 42
INVAR-10, Run: 041, P, 1, 221, 0, 107, 263, 42
INVAR-10, Run: 042, P, 6, 222, 0, 110, 264, 42
INVAR-10, Run: 043, P, 4, 178, 0, 87, 220, 42
INVAR-10, Run: 044, P, 1, 197, 0, 95, 239, 42
INVAR-10, Run: 045, P, 0, 182, 0, 87, 224, 42
INVAR-10, Run: 046, P, 0, 214, 0, 103, 256, 42
INVAR-10, Run: 047, P, 4, 208, 0, 102, 250, 42
INVAR-10, Run: 048, P, 2, 204, 0, 99, 246, 42
INVAR-10, Run: 049, P, 3, 173, 0, 84, 215, 42
INVAR-10, Run: 050, P, 2, 202, 0, 98, 244, 42
INVAR-10, Run: 051, P, 0, 208, 0, 100, 250, 42
INVAR-10, Run: 052, P, 2, 200, 0, 97, 242, 42
INVAR-10, Run: 053, P, 1, 215, 0, 104, 257, 42
INVAR-10, Run: 054, P, 3, 189, 0, 92, 231, 42
INVAR-10, Run: 055, P, 0, 204, 0, 98, 246, 42
INVAR-10, Run: 056, P, 3, 199, 0, 97, 241, 42
INVAR-10, Run: 057, P, 4, 210, 0, 103, 252, 42
INVAR-10, Run: 058, P, 0, 230, 0, 111, 272, 42
INVAR-10, Run: 059, P, 2, 194, 0, 94, 236, 42
INVAR-10, Run: 060, P, 1, 207, 0, 100, 249, 42
INVAR-10, Run: 061, P, 1, 193, 0, 93, 235, 42
INVAR-10, Run: 062, P, 7, 229, 0, 114, 271, 42
INVAR-10, Run: 063, P, 0, 194, 0, 93, 236, 42
INVAR-10, Run: 064, P, 2, 212, 0, 103, 254, 42
