Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, A, PE, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 016, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 41, 84, 9, 26, 66, 9, 18, 27, 50, 84
INVAR-1, Run: 017, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 83, 170, 9, 38, 140, 9, 18, 27, 92, 170
INVAR-1, Run: 018, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 34, 73, 9, 17, 64, 9, 18, 27, 43, 73
INVAR-1, Run: 019, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 21, 43, 9, 10, 41, 9, 18, 27, 30, 43
INVAR-1, Run: 020, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 131, 220, 9, 45, 183, 9, 18, 27, 140, 220
INVAR-1, Run: 021, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 88, 116, 9, 29, 95, 9, 18, 27, 97, 116
INVAR-1, Run: 022, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 35, 57, 9, 16, 49, 9, 18, 27, 44, 57
INVAR-1, Run: 023, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 84, 131, 9, 19, 120, 9, 18, 27, 93, 131
INVAR-1, Run: 024, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 109, 162, 9, 32, 138, 9, 18, 27, 118, 162
INVAR-1, Run: 025, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 51, 110, 9, 24, 94, 9, 18, 27, 60, 110
INVAR-1, Run: 026, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 34, 66, 9, 23, 51, 9, 18, 27, 43, 66
INVAR-1, Run: 027, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 128, 230, 9, 43, 195, 9, 18, 27, 137, 230
INVAR-1, Run: 028, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 80, 113, 9, 27, 94, 9, 18, 27, 89, 113
INVAR-1, Run: 029, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 78, 150, 9, 26, 132, 9, 18, 27, 87, 150
INVAR-1, Run: 030, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 45, 70, 9, 21, 57, 9, 18, 27, 54, 70
INVAR-1, Run: 031, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 25, 39, 9, 17, 30, 9, 18, 27, 34, 39
INVAR-1, Run: 032, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 145, 247, 9, 53, 202, 9, 18, 27, 154, 247
INVAR-1, Run: 033, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 127, 217, 9, 38, 187, 9, 18, 27, 136, 217
INVAR-1, Run: 034, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 83, 134, 9, 26, 116, 9, 18, 27, 92, 134
INVAR-1, Run: 035, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 104, 185, 9, 56, 137, 9, 18, 27, 113, 185
INVAR-1, Run: 036, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 39, 80, 9, 15, 73, 9, 18, 27, 48, 80
INVAR-1, Run: 037, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 40, 70, 9, 12, 66, 9, 18, 27, 49, 70
INVAR-1, Run: 038, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 213, 384, 9, 67, 325, 9, 18, 27, 222, 384
INVAR-1, Run: 039, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 54, 94, 9, 20, 82, 9, 18, 27, 63, 94
INVAR-1, Run: 040, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 61, 101, 9, 19, 90, 9, 18, 27, 70, 101
INVAR-1, Run: 041, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 81, 134, 9, 24, 118, 9, 18, 27, 90, 134
INVAR-1, Run: 042, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 127, 206, 9, 45, 169, 9, 18, 27, 136, 206
INVAR-1, Run: 043, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 40, 74, 9, 14, 68, 9, 18, 27, 49, 74
INVAR-1, Run: 044, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 48, 107, 9, 23, 92, 9, 18, 27, 57, 107
INVAR-1, Run: 045, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 43, 78, 9, 20, 66, 9, 18, 27, 52, 78
INVAR-1, Run: 046, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 73, 125, 9, 32, 101, 9, 18, 27, 82, 125
INVAR-1, Run: 047, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 105, 186, 9, 32, 162, 9, 18, 27, 114, 186
INVAR-1, Run: 048, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 64, 120, 9, 25, 103, 9, 18, 27, 73, 120
INVAR-1, Run: 049, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 60, 90, 9, 11, 87, 9, 18, 27, 69, 90
INVAR-1, Run: 050, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 86, 154, 9, 42, 120, 9, 18, 27, 95, 154
INVAR-1, Run: 051, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 56, 91, 9, 17, 82, 9, 18, 27, 65, 91
INVAR-1, Run: 052, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 105, 184, 9, 39, 153, 9, 18, 27, 114, 184
INVAR-1, Run: 053, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 62, 112, 9, 32, 88, 9, 18, 27, 71, 112
INVAR-1, Run: 054, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 112, 224, 9, 52, 180, 9, 18, 27, 121, 224
INVAR-1, Run: 055, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 47, 91, 9, 25, 74, 9, 18, 27, 56, 91
INVAR-1, Run: 056, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 94, 144, 9, 15, 137, 9, 18, 27, 103, 144
INVAR-1, Run: 057, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 55, 85, 9, 28, 65, 9, 18, 27, 64, 85
INVAR-1, Run: 058, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 90, 156, 9, 29, 135, 9, 18, 27, 99, 156
INVAR-1, Run: 059, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 45, 105, 9, 25, 88, 9, 18, 27, 54, 105
INVAR-1, Run: 060, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 38, 74, 9, 13, 69, 9, 18, 27, 47, 74
INVAR-1, Run: 061, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 13, 50, 9, 24, 34, 9, 18, 27, 22, 50
INVAR-1, Run: 062, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 30, 49, 9, 20, 37, 9, 18, 27, 39, 49
INVAR-1, Run: 063, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 35, 65, 9, 15, 58, 9, 18, 27, 44, 65
INVAR-1, Run: 064, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 73, 116, 9, 35, 89, 9, 18, 27, 82, 116
INVAR-1, Run: 065, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 81, 115, 9, 30, 93, 9, 18, 27, 90, 115
INVAR-1, Run: 066, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 122, 179, 9, 27, 160, 9, 18, 27, 131, 179
