Input Number, Run_Number, Result@ 100, X1, H, M, PE, PO, CE, Y, D, CO, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 19, 68, 9, 8, 18, 9, 18, 27, 28, 68
INVAR-1, Run: 002, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 26, 174, 9, 18, 8, 9, 18, 27, 35, 174
INVAR-1, Run: 003, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 27, 110, 9, 11, 15, 9, 18, 27, 36, 110
INVAR-1, Run: 004, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 19, 77, 9, 11, 15, 9, 18, 27, 28, 77
INVAR-1, Run: 005, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 184, 9, 13, 13, 9, 18, 27, 38, 184
INVAR-1, Run: 006, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 27, 83, 9, 15, 11, 9, 18, 27, 36, 83
INVAR-1, Run: 007, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 33, 127, 9, 14, 12, 9, 18, 27, 42, 127
INVAR-1, Run: 008, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 21, 84, 9, 8, 18, 9, 18, 27, 30, 84
INVAR-1, Run: 009, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 28, 84, 9, 11, 15, 9, 18, 27, 37, 84
INVAR-1, Run: 010, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 131, 9, 15, 11, 9, 18, 27, 38, 131
INVAR-1, Run: 011, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 11, 71, 9, 11, 15, 9, 18, 27, 20, 71
INVAR-1, Run: 012, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 21, 118, 9, 15, 11, 9, 18, 27, 30, 118
INVAR-1, Run: 013, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 32, 108, 9, 10, 16, 9, 18, 27, 41, 108
INVAR-1, Run: 014, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 24, 65, 9, 5, 21, 9, 18, 27, 33, 65
INVAR-1, Run: 015, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 11, 64, 9, 17, 9, 9, 18, 27, 20, 64
INVAR-1, Run: 016, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 127, 9, 10, 16, 9, 18, 27, 38, 127
INVAR-1, Run: 017, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 26, 133, 9, 15, 11, 9, 18, 27, 35, 133
INVAR-1, Run: 018, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 10, 118, 9, 10, 16, 9, 18, 27, 19, 118
INVAR-1, Run: 019, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 22, 164, 9, 12, 14, 9, 18, 27, 31, 164
INVAR-1, Run: 020, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 57, 313, 9, 9, 17, 9, 18, 27, 66, 313
INVAR-1, Run: 021, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 21, 93, 9, 10, 16, 9, 18, 27, 30, 93
INVAR-1, Run: 022, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 25, 90, 9, 11, 15, 9, 18, 27, 34, 90
INVAR-1, Run: 023, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 25, 110, 9, 12, 14, 9, 18, 27, 34, 110
INVAR-1, Run: 024, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 18, 129, 9, 8, 18, 9, 18, 27, 27, 129
INVAR-1, Run: 025, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 23, 95, 9, 16, 10, 9, 18, 27, 32, 95
INVAR-1, Run: 026, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 36, 249, 9, 11, 15, 9, 18, 27, 45, 249
INVAR-1, Run: 027, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 21, 63, 9, 13, 13, 9, 18, 27, 30, 63
INVAR-1, Run: 028, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 23, 127, 9, 9, 17, 9, 18, 27, 32, 127
INVAR-1, Run: 029, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 20, 106, 9, 11, 15, 9, 18, 27, 29, 106
INVAR-1, Run: 030, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 29, 76, 9, 13, 13, 9, 18, 27, 38, 76
INVAR-1, Run: 031, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 30, 220, 9, 13, 13, 9, 18, 27, 39, 220
INVAR-1, Run: 032, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 19, 105, 9, 17, 9, 9, 18, 27, 28, 105
INVAR-1, Run: 033, P, 0, 0, 0, 1, 0, 9, 9, 0, 0, 54, 0, 18, 13, 57, 9, 8, 18, 9, 18, 27, 22, 57
