Input Number, Run_Number, Result@ 100, Y, X, V
1, Run: 001, F, 0, 2, 0
1, Run: 002, F, 0, 2, 0
1, Run: 003, F, 0, 1, 0
1, Run: 004, F, 0, 2, 0
1, Run: 005, P, 0, 0, 2
1, Run: 006, P, 0, 0, 11
1, Run: 007, F, 0, 2, 0
1, Run: 008, F, 0, 2, 0
1, Run: 009, P, 0, 0, 19
1, Run: 010, P, 0, 0, 4
1, Run: 011, F, 0, 2, 0
1, Run: 012, F, 0, 1, 0
1, Run: 013, F, 0, 1, 0
1, Run: 014, F, 0, 1, 0
1, Run: 015, F, 0, 1, 0
1, Run: 016, F, 0, 1, 0
1, Run: 017, P, 0, 0, 12
1, Run: 018, F, 0, 1, 0
1, Run: 019, F, 0, 1, 0
1, Run: 020, F, 0, 2, 0
1, Run: 021, F, 0, 2, 0
1, Run: 022, P, 0, 0, 1
1, Run: 023, F, 0, 2, 0
1, Run: 024, P, 0, 0, 7
1, Run: 025, P, 0, 0, 9
1, Run: 026, F, 0, 1, 0
1, Run: 027, F, 0, 1, 0
1, Run: 028, F, 0, 1, 0
1, Run: 029, P, 0, 0, 9
1, Run: 030, P, 0, 0, 13
1, Run: 031, P, 0, 0, 6
1, Run: 032, F, 0, 1, 0
1, Run: 033, F, 0, 1, 0
1, Run: 034, F, 0, 1, 0
1, Run: 035, F, 0, 2, 0
1, Run: 036, F, 0, 2, 0
1, Run: 037, P, 0, 0, 16
1, Run: 038, F, 0, 2, 0
1, Run: 039, P, 0, 0, 7
1, Run: 040, P, 0, 0, 21
1, Run: 041, P, 0, 0, 1
1, Run: 042, F, 0, 2, 0
1, Run: 043, P, 0, 0, 4
1, Run: 044, P, 0, 0, 11
1, Run: 045, F, 0, 1, 0
1, Run: 046, P, 0, 0, 15
1, Run: 047, P, 0, 0, 13
1, Run: 048, F, 0, 2, 0
1, Run: 049, P, 0, 0, 5
1, Run: 050, P, 0, 0, 5
1, Run: 051, F, 0, 1, 0
1, Run: 052, P, 0, 0, 2
1, Run: 053, P, 0, 0, 17
1, Run: 054, P, 0, 0, 9
1, Run: 055, F, 0, 2, 0
1, Run: 056, F, 0, 2, 0
1, Run: 057, P, 0, 0, 22
1, Run: 058, F, 0, 2, 0
1, Run: 059, P, 0, 0, 6
1, Run: 060, F, 0, 2, 0
1, Run: 061, F, 0, 2, 0
1, Run: 062, F, 0, 2, 0
1, Run: 063, P, 0, 0, 13
1, Run: 064, P, 0, 0, 10
1, Run: 065, F, 0, 1, 0
1, Run: 066, P, 0, 0, 15
1, Run: 067, F, 0, 1, 0
1, Run: 068, F, 0, 1, 0
1, Run: 069, P, 0, 0, 7
1, Run: 070, F, 0, 2, 0
1, Run: 071, P, 0, 0, 8
1, Run: 072, F, 0, 2, 0
1, Run: 073, P, 0, 0, 11
1, Run: 074, P, 0, 0, 11
1, Run: 075, P, 0, 0, 2
1, Run: 076, F, 0, 2, 0
1, Run: 077, P, 0, 0, 16
1, Run: 078, F, 0, 1, 0
1, Run: 079, F, 0, 2, 0
1, Run: 080, P, 0, 0, 11
1, Run: 081, P, 0, 0, 5
1, Run: 082, F, 0, 2, 0
1, Run: 083, P, 0, 0, 2
1, Run: 084, F, 0, 2, 0
1, Run: 085, F, 0, 2, 0
1, Run: 086, F, 0, 2, 0
1, Run: 087, F, 0, 2, 0
1, Run: 088, P, 0, 0, 2
1, Run: 089, F, 0, 1, 0
1, Run: 090, F, 0, 1, 0
1, Run: 091, F, 0, 2, 0
1, Run: 092, F, 0, 1, 0
1, Run: 093, F, 0, 2, 0
1, Run: 094, P, 0, 0, 12
1, Run: 095, F, 0, 2, 0
1, Run: 096, F, 0, 2, 0
1, Run: 097, P, 0, 0, 3
1, Run: 098, F, 0, 1, 0
1, Run: 099, F, 0, 2, 0
1, Run: 100, F, 0, 2, 0
2, Run: 001, F, 0, 2, 0
2, Run: 002, P, 0, 0, 7
2, Run: 003, P, 0, 0, 19
2, Run: 004, P, 0, 0, 13
2, Run: 005, F, 0, 1, 0
2, Run: 006, F, 0, 2, 0
2, Run: 007, F, 0, 2, 0
2, Run: 008, P, 0, 0, 8
2, Run: 009, P, 0, 0, 4
2, Run: 010, F, 0, 2, 0
2, Run: 011, P, 0, 0, 7
2, Run: 012, P, 0, 0, 7
2, Run: 013, F, 0, 1, 0
2, Run: 014, F, 0, 1, 0
2, Run: 015, F, 0, 2, 0
2, Run: 016, F, 0, 2, 0
2, Run: 017, F, 0, 2, 0
2, Run: 018, P, 0, 0, 20
2, Run: 019, P, 0, 0, 4
2, Run: 020, F, 0, 2, 0
2, Run: 021, P, 0, 0, 24
2, Run: 022, P, 0, 0, 27
2, Run: 023, P, 0, 0, 15
2, Run: 024, P, 0, 0, 8
2, Run: 025, F, 0, 1, 0
2, Run: 026, F, 0, 2, 0
2, Run: 027, F, 0, 1, 0
2, Run: 028, P, 0, 0, 4
2, Run: 029, P, 0, 0, 23
2, Run: 030, P, 0, 0, 6
2, Run: 031, P, 0, 0, 5
2, Run: 032, F, 0, 2, 0
2, Run: 033, P, 0, 0, 7
2, Run: 034, F, 0, 2, 0
2, Run: 035, F, 0, 2, 0
2, Run: 036, P, 0, 0, 35
2, Run: 037, P, 0, 0, 34
2, Run: 038, F, 0, 1, 0
2, Run: 039, F, 0, 1, 0
2, Run: 040, F, 0, 1, 0
2, Run: 041, F, 0, 2, 0
2, Run: 042, P, 0, 0, 33
2, Run: 043, P, 0, 0, 11
2, Run: 044, F, 0, 1, 0
2, Run: 045, P, 0, 0, 26
2, Run: 046, F, 0, 1, 0
2, Run: 047, F, 0, 1, 0
2, Run: 048, F, 0, 1, 0
2, Run: 049, P, 0, 0, 17
2, Run: 050, F, 0, 2, 0
2, Run: 051, F, 0, 2, 0
2, Run: 052, P, 0, 0, 7
2, Run: 053, P, 0, 0, 36
2, Run: 054, F, 0, 2, 0
2, Run: 055, F, 0, 1, 0
2, Run: 056, F, 0, 1, 0
2, Run: 057, F, 0, 2, 0
2, Run: 058, P, 0, 0, 9
2, Run: 059, F, 0, 2, 0
2, Run: 060, F, 0, 2, 0
2, Run: 061, P, 0, 0, 11
2, Run: 062, F, 0, 2, 0
2, Run: 063, P, 0, 0, 24
2, Run: 064, F, 0, 2, 0
2, Run: 065, P, 0, 0, 12
2, Run: 066, F, 0, 1, 0
2, Run: 067, P, 0, 0, 2
2, Run: 068, P, 0, 0, 14
2, Run: 069, P, 0, 0, 18
2, Run: 070, P, 0, 0, 2
2, Run: 071, P, 0, 0, 9
2, Run: 072, F, 0, 1, 0
2, Run: 073, F, 0, 2, 0
2, Run: 074, P, 0, 0, 29
2, Run: 075, F, 0, 2, 0
2, Run: 076, F, 0, 1, 0
2, Run: 077, F, 0, 1, 0
2, Run: 078, P, 0, 0, 5
2, Run: 079, F, 0, 2, 0
2, Run: 080, P, 0, 0, 31
2, Run: 081, F, 0, 2, 0
2, Run: 082, P, 0, 0, 5
2, Run: 083, P, 0, 0, 19
2, Run: 084, P, 0, 0, 14
2, Run: 085, F, 0, 1, 0
2, Run: 086, P, 0, 0, 13
2, Run: 087, F, 0, 2, 0
2, Run: 088, F, 0, 1, 0
2, Run: 089, P, 0, 0, 12
2, Run: 090, F, 0, 2, 0
2, Run: 091, P, 0, 0, 7
2, Run: 092, F, 0, 2, 0
2, Run: 093, F, 0, 1, 0
2, Run: 094, P, 0, 0, 29
2, Run: 095, P, 0, 0, 9
2, Run: 096, P, 0, 0, 28
2, Run: 097, F, 0, 2, 0
2, Run: 098, P, 0, 0, 24
2, Run: 099, F, 0, 1, 0
2, Run: 100, F, 0, 1, 0
