Input Number, Run_Number, Result@ 100, A1, F1, F1P, A2, F2, F2P
1, Run: 001, P, 19, 0, 0, 33, 0, 0
1, Run: 002, P, 19, 0, 0, 33, 0, 0
1, Run: 003, P, 19, 0, 0, 33, 0, 0
1, Run: 004, P, 20, 0, 0, 33, 0, 0
1, Run: 005, P, 19, 0, 0, 33, 0, 0
1, Run: 006, P, 19, 0, 0, 33, 0, 0
1, Run: 007, P, 19, 0, 0, 33, 0, 0
1, Run: 008, P, 19, 0, 0, 33, 0, 0
1, Run: 009, P, 19, 0, 0, 34, 0, 0
1, Run: 010, P, 20, 0, 0, 35, 0, 0
1, Run: 011, P, 19, 0, 0, 33, 0, 0
1, Run: 012, P, 20, 0, 0, 33, 0, 0
1, Run: 013, P, 19, 0, 0, 33, 0, 0
1, Run: 014, P, 20, 0, 0, 33, 0, 0
1, Run: 015, P, 19, 0, 0, 33, 0, 0
1, Run: 016, P, 19, 0, 0, 33, 0, 0
1, Run: 017, P, 20, 0, 0, 33, 0, 0
1, Run: 018, P, 19, 0, 0, 33, 0, 0
1, Run: 019, P, 19, 0, 0, 33, 0, 0
1, Run: 020, P, 19, 0, 0, 33, 0, 0
1, Run: 021, P, 19, 0, 0, 33, 0, 0
1, Run: 022, P, 20, 0, 0, 34, 0, 0
1, Run: 023, P, 20, 0, 0, 33, 0, 0
1, Run: 024, P, 19, 0, 0, 33, 0, 0
1, Run: 025, P, 19, 0, 0, 33, 0, 0
1, Run: 026, P, 19, 0, 0, 33, 0, 0
1, Run: 027, P, 20, 0, 0, 35, 0, 0
1, Run: 028, P, 20, 0, 0, 33, 0, 0
1, Run: 029, P, 20, 0, 0, 33, 0, 0
1, Run: 030, P, 19, 0, 0, 33, 0, 0
1, Run: 031, P, 20, 0, 0, 34, 0, 0
1, Run: 032, P, 19, 0, 0, 33, 0, 0
1, Run: 033, P, 20, 0, 0, 33, 0, 0
1, Run: 034, P, 19, 0, 0, 34, 0, 0
1, Run: 035, P, 19, 0, 0, 33, 0, 0
1, Run: 036, P, 19, 0, 0, 33, 0, 0
1, Run: 037, P, 19, 0, 0, 33, 0, 0
1, Run: 038, P, 20, 0, 0, 33, 0, 0
1, Run: 039, P, 19, 0, 0, 34, 0, 0
1, Run: 040, P, 19, 0, 0, 33, 0, 0
1, Run: 041, P, 19, 0, 0, 33, 0, 0
1, Run: 042, P, 20, 0, 0, 33, 0, 0
1, Run: 043, P, 19, 0, 0, 34, 0, 0
1, Run: 044, P, 20, 0, 0, 34, 0, 0
1, Run: 045, P, 19, 0, 0, 34, 0, 0
1, Run: 046, P, 19, 0, 0, 33, 0, 0
1, Run: 047, P, 19, 0, 0, 34, 0, 0
1, Run: 048, P, 19, 0, 0, 34, 0, 0
1, Run: 049, P, 20, 0, 0, 33, 0, 0
1, Run: 050, P, 20, 0, 0, 33, 0, 0
1, Run: 051, P, 19, 0, 0, 33, 0, 0
1, Run: 052, P, 19, 0, 0, 33, 0, 0
1, Run: 053, P, 19, 0, 0, 33, 0, 0
1, Run: 054, P, 19, 0, 0, 34, 0, 0
1, Run: 055, P, 19, 0, 0, 33, 0, 0
1, Run: 056, P, 19, 0, 0, 33, 0, 0
1, Run: 057, P, 20, 0, 0, 34, 0, 0
1, Run: 058, P, 19, 0, 0, 33, 0, 0
1, Run: 059, P, 20, 0, 0, 33, 0, 0
1, Run: 060, P, 20, 0, 0, 33, 0, 0
1, Run: 061, P, 20, 0, 0, 34, 0, 0
1, Run: 062, P, 20, 0, 0, 33, 0, 0
1, Run: 063, P, 19, 0, 0, 33, 0, 0
1, Run: 064, P, 21, 0, 0, 33, 0, 0
1, Run: 065, P, 19, 0, 0, 33, 0, 0
1, Run: 066, P, 20, 0, 0, 33, 0, 0
1, Run: 067, P, 19, 0, 0, 33, 0, 0
1, Run: 068, P, 20, 0, 0, 34, 0, 0
1, Run: 069, P, 19, 0, 0, 33, 0, 0
1, Run: 070, P, 19, 0, 0, 33, 0, 0
1, Run: 071, P, 22, 0, 0, 35, 0, 0
1, Run: 072, P, 19, 0, 0, 33, 0, 0
1, Run: 073, P, 20, 0, 0, 34, 0, 0
1, Run: 074, P, 19, 0, 0, 33, 0, 0
1, Run: 075, P, 19, 0, 0, 33, 0, 0
1, Run: 076, P, 19, 0, 0, 33, 0, 0
1, Run: 077, P, 19, 0, 0, 33, 0, 0
1, Run: 078, P, 19, 0, 0, 33, 0, 0
1, Run: 079, P, 19, 0, 0, 33, 0, 0
1, Run: 080, P, 20, 0, 0, 33, 0, 0
1, Run: 081, P, 19, 0, 0, 33, 0, 0
1, Run: 082, P, 20, 0, 0, 33, 0, 0
1, Run: 083, P, 19, 0, 0, 33, 0, 0
1, Run: 084, P, 20, 0, 0, 35, 0, 0
1, Run: 085, P, 19, 0, 0, 33, 0, 0
1, Run: 086, P, 19, 0, 0, 33, 0, 0
1, Run: 087, P, 19, 0, 0, 33, 0, 0
1, Run: 088, P, 20, 0, 0, 33, 0, 0
1, Run: 089, P, 20, 0, 0, 33, 0, 0
1, Run: 090, P, 20, 0, 0, 33, 0, 0
1, Run: 091, P, 19, 0, 0, 34, 0, 0
1, Run: 092, P, 19, 0, 0, 34, 0, 0
1, Run: 093, P, 20, 0, 0, 33, 0, 0
1, Run: 094, P, 19, 0, 0, 33, 0, 0
1, Run: 095, P, 20, 0, 0, 34, 0, 0
1, Run: 096, P, 20, 0, 0, 33, 0, 0
1, Run: 097, P, 19, 0, 0, 34, 0, 0
1, Run: 098, P, 19, 0, 0, 34, 0, 0
1, Run: 099, P, 19, 0, 0, 33, 0, 0
1, Run: 100, P, 19, 0, 0, 33, 0, 0
10, Run: 001, P, 3, 0, 0, 13, 0, 0
10, Run: 002, P, 1, 0, 0, 13, 0, 0
10, Run: 003, P, 1, 0, 0, 13, 0, 0
10, Run: 004, P, 1, 0, 0, 14, 0, 0
10, Run: 005, P, 0, 0, 0, 14, 0, 0
10, Run: 006, P, 2, 0, 0, 13, 0, 0
10, Run: 007, P, 0, 0, 0, 15, 0, 0
10, Run: 008, P, 1, 0, 0, 13, 0, 0
10, Run: 009, P, 1, 0, 0, 13, 0, 0
10, Run: 010, P, 1, 0, 0, 14, 0, 0
10, Run: 011, P, 1, 0, 0, 13, 0, 0
10, Run: 012, P, 2, 0, 0, 14, 0, 0
10, Run: 013, P, 2, 0, 0, 16, 0, 0
10, Run: 014, P, 2, 0, 0, 13, 0, 0
10, Run: 015, P, 0, 0, 0, 14, 0, 0
10, Run: 016, P, 3, 0, 0, 14, 0, 0
10, Run: 017, P, 0, 0, 0, 13, 0, 0
10, Run: 018, P, 0, 0, 0, 13, 0, 0
10, Run: 019, P, 2, 0, 0, 13, 0, 0
10, Run: 020, P, 0, 0, 0, 14, 0, 0
10, Run: 021, P, 0, 0, 0, 13, 0, 0
10, Run: 022, P, 3, 0, 0, 15, 0, 0
10, Run: 023, P, 1, 0, 0, 14, 0, 0
10, Run: 024, P, 2, 0, 0, 13, 0, 0
10, Run: 025, P, 2, 0, 0, 13, 0, 0
10, Run: 026, P, 1, 0, 0, 13, 0, 0
10, Run: 027, P, 1, 0, 0, 13, 0, 0
10, Run: 028, P, 2, 0, 0, 13, 0, 0
10, Run: 029, P, 0, 0, 0, 14, 0, 0
10, Run: 030, P, 2, 0, 0, 13, 0, 0
10, Run: 031, P, 4, 0, 0, 14, 0, 0
10, Run: 032, P, 1, 0, 0, 13, 0, 0
10, Run: 033, P, 2, 0, 0, 14, 0, 0
10, Run: 034, P, 1, 0, 0, 14, 0, 0
10, Run: 035, P, 2, 0, 0, 13, 0, 0
10, Run: 036, P, 1, 0, 0, 13, 0, 0
10, Run: 037, P, 0, 0, 0, 13, 0, 0
10, Run: 038, P, 1, 0, 0, 13, 0, 0
10, Run: 039, P, 1, 0, 0, 14, 0, 0
10, Run: 040, P, 1, 0, 0, 15, 0, 0
10, Run: 041, P, 2, 0, 0, 13, 0, 0
10, Run: 042, P, 0, 0, 0, 13, 0, 0
10, Run: 043, P, 1, 0, 0, 13, 0, 0
10, Run: 044, P, 4, 0, 0, 13, 0, 0
10, Run: 045, P, 1, 0, 0, 14, 0, 0
10, Run: 046, P, 2, 0, 0, 13, 0, 0
10, Run: 047, P, 2, 0, 0, 13, 0, 0
10, Run: 048, P, 2, 0, 0, 13, 0, 0
10, Run: 049, P, 3, 0, 0, 13, 0, 0
10, Run: 050, P, 1, 0, 0, 13, 0, 0
10, Run: 051, P, 0, 0, 0, 13, 0, 0
10, Run: 052, P, 1, 0, 0, 15, 0, 0
10, Run: 053, P, 2, 0, 0, 13, 0, 0
10, Run: 054, P, 1, 0, 0, 13, 0, 0
10, Run: 055, P, 0, 0, 0, 15, 0, 0
10, Run: 056, P, 0, 0, 0, 14, 0, 0
10, Run: 057, P, 1, 0, 0, 15, 0, 0
10, Run: 058, P, 1, 0, 0, 13, 0, 0
10, Run: 059, P, 1, 0, 0, 15, 0, 0
10, Run: 060, P, 1, 0, 0, 15, 0, 0
10, Run: 061, P, 0, 0, 0, 14, 0, 0
10, Run: 062, P, 1, 0, 0, 13, 0, 0
10, Run: 063, P, 1, 0, 0, 15, 0, 0
10, Run: 064, P, 2, 0, 0, 13, 0, 0
10, Run: 065, P, 3, 0, 0, 13, 0, 0
10, Run: 066, P, 1, 0, 0, 13, 0, 0
10, Run: 067, P, 1, 0, 0, 14, 0, 0
10, Run: 068, P, 1, 0, 0, 14, 0, 0
10, Run: 069, P, 0, 0, 0, 13, 0, 0
10, Run: 070, P, 1, 0, 0, 13, 0, 0
10, Run: 071, P, 2, 0, 0, 14, 0, 0
10, Run: 072, P, 1, 0, 0, 13, 0, 0
10, Run: 073, P, 1, 0, 0, 13, 0, 0
10, Run: 074, P, 3, 0, 0, 13, 0, 0
10, Run: 075, P, 1, 0, 0, 13, 0, 0
10, Run: 076, P, 2, 0, 0, 13, 0, 0
10, Run: 077, P, 0, 0, 0, 13, 0, 0
10, Run: 078, P, 2, 0, 0, 15, 0, 0
10, Run: 079, P, 0, 0, 0, 13, 0, 0
10, Run: 080, P, 2, 0, 0, 14, 0, 0
10, Run: 081, P, 0, 0, 0, 13, 0, 0
10, Run: 082, P, 2, 0, 0, 14, 0, 0
10, Run: 083, P, 1, 0, 0, 13, 0, 0
10, Run: 084, P, 3, 0, 0, 13, 0, 0
10, Run: 085, P, 1, 0, 0, 13, 0, 0
10, Run: 086, P, 1, 0, 0, 13, 0, 0
10, Run: 087, P, 0, 0, 0, 13, 0, 0
10, Run: 088, P, 1, 0, 0, 14, 0, 0
10, Run: 089, P, 2, 0, 0, 13, 0, 0
10, Run: 090, P, 0, 0, 0, 13, 0, 0
10, Run: 091, P, 1, 0, 0, 13, 0, 0
10, Run: 092, P, 1, 0, 0, 14, 0, 0
10, Run: 093, P, 2, 0, 0, 14, 0, 0
10, Run: 094, P, 2, 0, 0, 13, 0, 0
10, Run: 095, P, 1, 0, 0, 13, 0, 0
10, Run: 096, P, 0, 0, 0, 14, 0, 0
10, Run: 097, P, 1, 0, 0, 13, 0, 0
10, Run: 098, P, 2, 0, 0, 13, 0, 0
10, Run: 099, P, 0, 0, 0, 14, 0, 0
10, Run: 100, P, 0, 0, 0, 13, 0, 0
11, Run: 001, P, 89, 0, 0, 81, 0, 0
11, Run: 002, P, 88, 0, 0, 81, 0, 0
11, Run: 003, P, 88, 0, 0, 81, 0, 0
11, Run: 004, P, 88, 0, 0, 81, 0, 0
11, Run: 005, P, 88, 0, 0, 81, 0, 0
11, Run: 006, P, 88, 0, 0, 82, 0, 0
11, Run: 007, P, 88, 0, 0, 81, 0, 0
11, Run: 008, P, 88, 0, 0, 81, 0, 0
11, Run: 009, P, 88, 0, 0, 81, 0, 0
11, Run: 010, P, 89, 0, 0, 81, 0, 0
11, Run: 011, P, 88, 0, 0, 81, 0, 0
11, Run: 012, P, 89, 0, 0, 81, 0, 0
11, Run: 013, P, 88, 0, 0, 81, 0, 0
11, Run: 014, P, 88, 0, 0, 81, 0, 0
11, Run: 015, P, 88, 0, 0, 82, 0, 0
11, Run: 016, P, 88, 0, 0, 81, 0, 0
11, Run: 017, P, 88, 0, 0, 81, 0, 0
11, Run: 018, P, 88, 0, 0, 82, 0, 0
11, Run: 019, P, 88, 0, 0, 82, 0, 0
11, Run: 020, P, 88, 0, 0, 81, 0, 0
11, Run: 021, P, 89, 0, 0, 81, 0, 0
11, Run: 022, P, 88, 0, 0, 81, 0, 0
11, Run: 023, P, 88, 0, 0, 81, 0, 0
11, Run: 024, P, 88, 0, 0, 82, 0, 0
11, Run: 025, P, 88, 0, 0, 81, 0, 0
11, Run: 026, P, 88, 0, 0, 81, 0, 0
11, Run: 027, P, 88, 0, 0, 81, 0, 0
11, Run: 028, P, 88, 0, 0, 81, 0, 0
11, Run: 029, P, 88, 0, 0, 81, 0, 0
11, Run: 030, P, 88, 0, 0, 81, 0, 0
11, Run: 031, P, 88, 0, 0, 81, 0, 0
11, Run: 032, P, 88, 0, 0, 81, 0, 0
11, Run: 033, P, 88, 0, 0, 81, 0, 0
11, Run: 034, P, 88, 0, 0, 81, 0, 0
11, Run: 035, P, 88, 0, 0, 81, 0, 0
11, Run: 036, P, 88, 0, 0, 81, 0, 0
11, Run: 037, P, 88, 0, 0, 81, 0, 0
11, Run: 038, P, 88, 0, 0, 81, 0, 0
11, Run: 039, P, 88, 0, 0, 81, 0, 0
11, Run: 040, P, 88, 0, 0, 81, 0, 0
11, Run: 041, P, 90, 0, 0, 81, 0, 0
11, Run: 042, P, 88, 0, 0, 81, 0, 0
11, Run: 043, P, 88, 0, 0, 81, 0, 0
11, Run: 044, P, 88, 0, 0, 81, 0, 0
11, Run: 045, P, 88, 0, 0, 81, 0, 0
11, Run: 046, P, 88, 0, 0, 81, 0, 0
11, Run: 047, P, 88, 0, 0, 81, 0, 0
11, Run: 048, P, 88, 0, 0, 81, 0, 0
11, Run: 049, P, 88, 0, 0, 81, 0, 0
11, Run: 050, P, 88, 0, 0, 81, 0, 0
11, Run: 051, P, 88, 0, 0, 81, 0, 0
11, Run: 052, P, 88, 0, 0, 81, 0, 0
11, Run: 053, P, 88, 0, 0, 81, 0, 0
11, Run: 054, P, 88, 0, 0, 81, 0, 0
11, Run: 055, P, 88, 0, 0, 81, 0, 0
11, Run: 056, P, 89, 0, 0, 81, 0, 0
11, Run: 057, P, 88, 0, 0, 81, 0, 0
11, Run: 058, P, 88, 0, 0, 82, 0, 0
11, Run: 059, P, 88, 0, 0, 81, 0, 0
11, Run: 060, P, 88, 0, 0, 81, 0, 0
11, Run: 061, P, 88, 0, 0, 81, 0, 0
11, Run: 062, P, 88, 0, 0, 81, 0, 0
11, Run: 063, P, 88, 0, 0, 82, 0, 0
11, Run: 064, P, 88, 0, 0, 81, 0, 0
11, Run: 065, P, 88, 0, 0, 81, 0, 0
11, Run: 066, P, 88, 0, 0, 81, 0, 0
11, Run: 067, P, 88, 0, 0, 81, 0, 0
11, Run: 068, P, 88, 0, 0, 81, 0, 0
11, Run: 069, P, 88, 0, 0, 81, 0, 0
11, Run: 070, P, 88, 0, 0, 81, 0, 0
11, Run: 071, P, 88, 0, 0, 81, 0, 0
11, Run: 072, P, 88, 0, 0, 81, 0, 0
11, Run: 073, P, 88, 0, 0, 81, 0, 0
11, Run: 074, P, 88, 0, 0, 81, 0, 0
11, Run: 075, P, 88, 0, 0, 81, 0, 0
11, Run: 076, P, 88, 0, 0, 81, 0, 0
11, Run: 077, P, 88, 0, 0, 82, 0, 0
11, Run: 078, P, 88, 0, 0, 81, 0, 0
11, Run: 079, P, 88, 0, 0, 81, 0, 0
11, Run: 080, P, 88, 0, 0, 81, 0, 0
11, Run: 081, P, 88, 0, 0, 81, 0, 0
11, Run: 082, P, 88, 0, 0, 81, 0, 0
11, Run: 083, P, 88, 0, 0, 81, 0, 0
11, Run: 084, P, 89, 0, 0, 82, 0, 0
11, Run: 085, P, 88, 0, 0, 81, 0, 0
11, Run: 086, P, 88, 0, 0, 81, 0, 0
11, Run: 087, P, 88, 0, 0, 81, 0, 0
11, Run: 088, P, 88, 0, 0, 82, 0, 0
11, Run: 089, P, 88, 0, 0, 81, 0, 0
11, Run: 090, P, 88, 0, 0, 81, 0, 0
11, Run: 091, P, 88, 0, 0, 82, 0, 0
11, Run: 092, P, 88, 0, 0, 82, 0, 0
11, Run: 093, P, 88, 0, 0, 81, 0, 0
11, Run: 094, P, 88, 0, 0, 81, 0, 0
11, Run: 095, P, 88, 0, 0, 81, 0, 0
11, Run: 096, P, 88, 0, 0, 81, 0, 0
11, Run: 097, P, 88, 0, 0, 81, 0, 0
11, Run: 098, P, 88, 0, 0, 81, 0, 0
11, Run: 099, P, 88, 0, 0, 82, 0, 0
11, Run: 100, P, 88, 0, 0, 81, 0, 0
12, Run: 001, P, 168, 0, 0, 157, 0, 0
12, Run: 002, P, 168, 0, 0, 157, 0, 0
12, Run: 003, P, 168, 0, 0, 157, 0, 0
