Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE
4, Run: 001, F, 0, 30, 0, 0, 0, 0, 0, 106, 0, 1, 1, 1
4, Run: 002, F, 0, 28, 0, 0, 1, 0, 0, 13, 95, 95, 0, 0
4, Run: 003, F, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 004, F, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 005, F, 0, 28, 0, 0, 1, 0, 0, 25, 83, 83, 0, 0
4, Run: 006, F, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 007, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 008, F, 0, 26, 0, 0, 1, 0, 0, 68, 42, 42, 0, 0
4, Run: 009, F, 0, 30, 0, 0, 1, 0, 0, 34, 72, 72, 0, 0
4, Run: 010, F, 0, 28, 0, 0, 1, 0, 0, 48, 60, 60, 0, 0
4, Run: 011, F, 0, 30, 0, 0, 1, 0, 0, 9, 97, 97, 0, 0
4, Run: 012, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 013, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 014, F, 0, 28, 0, 0, 1, 0, 0, 76, 32, 32, 0, 0
4, Run: 015, F, 0, 28, 0, 0, 1, 0, 0, 12, 96, 96, 0, 0
4, Run: 016, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 017, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 018, F, 0, 30, 0, 0, 1, 0, 0, 24, 82, 82, 0, 0
4, Run: 019, F, 0, 24, 0, 0, 0, 0, 0, 112, 0, 1, 1, 1
4, Run: 020, F, 0, 22, 0, 0, 0, 0, 0, 114, 0, 1, 1, 1
4, Run: 021, F, 0, 28, 0, 0, 1, 0, 0, 29, 79, 79, 0, 0
4, Run: 022, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 023, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 024, F, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 025, F, 0, 28, 0, 0, 1, 0, 0, 41, 67, 67, 0, 0
4, Run: 026, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 027, F, 0, 22, 0, 0, 0, 0, 0, 114, 0, 1, 1, 1
4, Run: 028, F, 0, 26, 0, 0, 1, 0, 0, 10, 100, 100, 0, 0
4, Run: 029, F, 0, 26, 0, 0, 1, 0, 0, 61, 49, 49, 0, 0
4, Run: 030, F, 0, 27, 0, 0, 0, 0, 0, 108, 0, 3, 1, 3
4, Run: 031, F, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 032, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 033, F, 0, 28, 0, 0, 1, 0, 0, 42, 66, 66, 0, 0
4, Run: 034, F, 0, 32, 0, 0, 1, 0, 0, 3, 101, 101, 0, 0
4, Run: 035, F, 0, 30, 0, 0, 1, 0, 0, 26, 80, 80, 0, 0
4, Run: 036, F, 0, 30, 0, 0, 1, 0, 0, 33, 73, 73, 0, 0
4, Run: 037, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 038, F, 0, 28, 2, 0, 1, 0, 0, 1, 109, 109, 0, 0
4, Run: 039, F, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 040, F, 0, 28, 2, 0, 1, 0, 0, 0, 110, 110, 0, 0
4, Run: 041, F, 0, 24, 0, 0, 0, 0, 0, 112, 0, 1, 1, 1
4, Run: 042, F, 0, 26, 0, 0, 1, 0, 0, 83, 27, 27, 0, 0
4, Run: 043, F, 0, 24, 0, 0, 1, 0, 0, 74, 38, 38, 0, 0
4, Run: 044, F, 0, 28, 0, 0, 1, 0, 0, 59, 49, 49, 0, 0
4, Run: 045, F, 0, 26, 0, 0, 1, 0, 0, 45, 65, 65, 0, 0
