Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 017, P, 0, 45, 0, 0, 0, 0, 13, 11, 13, 0, 0, 4, 18, 18, 48, 7, 3, 4, 11, 18, 27, 18, 61
INVAR-1, Run: 018, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 20, 95, 6, 3, 2, 12, 18, 27, 32, 95
INVAR-1, Run: 019, P, 0, 17, 0, 0, 0, 0, 43, 12, 43, 0, 0, 6, 18, 15, 30, 6, 4, 2, 12, 18, 27, 15, 73
INVAR-1, Run: 020, P, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0, 8, 18, 23, 86, 5, 3, 1, 13, 18, 27, 36, 86
INVAR-1, Run: 021, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 31, 126, 7, 3, 3, 11, 18, 27, 42, 126
INVAR-1, Run: 022, P, 0, 45, 0, 0, 0, 0, 13, 11, 13, 0, 0, 4, 18, 12, 100, 7, 7, 0, 11, 18, 27, 12, 113
INVAR-1, Run: 023, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 9, 50, 6, 3, 2, 12, 18, 27, 21, 50
INVAR-1, Run: 024, P, 0, 11, 0, 0, 0, 0, 47, 11, 47, 0, 0, 4, 18, 8, 64, 7, 6, 1, 11, 18, 27, 8, 111
INVAR-1, Run: 025, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 12, 50, 7, 3, 3, 11, 18, 27, 23, 50
INVAR-1, Run: 026, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 7, 73, 6, 3, 2, 12, 18, 27, 19, 73
INVAR-1, Run: 027, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 21, 67, 7, 4, 2, 11, 18, 27, 32, 67
INVAR-1, Run: 028, P, 0, 14, 0, 0, 0, 0, 46, 12, 46, 0, 0, 6, 18, 11, 79, 6, 5, 1, 12, 18, 27, 11, 125
INVAR-1, Run: 029, P, 0, 13, 0, 0, 0, 0, 49, 13, 49, 0, 0, 8, 18, 13, 31, 5, 2, 3, 13, 18, 27, 13, 80
INVAR-1, Run: 030, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 26, 89, 7, 3, 3, 11, 18, 27, 37, 89
