Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 032, F, 0, 0, 0, 0, 0, 0, 0, 36, 63, 1, 0, 27, 18, 87, 21, 9, 6, 2, 9, 18, 27, 123, 48
INVAR-1, Run: 033, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 47, 24, 9, 6, 2, 9, 18, 27, 77, 45
INVAR-1, Run: 034, F, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0, 18, 18, 37, 30, 9, 5, 3, 9, 18, 27, 64, 48
INVAR-1, Run: 035, F, 30, 0, 0, 0, 0, 0, 0, 21, 33, 1, 0, 12, 18, 22, 28, 9, 4, 4, 9, 18, 27, 43, 40
INVAR-1, Run: 036, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0, 26, 18, 43, 25, 9, 6, 2, 9, 18, 27, 78, 51
INVAR-1, Run: 037, F, 38, 0, 0, 0, 0, 0, 0, 17, 25, 1, 0, 8, 18, 21, 18, 9, 6, 2, 9, 18, 27, 38, 26
INVAR-1, Run: 038, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0, 26, 18, 84, 27, 9, 4, 4, 9, 18, 27, 119, 53
INVAR-1, Run: 039, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0, 26, 18, 22, 11, 9, 3, 5, 9, 18, 27, 57, 37
INVAR-1, Run: 040, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0, 26, 18, 44, 32, 9, 6, 2, 9, 18, 27, 79, 58
INVAR-1, Run: 041, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 45, 25, 9, 6, 2, 9, 18, 27, 77, 48
INVAR-1, Run: 042, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 46, 16, 9, 5, 3, 9, 18, 27, 80, 41
INVAR-1, Run: 043, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 15, 17, 9, 4, 4, 9, 18, 27, 49, 42
INVAR-1, Run: 044, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 17, 11, 9, 6, 2, 9, 18, 27, 40, 25
