Input Number, Run_Number, Result@ 1000, A, B, H, C, T2, L5, L4, L1, Y, T1, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 012, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 1, 0, 0, 0, 1, 6, 0, 3, 0, 9, 0, 1, 9, 23, 45, 34, 35, 6569, 6469, 6411, 6369, 6304, 54, 439, 57, 42, 65, 46, 6258, 6255, 296, 214, 169, 158, 143, 82
INVAR-1, Run: 013, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 156, 102, 217, 7404, 7303, 7236, 7195, 7142, 57, 1184, 67, 41, 53, 59, 7083, 7077, 790, 575, 419, 339, 394, 215
INVAR-1, Run: 014, F, 0, 10, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 1, 6, 0, 2, 0, 9, 0, 1, 9, 24, 70, 54, 94, 11306, 11160, 11070, 10988, 10903, 98, 564, 90, 82, 85, 87, 10816, 10814, 427, 318, 248, 218, 137, 109
INVAR-1, Run: 015, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 12, 3, 4, 12, 22, 134, 74, 114, 6437, 6329, 6281, 6219, 6165, 64, 1024, 48, 62, 54, 48, 6117, 6111, 656, 422, 288, 236, 368, 234
INVAR-1, Run: 016, F, 0, 10, 0, 0, 1, 0, 0, 0, 121, 0, 0, 0, 0, 0, 1, 6, 0, 7, 0, 9, 0, 1, 9, 21, 97, 74, 132, 9889, 9772, 9685, 9613, 9535, 74, 926, 87, 72, 78, 80, 9455, 9448, 603, 403, 306, 253, 323, 200
INVAR-1, Run: 017, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 105, 70, 71, 6047, 5945, 5885, 5846, 5786, 56, 935, 60, 39, 60, 38, 5748, 5744, 538, 346, 241, 194, 397, 192
INVAR-1, Run: 018, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 57, 57, 62, 7977, 7871, 7799, 7726, 7643, 62, 544, 72, 73, 83, 58, 7585, 7579, 373, 276, 219, 184, 171, 97
INVAR-1, Run: 019, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 100, 60, 82, 6556, 6464, 6418, 6375, 6325, 48, 752, 46, 43, 50, 52, 6273, 6267, 480, 342, 242, 204, 272, 138
INVAR-1, Run: 020, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 66, 36, 61, 7181, 7055, 6995, 6937, 6876, 80, 603, 60, 58, 61, 57, 6819, 6815, 381, 263, 197, 184, 222, 118
INVAR-1, Run: 021, F, 0, 10, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 1, 6, 0, 8, 0, 9, 0, 1, 9, 21, 77, 70, 137, 10190, 10052, 9978, 9905, 9818, 96, 853, 74, 73, 87, 98, 9720, 9712, 556, 384, 307, 258, 297, 172
INVAR-1, Run: 022, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 58, 39, 65, 10393, 10260, 10181, 10094, 10016, 89, 530, 79, 87, 78, 83, 9933, 9927, 351, 262, 204, 187, 179, 89
INVAR-1, Run: 023, F, 0, 10, 0, 0, 0, 0, 0, 0, 121, 1, 0, 0, 0, 0, 1, 6, 0, 7, 0, 9, 0, 1, 9, 21, 47, 36, 91, 12955, 12812, 12709, 12619, 12505, 101, 460, 103, 90, 114, 116, 12389, 12382, 345, 274, 227, 212, 115, 71
