Input Number, Run_Number, Result@ 100, C, F, D, X1, A, B, PO, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 192, 6, 6, 192, 9, 6, 2, 9, 5, 18, 38, 15
INVAR-1, Run: 002, P, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 0, 9, 4, 18, 77, 7, 7, 77, 9, 5, 3, 9, 7, 18, 8, 2
INVAR-1, Run: 003, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 114, 2, 2, 114, 9, 3, 5, 9, 5, 18, 220, 106
INVAR-1, Run: 004, P, 0, 1, 69, 0, 0, 0, 0, 0, 0, 1, 0, 9, 7, 18, 140, 10, 10, 140, 9, 3, 5, 9, 5, 18, 30, 11
INVAR-1, Run: 005, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 92, 8, 8, 92, 9, 6, 2, 9, 4, 18, 38, 14
INVAR-1, Run: 006, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 193, 10, 10, 193, 9, 5, 3, 9, 6, 18, 78, 36
INVAR-1, Run: 007, P, 0, 1, 65, 0, 0, 0, 0, 0, 2, 1, 2, 8, 5, 18, 108, 7, 5, 108, 9, 5, 3, 8, 6, 18, 54, 24
INVAR-1, Run: 008, P, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 0, 9, 4, 18, 115, 11, 11, 115, 9, 3, 5, 9, 7, 18, 56, 26
INVAR-1, Run: 009, P, 0, 0, 66, 0, 0, 0, 0, 0, 2, 1, 2, 8, 6, 18, 134, 5, 3, 134, 9, 4, 4, 8, 6, 18, 30, 12
INVAR-1, Run: 010, P, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 0, 9, 4, 18, 68, 8, 8, 68, 9, 7, 1, 9, 7, 18, 40, 18
INVAR-1, Run: 011, P, 0, 1, 65, 0, 0, 0, 0, 0, 0, 1, 0, 9, 5, 18, 147, 6, 6, 147, 9, 7, 1, 9, 6, 18, 56, 25
INVAR-1, Run: 012, P, 0, 1, 69, 0, 0, 0, 0, 0, 2, 1, 2, 8, 7, 18, 138, 14, 12, 138, 9, 3, 5, 8, 5, 18, 138, 65
