Input Number, Run_Number, Result@ 100, PE, Y, M, X1, H, PO, CE, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1, 11, 18, 4, 32, 9, 6, 2, 9, 29, 43, 13, 34
INVAR-1, Run: 002, F, 1, 0, 0, 0, 0, 0, 9, 0, 6, 94, 1, 15, 18, 15, 71, 9, 4, 4, 9, 33, 49, 24, 77
INVAR-1, Run: 003, F, 1, 0, 0, 0, 0, 0, 9, 0, 7, 95, 0, 16, 18, 19, 73, 9, 3, 5, 9, 34, 51, 28, 80
INVAR-1, Run: 004, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0, 14, 18, 11, 186, 9, 6, 2, 9, 32, 48, 20, 191
INVAR-1, Run: 005, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1, 9, 18, 8, 60, 9, 3, 5, 9, 27, 40, 17, 60
INVAR-1, Run: 006, F, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1, 13, 18, 10, 79, 9, 5, 3, 9, 31, 46, 19, 83
INVAR-1, Run: 007, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0, 10, 18, 7, 87, 9, 7, 1, 9, 28, 42, 16, 88
INVAR-1, Run: 008, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1, 11, 18, 12, 69, 9, 3, 5, 9, 29, 43, 21, 71
INVAR-1, Run: 009, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0, 10, 18, 14, 115, 9, 6, 2, 9, 28, 42, 23, 116
INVAR-1, Run: 010, F, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0, 14, 18, 15, 178, 9, 6, 2, 9, 32, 48, 24, 183
INVAR-1, Run: 011, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1, 11, 18, 15, 172, 9, 4, 4, 9, 29, 43, 24, 174
INVAR-1, Run: 012, F, 1, 0, 0, 0, 0, 0, 9, 0, 6, 94, 1, 15, 18, 15, 185, 9, 7, 1, 9, 33, 49, 24, 191
INVAR-1, Run: 013, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0, 10, 18, 6, 58, 9, 4, 4, 9, 28, 42, 15, 59
INVAR-1, Run: 014, F, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1, 11, 18, 10, 100, 9, 6, 2, 9, 29, 43, 19, 102
INVAR-1, Run: 015, F, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1, 9, 18, 5, 62, 9, 6, 2, 9, 27, 40, 14, 62
INVAR-1, Run: 016, F, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0, 10, 18, 12, 61, 9, 6, 2, 9, 28, 42, 21, 62
