Input Number, Run_Number, Result@ 100, H, CO, M, X1, PO, CE, Y, D, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 10, 117, 9, 6, 2, 6, 24, 36, 16, 111
INVAR-1, Run: 002, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 4, 85, 9, 4, 4, 5, 26, 39, 9, 80
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 21, 215, 9, 6, 2, 7, 22, 33, 28, 211
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 11, 159, 9, 5, 3, 7, 22, 33, 18, 155
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 12, 139, 9, 6, 2, 6, 24, 36, 18, 133
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 5, 80, 9, 6, 2, 7, 22, 33, 12, 76
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 22, 224, 9, 5, 3, 7, 22, 33, 29, 220
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 19, 212, 9, 7, 1, 7, 22, 33, 26, 208
INVAR-1, Run: 009, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 21, 323, 9, 6, 2, 5, 26, 39, 26, 318
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 7, 93, 9, 6, 2, 7, 22, 33, 14, 89
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 11, 93, 9, 5, 3, 6, 24, 36, 17, 87
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 14, 116, 9, 6, 2, 7, 22, 33, 21, 112
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 15, 157, 9, 7, 1, 6, 24, 36, 21, 151
INVAR-1, Run: 014, F, 0, 0, 0, 0, 0, 8, 6, 0, 1, 62, 0, 2, 18, 22, 102, 9, 4, 4, 8, 20, 30, 30, 100
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 8, 6, 0, 1, 62, 0, 2, 18, 11, 140, 9, 6, 2, 8, 20, 30, 19, 138
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 15, 87, 9, 4, 4, 6, 24, 36, 21, 81
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 21, 206, 9, 4, 4, 6, 24, 36, 27, 200
