Input Number, Run_Number, Result@ 100, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AIuAJab, AGuAIab, Leaderai, AIuAJX1, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 17, 9, 0, 0, 6, 3, 0, 9, 1, 13, 2, 1, 1, 16, 1, 1, 15, 1, 18, 3, 1, 1, 0, 7, 1, 0, 4, 0, 5, 0, 0, 1, 0, 2, 1, 3, 0, 4, 1, 1, 17, 1, 0, 22, 1, 2, 24, 3, 1, 1, 1, 1, 1, 3, 0, 4, 0, 24, 3, 0, 0, 0, 0, 0, 0, 0, 2, 4, 1, 8, 2, 1, 4, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 16, 8, 0, 1, 8, 1, 0, 16, 5, 19, 7, 2, 1, 15, 3, 0, 0, 0, 4, 1, 1, 1, 0, 9, 0, 0, 7, 3, 8, 4, 1, 0, 0, 4, 0, 2, 1, 3, 2, 1, 16, 2, 0, 22, 0, 2, 25, 3, 1, 1, 1, 1, 1, 6, 0, 7, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 3, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 1, 0, 9, 0, 0, 26, 8, 28, 9, 1, 1, 14, 3, 1, 13, 2, 18, 4, 1, 1, 0, 9, 0, 0, 17, 9, 18, 10, 1, 0, 0, 16, 0, 15, 3, 16, 4, 1, 16, 2, 0, 18, 3, 4, 21, 5, 1, 1, 1, 1, 1, 2, 1, 18, 0, 26, 3, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 6, 0, 0, 6, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 17, 8, 1, 0, 9, 0, 0, 6, 4, 8, 5, 0, 1, 16, 2, 0, 19, 5, 22, 6, 1, 1, 1, 7, 1, 0, 1, 1, 2, 1, 0, 1, 1, 17, 0, 1, 1, 2, 1, 1, 18, 0, 0, 15, 2, 2, 16, 3, 1, 1, 1, 1, 1, 4, 0, 19, 0, 25, 1, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 5, 2, 1, 3, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 18, 18, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 0, 1, 9, 0, 0, 0, 2, 2, 4, 5, 1, 17, 1, 0, 37, 8, 39, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 9, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 1, 0, 9, 0, 0, 10, 4, 12, 5, 0, 1, 17, 1, 0, 10, 1, 12, 2, 1, 1, 0, 9, 0, 0, 14, 1, 14, 1, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 16, 2, 0, 1, 9, 1, 4, 2, 1, 1, 1, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 16, 9, 0, 0, 9, 0, 0, 25, 6, 26, 7, 1, 1, 16, 2, 0, 8, 3, 11, 4, 1, 1, 1, 9, 0, 0, 28, 8, 29, 9, 1, 0, 0, 11, 0, 2, 1, 3, 2, 1, 17, 0, 1, 9, 3, 6, 11, 8, 1, 1, 1, 1, 1, 2, 0, 14, 0, 28, 2, 0, 0, 0, 0, 0, 0, 0, 5, 2, 3, 5, 4, 1, 7, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, F, 0, 0, 0, 3, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 1, 0, 8, 1, 0, 49, 15, 52, 16, 0, 1, 12, 3, 0, 1, 0, 5, 1, 1, 1, 0, 6, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 13, 2, 0, 21, 0, 5, 24, 6, 1, 1, 1, 1, 1, 2, 0, 4, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 2, 7, 2, 0, 4, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, F, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 0, 0, 8, 0, 1, 40, 9, 41, 10, 3, 0, 16, 2, 0, 9, 4, 12, 5, 1, 1, 0, 7, 1, 0, 0, 0, 2, 1, 1, 1, 1, 29, 0, 41, 7, 42, 7, 1, 17, 0, 1, 7, 7, 4, 9, 6, 1, 1, 1, 1, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 14, 8, 1, 0, 9, 0, 0, 12, 8, 14, 9, 4, 1, 17, 1, 0, 14, 6, 16, 7, 1, 1, 0, 9, 0, 0, 9, 1, 10, 2, 1, 0, 0, 7, 0, 25, 4, 26, 5, 1, 16, 2, 0, 3, 3, 0, 6, 1, 1, 1, 1, 1, 1, 4, 1, 12, 1, 28, 1, 0, 0, 0, 0, 0, 0, 0, 4, 5, 1, 9, 3, 1, 3, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
