Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, A, PE, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 26, 47, 9, 10, 45, 9, 18, 27, 35, 47
INVAR-1, Run: 002, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 94, 159, 9, 30, 137, 9, 18, 27, 103, 159
INVAR-1, Run: 003, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 65, 112, 9, 19, 101, 9, 18, 27, 74, 112
INVAR-1, Run: 004, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 84, 122, 9, 22, 108, 9, 18, 27, 93, 122
INVAR-1, Run: 005, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 70, 119, 9, 27, 100, 9, 18, 27, 79, 119
INVAR-1, Run: 006, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 99, 178, 9, 25, 161, 9, 18, 27, 108, 178
INVAR-1, Run: 007, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 111, 199, 9, 34, 173, 9, 18, 27, 120, 199
INVAR-1, Run: 008, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 156, 258, 9, 39, 227, 9, 18, 27, 165, 258
INVAR-1, Run: 009, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 40, 85, 9, 14, 79, 9, 18, 27, 49, 85
INVAR-1, Run: 010, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 135, 225, 9, 44, 189, 9, 18, 27, 144, 225
INVAR-1, Run: 011, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 24, 46, 9, 8, 46, 9, 18, 27, 33, 46
INVAR-1, Run: 012, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 84, 136, 9, 23, 121, 9, 18, 27, 93, 136
INVAR-1, Run: 013, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 21, 43, 9, 9, 42, 9, 18, 27, 30, 43
INVAR-1, Run: 014, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 29, 49, 9, 11, 46, 9, 18, 27, 38, 49
INVAR-1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 21, 39, 9, 16, 31, 9, 18, 27, 30, 39
INVAR-1, Run: 016, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 91, 200, 9, 30, 178, 9, 18, 27, 100, 200
INVAR-1, Run: 017, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 59, 144, 9, 25, 127, 9, 18, 27, 68, 144
INVAR-1, Run: 018, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 69, 124, 9, 32, 100, 9, 18, 27, 78, 124
INVAR-1, Run: 019, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 170, 279, 9, 68, 219, 9, 18, 27, 179, 279
INVAR-1, Run: 020, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 31, 71, 9, 17, 62, 9, 18, 27, 40, 71
INVAR-1, Run: 021, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 117, 192, 9, 31, 169, 9, 18, 27, 126, 192
INVAR-1, Run: 022, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 130, 215, 9, 38, 185, 9, 18, 27, 139, 215
INVAR-1, Run: 023, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 53, 97, 9, 25, 80, 9, 18, 27, 62, 97
INVAR-1, Run: 024, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 69, 128, 9, 11, 125, 9, 18, 27, 78, 128
INVAR-1, Run: 025, P, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 86, 134, 9, 28, 114, 9, 18, 27, 95, 134
