Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 212, 7, 7, 212, 9, 11, 6, 9, 9, 18, 90, 45
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 164, 3, 3, 164, 9, 12, 5, 9, 9, 18, 106, 53
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 120, 5, 5, 120, 9, 10, 7, 9, 9, 18, 86, 43
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 92, 11, 9, 92, 9, 9, 7, 8, 9, 18, 88, 44
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 44, 17, 15, 44, 9, 10, 6, 8, 9, 18, 54, 27
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 185, 6, 6, 185, 9, 11, 6, 9, 9, 18, 98, 49
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 158, 9, 7, 158, 9, 10, 6, 8, 9, 18, 76, 38
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 181, 2, 2, 181, 9, 13, 4, 9, 9, 18, 70, 35
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 230, 13, 13, 230, 9, 11, 6, 9, 9, 18, 210, 105
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 105, 21, 21, 105, 9, 8, 9, 9, 9, 18, 50, 25
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 63, 8, 8, 63, 9, 9, 8, 9, 9, 18, 198, 99
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 101, 7, 5, 101, 9, 11, 5, 8, 9, 18, 108, 54
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 109, 12, 12, 109, 9, 12, 5, 9, 9, 18, 108, 54
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 93, 15, 13, 93, 9, 7, 9, 8, 9, 18, 312, 156
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 82, 9, 7, 82, 9, 11, 5, 8, 9, 18, 182, 91
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 173, 10, 10, 173, 9, 11, 6, 9, 9, 18, 62, 31
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 153, 15, 13, 153, 9, 6, 10, 8, 9, 18, 206, 103
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 175, 19, 19, 175, 9, 9, 8, 9, 9, 18, 76, 38
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 160, 5, 5, 160, 9, 9, 8, 9, 9, 18, 80, 40
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 136, 11, 9, 136, 9, 11, 5, 8, 9, 18, 196, 98
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 155, 12, 12, 155, 9, 13, 4, 9, 9, 18, 110, 55
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 190, 8, 8, 190, 9, 11, 6, 9, 9, 18, 66, 33
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 106, 12, 10, 106, 9, 7, 9, 8, 9, 18, 170, 85
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 92, 4, 4, 92, 9, 12, 5, 9, 9, 18, 838, 419
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 46, 6, 4, 46, 9, 5, 11, 8, 9, 18, 24, 12
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 62, 6, 4, 62, 9, 5, 11, 8, 9, 18, 176, 88
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 60, 7, 5, 60, 9, 7, 9, 8, 9, 18, 134, 67
