Input Number, Run_Number, Result@ 100, ao, SetABX1, SetX1ab, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 011, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 18, 8, 1, 0, 8, 1, 0, 2, 0, 5, 1, 0, 1, 18, 0, 0, 6, 0, 7, 1, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 1, 9, 0, 4, 13, 6, 1, 1, 1, 1, 1, 2, 0, 1, 0, 22, 6, 0, 0, 0, 0, 0, 0, 0, 1, 9, 1, 16, 2, 1, 7, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 012, F, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16, 7, 1, 1, 8, 0, 0, 0, 1, 3, 3, 1, 1, 17, 1, 0, 4, 0, 6, 1, 1, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 14, 4, 0, 28, 1, 10, 33, 11, 1, 1, 1, 1, 1, 0, 0, 12, 0, 0, 0, 0, 23, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 30, 1, 0, 7, 0, 0, 20, 5, 22, 1, 6, 1
INVAR-1, Run: 013, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 16, 8, 1, 0, 8, 0, 1, 18, 3, 21, 5, 2, 1, 15, 3, 0, 2, 0, 6, 1, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 0, 0, 2, 1, 1, 1, 1, 1, 1, 5, 0, 5, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 1, 7, 3, 9, 4, 1, 4, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 014, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 9, 0, 0, 8, 1, 0, 16, 3, 18, 4, 3, 1, 17, 0, 1, 9, 0, 11, 2, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 17, 0, 1, 39, 6, 9, 40, 10, 0, 0, 0, 0, 1, 5, 0, 16, 0, 28, 2, 0, 0, 0, 0, 0, 0, 0, 7, 22, 7, 25, 8, 1, 4, 0, 0, 24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 015, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 16, 9, 0, 0, 8, 1, 0, 14, 4, 16, 5, 1, 1, 16, 2, 0, 44, 16, 47, 17, 1, 1, 1, 9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 16, 2, 0, 9, 2, 1, 11, 1, 0, 0, 0, 0, 1, 6, 0, 8, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 4, 5, 0, 7, 2, 1, 3, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 016, F, 0, 0, 1, 0, 0, 0, 14, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 8, 1, 0, 7, 2, 0, 25, 4, 29, 5, 1, 1, 4, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 2, 0, 8, 3, 0, 11, 1, 1, 1, 1, 1, 1, 1, 0, 14, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 4, 32, 5, 33, 5, 0, 1, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 017, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 9, 0, 0, 9, 0, 0, 17, 5, 18, 6, 3, 1, 17, 1, 0, 8, 0, 10, 1, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 16, 2, 0, 34, 2, 6, 37, 7, 1, 1, 1, 1, 1, 3, 0, 8, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 3, 21, 4, 23, 5, 1, 6, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 018, F, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 0, 0, 1, 17, 8, 1, 0, 9, 0, 0, 6, 6, 8, 7, 1, 1, 16, 1, 0, 1, 0, 3, 1, 1, 1, 0, 8, 0, 0, 1, 1, 1, 1, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 16, 1, 0, 36, 3, 12, 38, 13, 1, 1, 1, 1, 1, 5, 0, 17, 0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 4, 25, 8, 28, 9, 1, 3, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 019, F, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 9, 0, 0, 9, 0, 0, 8, 1, 9, 2, 2, 1, 15, 3, 0, 43, 11, 47, 12, 1, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 16, 2, 0, 3, 3, 1, 5, 1, 0, 0, 0, 0, 1, 5, 0, 29, 0, 26, 1, 1, 0, 0, 0, 0, 0, 0, 5, 3, 1, 5, 2, 0, 4, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 020, F, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 0, 0, 1, 18, 8, 1, 0, 8, 1, 0, 18, 3, 21, 4, 0, 1, 15, 1, 1, 1, 0, 4, 2, 1, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 16, 1, 0, 6, 2, 0, 8, 1, 1, 1, 1, 1, 1, 3, 2, 10, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 2, 14, 3, 1, 3, 0, 0, 18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 021, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 16, 8, 1, 0, 8, 1, 0, 9, 4, 12, 5, 2, 1, 18, 0, 0, 10, 3, 11, 4, 1, 1, 0, 8, 1, 0, 2, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 17, 1, 0, 23, 2, 12, 25, 13, 1, 1, 1, 1, 1, 3, 0, 6, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 2, 12, 3, 1, 6, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 022, F, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 8, 1, 0, 9, 0, 0, 36, 6, 38, 7, 1, 1, 17, 1, 0, 19, 10, 21, 11, 1, 1, 1, 8, 1, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 0, 1, 2, 0, 2, 4, 4, 1, 1, 1, 1, 1, 6, 0, 8, 0, 28, 1, 0, 0, 0, 0, 0, 0, 0, 2, 22, 7, 23, 7, 0, 3, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 023, F, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 1, 16, 8, 1, 0, 6, 3, 0, 6, 1, 11, 2, 2, 1, 9, 6, 0, 0, 1, 7, 2, 1, 1, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 14, 1, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 5, 0, 7, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 2, 25, 3, 1, 2, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 024, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 17, 8, 0, 1, 6, 2, 1, 9, 4, 14, 7, 1, 1, 17, 1, 0, 11, 5, 13, 6, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 17, 1, 0, 48, 1, 9, 50, 10, 1, 1, 1, 0, 1, 6, 0, 4, 0, 29, 1, 0, 0, 0, 0, 0, 0, 0, 2, 23, 9, 25, 10, 1, 3, 0, 0, 24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 18, 18, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 9, 0, 0, 16, 9, 17, 10, 1, 1, 18, 0, 0, 35, 9, 36, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 026, F, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16, 7, 2, 0, 7, 1, 0, 2, 2, 6, 3, 2, 1, 14, 4, 0, 3, 2, 8, 3, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 17, 1, 0, 8, 3, 6, 10, 7, 1, 1, 1, 1, 1, 0, 0, 14, 0, 0, 0, 0, 28, 0, 0, 5, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 24, 2, 0, 4, 0, 0, 7, 3, 10, 1, 4, 1
INVAR-1, Run: 027, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 17, 8, 1, 0, 5, 4, 0, 5, 0, 11, 1, 1, 1, 15, 3, 0, 4, 0, 8, 1, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 17, 1, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 6, 1, 8, 0, 33, 3, 1, 0, 0, 0, 0, 0, 0, 1, 12, 4, 18, 6, 1, 2, 0, 0, 18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
