Input Number, Run_Number, Result@ 100, ao, SetABX1, SetX1ab, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 8, 1, 0, 7, 2, 0, 4, 0, 8, 1, 3, 1, 17, 1, 0, 13, 1, 15, 2, 1, 1, 0, 8, 1, 0, 1, 1, 2, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 5, 1, 3, 2, 1, 1, 1, 1, 1, 4, 0, 9, 0, 32, 0, 1, 0, 0, 0, 0, 0, 0, 6, 39, 14, 41, 16, 1, 5, 0, 0, 19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 8, 0, 1, 9, 0, 0, 29, 5, 31, 7, 3, 1, 16, 2, 0, 7, 4, 10, 5, 1, 1, 0, 9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 13, 4, 1, 9, 3, 0, 15, 2, 1, 1, 1, 1, 1, 5, 0, 15, 0, 18, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 1, 1, 4, 0, 0, 36, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 9, 0, 0, 7, 1, 1, 8, 3, 11, 5, 3, 1, 15, 3, 0, 11, 3, 15, 4, 1, 1, 0, 8, 1, 0, 0, 0, 1, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 18, 0, 0, 5, 6, 1, 6, 2, 1, 1, 1, 1, 1, 6, 0, 30, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 2, 17, 3, 1, 3, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, F, 0, 0, 1, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 1, 12, 6, 0, 0, 5, 1, 0, 7, 1, 9, 2, 0, 1, 12, 0, 0, 19, 3, 20, 4, 1, 1, 0, 6, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 1, 0, 1, 3, 3, 1, 1, 1, 1, 1, 2, 1, 1, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 1, 21, 4, 24, 5, 1, 3, 0, 0, 13, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 18, 8, 1, 0, 8, 1, 0, 2, 1, 5, 2, 0, 1, 15, 3, 0, 7, 2, 11, 3, 1, 1, 0, 8, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 17, 1, 0, 3, 1, 1, 5, 2, 1, 1, 1, 1, 1, 6, 0, 4, 0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 2, 25, 3, 28, 4, 1, 3, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 17, 8, 1, 0, 7, 2, 0, 18, 5, 22, 6, 1, 1, 18, 0, 0, 35, 11, 36, 12, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 16, 2, 0, 12, 3, 3, 15, 4, 1, 1, 1, 1, 1, 4, 0, 13, 0, 36, 2, 0, 0, 0, 0, 0, 0, 0, 4, 6, 0, 9, 1, 1, 5, 0, 0, 16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, F, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 9, 0, 0, 8, 1, 0, 5, 1, 7, 2, 4, 1, 15, 3, 0, 19, 7, 23, 8, 1, 1, 0, 9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 14, 0, 2, 1, 1, 1, 1, 1, 1, 3, 1, 38, 0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 15, 6, 1, 9, 1, 0, 5, 0, 0, 24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 8, 1, 0, 9, 0, 0, 13, 3, 15, 4, 3, 1, 18, 0, 0, 4, 2, 5, 3, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 16, 2, 0, 13, 0, 2, 16, 3, 1, 1, 1, 1, 1, 4, 0, 14, 0, 25, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 6, 1, 1, 5, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 17, 9, 0, 0, 9, 0, 0, 5, 0, 6, 1, 0, 1, 17, 1, 0, 10, 7, 12, 8, 1, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 13, 5, 0, 19, 3, 3, 25, 4, 1, 1, 1, 1, 1, 6, 0, 18, 0, 31, 5, 0, 0, 0, 0, 0, 0, 0, 5, 5, 3, 11, 4, 1, 3, 0, 0, 18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, F, 0, 0, 1, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 9, 0, 0, 9, 0, 0, 11, 1, 12, 2, 3, 1, 6, 0, 0, 0, 0, 1, 1, 1, 1, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 0, 0, 13, 6, 2, 14, 3, 1, 1, 1, 1, 1, 1, 0, 14, 0, 11, 3, 0, 0, 0, 0, 0, 0, 0, 7, 5, 0, 9, 1, 1, 2, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
