Input Number, Run_Number, Result@ 100, A2, F1, F2, A1, F1P, F2P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, P, 30, 0, 0, 21, 0, 3, 4, 1, 3, 1, 7, 0, 4
INVAR-1, Run: 002, P, 19, 0, 0, 24, 0, 15, 0, 5, 0, 0, 14, 1, 0
INVAR-1, Run: 003, P, 31, 0, 0, 20, 0, 3, 4, 1, 4, 0, 6, 1, 4
INVAR-1, Run: 004, P, 31, 0, 0, 20, 0, 3, 4, 1, 4, 0, 6, 1, 4
INVAR-1, Run: 005, P, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 006, P, 22, 0, 0, 23, 0, 12, 1, 4, 1, 0, 12, 1, 1
INVAR-1, Run: 007, P, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 008, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 009, P, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 010, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 011, P, 25, 0, 0, 23, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-1, Run: 012, P, 28, 0, 0, 21, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-1, Run: 013, P, 30, 0, 0, 20, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-1, Run: 014, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 015, P, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 016, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 017, P, 24, 0, 0, 22, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-1, Run: 018, P, 30, 0, 0, 22, 0, 6, 3, 2, 2, 1, 6, 3, 3
INVAR-1, Run: 019, P, 28, 0, 0, 23, 0, 12, 1, 4, 1, 0, 6, 7, 1
INVAR-1, Run: 020, P, 27, 0, 0, 22, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-1, Run: 021, P, 26, 0, 0, 22, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-1, Run: 022, P, 27, 0, 0, 22, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-1, Run: 023, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 024, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 025, P, 29, 0, 0, 22, 0, 6, 3, 2, 2, 1, 7, 2, 3
INVAR-1, Run: 026, P, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 027, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 028, P, 22, 0, 0, 23, 0, 12, 1, 4, 1, 0, 12, 1, 1
INVAR-1, Run: 029, P, 22, 0, 0, 24, 0, 15, 0, 5, 0, 0, 11, 4, 0
INVAR-1, Run: 030, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 031, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 032, P, 25, 0, 0, 23, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-1, Run: 033, P, 28, 0, 0, 23, 0, 9, 2, 3, 1, 1, 7, 4, 2
INVAR-1, Run: 034, P, 28, 0, 0, 21, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-1, Run: 035, P, 22, 0, 0, 24, 0, 15, 0, 5, 0, 0, 11, 4, 0
INVAR-1, Run: 036, P, 29, 0, 0, 21, 0, 6, 3, 2, 3, 0, 7, 2, 3
INVAR-1, Run: 037, P, 26, 0, 0, 22, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-1, Run: 038, P, 28, 0, 0, 21, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-1, Run: 039, P, 28, 0, 0, 22, 0, 9, 2, 3, 2, 0, 7, 4, 2
INVAR-1, Run: 040, P, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 041, P, 21, 0, 0, 24, 0, 15, 0, 5, 0, 0, 12, 3, 0
INVAR-1, Run: 042, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 043, P, 24, 0, 0, 22, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-1, Run: 044, P, 30, 0, 0, 21, 0, 6, 3, 2, 3, 0, 6, 3, 3
