Input Number, Run_Number, Result@ 100, an, Leaderag, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderah, ao, ar, X1uABab, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 16, 9, 0, 0, 8, 1, 0, 14, 2, 16, 3, 2, 1, 17, 1, 0, 7, 3, 9, 4, 1, 1, 0, 9, 0, 0, 64, 15, 71, 22, 7, 0, 0, 10, 0, 20, 9, 21, 10, 1, 14, 4, 0, 4, 1, 3, 9, 4, 1, 1, 1, 1, 1, 0, 0, 13, 0, 28, 2, 0, 0, 0, 0, 0, 0, 0, 2, 13, 2, 16, 3, 1, 0, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 18, 9, 0, 0, 9, 0, 0, 13, 1, 14, 2, 0, 1, 13, 5, 0, 3, 1, 9, 2, 1, 1, 0, 9, 0, 0, 52, 15, 59, 22, 7, 0, 0, 9, 0, 53, 19, 54, 20, 1, 15, 3, 0, 11, 0, 4, 15, 5, 1, 1, 1, 1, 1, 0, 0, 10, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 4, 3, 1, 0, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 16, 8, 1, 0, 7, 2, 0, 3, 4, 7, 5, 2, 1, 18, 0, 0, 3, 0, 4, 1, 1, 1, 0, 9, 0, 0, 43, 10, 47, 14, 4, 0, 0, 18, 0, 10, 3, 11, 4, 1, 17, 1, 0, 2, 5, 0, 4, 1, 1, 1, 1, 1, 1, 0, 0, 21, 0, 34, 3, 0, 0, 0, 0, 0, 0, 0, 6, 3, 1, 7, 2, 1, 0, 0, 0, 18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, P, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 17, 8, 1, 0, 9, 0, 0, 2, 0, 4, 1, 0, 1, 15, 3, 0, 4, 0, 8, 1, 1, 1, 1, 9, 0, 0, 15, 4, 19, 8, 4, 0, 0, 0, 0, 4, 4, 5, 5, 1, 17, 1, 0, 1, 0, 0, 3, 1, 1, 1, 1, 1, 1, 0, 0, 2, 0, 25, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 4, 1, 1, 0, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 17, 8, 1, 0, 9, 0, 0, 4, 0, 6, 1, 1, 1, 16, 1, 0, 0, 0, 2, 1, 1, 1, 0, 8, 0, 0, 65, 14, 68, 17, 3, 1, 0, 14, 0, 14, 2, 15, 3, 1, 16, 1, 0, 15, 3, 2, 17, 3, 1, 1, 1, 1, 1, 0, 0, 16, 0, 23, 3, 0, 0, 0, 0, 0, 0, 0, 4, 22, 6, 26, 7, 1, 0, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 17, 8, 1, 0, 9, 0, 0, 9, 0, 11, 1, 1, 1, 15, 3, 0, 7, 3, 11, 4, 1, 1, 0, 9, 0, 0, 68, 23, 73, 28, 5, 0, 0, 4, 0, 28, 1, 29, 2, 1, 17, 1, 0, 8, 1, 3, 10, 4, 1, 1, 1, 1, 1, 0, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 0, 6, 1, 1, 0, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 16, 6, 3, 0, 9, 0, 0, 16, 4, 20, 5, 1, 1, 15, 3, 0, 2, 3, 6, 4, 1, 1, 1, 9, 0, 0, 86, 31, 90, 35, 4, 0, 0, 17, 0, 19, 5, 20, 6, 1, 17, 1, 0, 3, 4, 0, 5, 1, 1, 1, 1, 1, 1, 0, 0, 20, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 5, 13, 6, 1, 0, 0, 0, 31, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 15, 7, 1, 1, 8, 0, 1, 34, 8, 38, 11, 3, 1, 12, 6, 0, 11, 1, 18, 2, 1, 1, 0, 9, 0, 0, 68, 23, 73, 28, 5, 0, 0, 13, 0, 16, 4, 17, 5, 1, 14, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 17, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 0, 11, 1, 1, 0, 0, 0, 21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, P, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 18, 9, 0, 0, 9, 0, 0, 7, 3, 8, 4, 0, 1, 17, 1, 0, 16, 5, 18, 6, 1, 1, 0, 9, 0, 0, 52, 16, 54, 18, 2, 0, 0, 2, 0, 4, 0, 5, 1, 1, 18, 0, 0, 31, 1, 11, 32, 12, 1, 1, 1, 1, 1, 0, 0, 3, 0, 30, 1, 0, 0, 0, 0, 0, 0, 0, 2, 9, 3, 11, 4, 1, 0, 0, 0, 24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, P, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 3, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 9, 0, 0, 7, 2, 0, 4, 0, 7, 1, 2, 1, 17, 1, 0, 72, 6, 74, 7, 1, 1, 0, 9, 0, 0, 39, 11, 43, 15, 3, 0, 0, 5, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
