Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B
INVAR-1, Run: 001, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 002, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 003, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 004, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 005, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 006, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 007, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 008, P, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1
INVAR-1, Run: 009, P, 3, 0, 0, 0, 0, 15, 0, 0, 1, 90, 0
INVAR-1, Run: 010, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 011, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 012, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1
INVAR-1, Run: 013, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 014, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 015, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1
INVAR-1, Run: 016, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 017, P, 9, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 018, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 019, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 020, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 021, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 022, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
