Input Number, Run_Number, Result@ 100, prey_g616, prey_ccdB, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 015, F, 0, 1, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 89, 0, 92, 80, 78, 103, 102, 89, 60, 77, 0, 89, 0, 29, 30, 0, 21, 89, 0, 0, 0, 88, 75, 72, 72, 1, 1, 1, 1, 1, 1, 0, 0, 74, 0, 0, 46, 0, 47, 47, 0, 0, 84, 63, 92, 0, 0
INVAR-1, Run: 016, F, 0, 0, 1, 1, 0, 0, 4, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 99, 0, 79, 78, 74, 86, 86, 80, 62, 88, 0, 98, 0, 18, 46, 0, 21, 87, 0, 0, 0, 87, 104, 64, 65, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 41, 0, 42, 41, 0, 0, 129, 106, 79, 0, 0
INVAR-1, Run: 017, F, 0, 4, 1, 0, 0, 2, 4, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 114, 0, 99, 93, 89, 109, 108, 121, 73, 58, 0, 114, 0, 48, 29, 0, 35, 90, 0, 0, 0, 89, 87, 108, 105, 2, 2, 2, 2, 1, 0, 0, 0, 87, 0, 0, 29, 1, 29, 29, 0, 0, 96, 61, 101, 0, 0
INVAR-1, Run: 018, F, 0, 2, 1, 1, 0, 1, 0, 1, 2, 4, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 94, 95, 95, 94, 92, 100, 68, 77, 0, 94, 0, 28, 34, 0, 37, 111, 0, 0, 0, 109, 112, 102, 101, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 43, 0, 43, 43, 0, 0, 111, 73, 95, 0, 0
INVAR-1, Run: 019, F, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 97, 0, 91, 88, 87, 84, 83, 90, 58, 74, 0, 96, 0, 32, 36, 0, 23, 89, 0, 0, 0, 89, 87, 112, 113, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 36, 0, 37, 36, 0, 0, 112, 88, 92, 0, 0
INVAR-1, Run: 020, F, 0, 2, 1, 1, 0, 2, 2, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 105, 0, 91, 95, 93, 118, 117, 94, 60, 83, 0, 104, 0, 34, 42, 0, 21, 113, 0, 0, 0, 112, 107, 99, 98, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 39, 0, 40, 40, 0, 0, 100, 78, 93, 0, 0
INVAR-1, Run: 021, F, 0, 2, 1, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 92, 0, 111, 121, 118, 107, 106, 128, 75, 77, 0, 92, 0, 53, 41, 0, 28, 102, 0, 0, 0, 101, 90, 89, 88, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 35, 0, 36, 36, 0, 0, 90, 62, 112, 0, 0
INVAR-1, Run: 022, F, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 106, 116, 115, 100, 99, 99, 60, 87, 0, 94, 0, 38, 39, 1, 30, 87, 0, 0, 0, 87, 117, 95, 96, 2, 2, 2, 2, 3, 3, 2, 0, 116, 0, 1, 48, 0, 48, 48, 1, 1, 105, 75, 107, 0, 0
INVAR-1, Run: 023, F, 0, 2, 1, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 113, 0, 95, 69, 69, 95, 95, 90, 66, 99, 0, 113, 0, 23, 54, 0, 35, 107, 0, 0, 0, 106, 140, 104, 103, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 45, 0, 45, 45, 0, 0, 134, 99, 97, 0, 0
INVAR-1, Run: 024, F, 0, 0, 1, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 80, 80, 80, 116, 115, 130, 85, 73, 0, 94, 0, 43, 39, 0, 36, 96, 0, 0, 0, 96, 102, 80, 81, 1, 1, 0, 0, 0, 0, 0, 0, 101, 0, 0, 34, 0, 34, 34, 0, 0, 102, 66, 81, 0, 0
INVAR-1, Run: 025, F, 0, 7, 1, 0, 0, 2, 2, 1, 2, 0, 2, 0, 0, 4, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 92, 1, 101, 100, 98, 95, 93, 88, 48, 61, 1, 92, 1, 40, 36, 4, 13, 121, 0, 0, 0, 118, 76, 132, 126, 7, 7, 9, 9, 12, 7, 12, 0, 72, 0, 8, 23, 5, 25, 23, 4, 4, 80, 65, 102, 2, 2
INVAR-1, Run: 026, F, 0, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 2, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 82, 85, 85, 102, 102, 92, 55, 68, 0, 92, 0, 36, 39, 0, 28, 91, 0, 0, 0, 88, 71, 103, 103, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 27, 0, 27, 27, 0, 0, 99, 70, 83, 0, 0
INVAR-1, Run: 027, F, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 112, 0, 98, 96, 96, 93, 93, 101, 56, 73, 0, 111, 0, 45, 31, 0, 39, 91, 2, 2, 0, 91, 97, 60, 61, 3, 3, 2, 2, 3, 2, 1, 2, 97, 2, 1, 41, 1, 42, 41, 0, 0, 105, 63, 98, 0, 0
INVAR-1, Run: 028, F, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 102, 0, 80, 77, 76, 95, 95, 113, 68, 95, 0, 101, 0, 45, 49, 0, 36, 109, 0, 0, 0, 108, 125, 98, 99, 1, 1, 0, 0, 0, 0, 0, 0, 123, 0, 0, 42, 0, 44, 43, 0, 0, 123, 87, 81, 0, 0
INVAR-1, Run: 029, F, 0, 3, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 97, 0, 90, 87, 86, 114, 113, 94, 72, 84, 0, 97, 0, 22, 38, 0, 23, 123, 0, 0, 0, 123, 94, 120, 118, 1, 1, 0, 0, 0, 0, 0, 0, 94, 0, 0, 43, 0, 45, 44, 0, 0, 96, 72, 91, 0, 0
INVAR-1, Run: 030, F, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 102, 0, 97, 91, 91, 86, 85, 95, 59, 82, 0, 101, 0, 36, 43, 0, 24, 88, 0, 0, 0, 88, 112, 84, 85, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 38, 0, 39, 39, 0, 0, 95, 71, 98, 0, 0
INVAR-1, Run: 031, F, 0, 4, 1, 0, 0, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 101, 0, 104, 98, 98, 102, 100, 94, 69, 81, 2, 101, 2, 23, 49, 1, 29, 93, 0, 0, 0, 91, 100, 119, 116, 5, 5, 3, 3, 2, 1, 1, 0, 100, 0, 0, 31, 1, 32, 31, 1, 1, 118, 89, 106, 0, 0
INVAR-1, Run: 032, F, 0, 4, 1, 0, 0, 1, 1, 1, 4, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 101, 0, 86, 120, 119, 99, 95, 98, 64, 71, 0, 101, 0, 34, 36, 0, 19, 82, 0, 0, 0, 81, 86, 66, 63, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 34, 0, 35, 35, 0, 0, 85, 64, 87, 0, 0
INVAR-1, Run: 033, F, 0, 0, 1, 3, 0, 1, 2, 1, 1, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 101, 0, 106, 135, 133, 90, 89, 89, 49, 107, 0, 98, 0, 39, 61, 0, 27, 89, 0, 0, 0, 89, 118, 86, 87, 4, 4, 4, 4, 1, 0, 0, 0, 116, 0, 0, 44, 1, 45, 45, 0, 0, 120, 92, 107, 0, 0
INVAR-1, Run: 034, F, 0, 1, 1, 0, 0, 2, 4, 1, 2, 0, 4, 7, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 87, 0, 128, 146, 142, 93, 91, 86, 50, 62, 0, 87, 0, 36, 25, 0, 17, 113, 0, 0, 0, 113, 74, 106, 106, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 30, 0, 30, 30, 0, 0, 87, 66, 130, 0, 0
INVAR-1, Run: 035, F, 0, 1, 1, 3, 0, 2, 2, 1, 2, 1, 5, 2, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 1, 103, 4, 113, 109, 107, 103, 101, 83, 40, 64, 2, 100, 2, 42, 33, 1, 21, 96, 0, 0, 0, 93, 89, 110, 110, 6, 6, 6, 6, 7, 1, 2, 0, 88, 0, 1, 26, 6, 29, 27, 1, 1, 107, 81, 111, 6, 6
INVAR-1, Run: 036, F, 0, 3, 1, 0, 0, 1, 0, 1, 2, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 95, 0, 95, 90, 90, 86, 84, 86, 50, 64, 0, 95, 0, 34, 30, 0, 34, 96, 0, 0, 0, 95, 134, 93, 91, 1, 1, 0, 0, 0, 0, 0, 0, 133, 0, 0, 32, 0, 34, 34, 0, 0, 108, 74, 96, 0, 0
INVAR-1, Run: 037, F, 0, 2, 1, 0, 0, 0, 0, 1, 3, 4, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 88, 0, 101, 81, 81, 110, 107, 117, 73, 45, 0, 88, 0, 40, 23, 0, 27, 109, 0, 0, 0, 108, 66, 100, 99, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 21, 0, 22, 21, 0, 0, 72, 45, 101, 0, 0
INVAR-1, Run: 038, F, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 97, 0, 110, 106, 106, 114, 113, 102, 65, 91, 0, 97, 0, 37, 45, 1, 34, 100, 0, 0, 0, 100, 90, 67, 68, 1, 1, 6, 6, 2, 0, 1, 0, 90, 0, 0, 43, 2, 45, 44, 1, 1, 114, 79, 110, 0, 0
INVAR-1, Run: 039, F, 0, 2, 1, 1, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 98, 0, 97, 72, 71, 82, 80, 86, 41, 72, 0, 97, 0, 45, 33, 0, 34, 90, 0, 0, 0, 89, 108, 71, 70, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 39, 0, 39, 39, 0, 0, 99, 65, 99, 0, 0
INVAR-1, Run: 040, F, 0, 0, 1, 2, 0, 0, 2, 1, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 93, 0, 90, 89, 87, 90, 90, 101, 64, 54, 0, 91, 0, 37, 34, 0, 27, 96, 0, 0, 0, 96, 88, 95, 96, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 19, 0, 19, 19, 0, 0, 81, 53, 90, 0, 0
INVAR-1, Run: 041, F, 0, 0, 1, 1, 0, 0, 1, 1, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 110, 116, 115, 85, 83, 100, 53, 70, 0, 94, 0, 46, 30, 0, 25, 110, 0, 0, 0, 110, 88, 97, 98, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 40, 0, 40, 40, 0, 0, 78, 53, 110, 0, 0
INVAR-1, Run: 042, F, 0, 0, 1, 3, 0, 0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 105, 0, 101, 78, 77, 112, 111, 115, 66, 69, 0, 102, 0, 49, 32, 0, 40, 87, 0, 0, 0, 86, 78, 96, 97, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 36, 0, 37, 37, 0, 0, 79, 39, 101, 0, 0
INVAR-1, Run: 043, F, 0, 1, 1, 0, 0, 2, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 108, 0, 94, 69, 69, 109, 107, 131, 94, 80, 0, 108, 0, 36, 31, 0, 46, 104, 0, 0, 0, 102, 116, 99, 99, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 49, 0, 49, 49, 0, 0, 132, 86, 96, 0, 0
INVAR-1, Run: 044, F, 0, 3, 1, 3, 0, 0, 0, 1, 2, 2, 3, 1, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 92, 0, 73, 51, 51, 122, 120, 120, 86, 53, 0, 89, 0, 32, 29, 0, 31, 92, 0, 0, 0, 92, 79, 71, 69, 3, 3, 4, 4, 3, 3, 0, 0, 74, 0, 0, 23, 0, 23, 23, 0, 0, 83, 49, 73, 0, 0
INVAR-1, Run: 045, F, 0, 1, 1, 3, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 113, 0, 92, 91, 91, 88, 88, 59, 38, 88, 0, 110, 0, 21, 45, 0, 21, 107, 0, 0, 0, 106, 102, 99, 99, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 43, 0, 43, 43, 0, 0, 116, 94, 93, 0, 0
INVAR-1, Run: 046, F, 0, 2, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 107, 0, 73, 74, 73, 111, 109, 126, 88, 46, 0, 107, 0, 38, 21, 0, 28, 103, 0, 0, 0, 102, 68, 86, 85, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 25, 0, 25, 25, 0, 0, 86, 58, 73, 0, 0
INVAR-1, Run: 047, F, 0, 2, 1, 1, 0, 2, 3, 1, 2, 1, 1, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 93, 0, 98, 84, 81, 105, 103, 137, 101, 88, 0, 92, 0, 35, 46, 0, 38, 100, 0, 0, 0, 98, 102, 107, 106, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 41, 0, 41, 41, 0, 0, 114, 75, 100, 0, 0
INVAR-1, Run: 048, F, 0, 0, 1, 2, 0, 1, 1, 1, 0, 0, 6, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 102, 0, 99, 96, 95, 100, 100, 113, 77, 57, 0, 100, 0, 36, 29, 1, 25, 103, 0, 0, 0, 103, 91, 94, 95, 3, 3, 3, 3, 4, 1, 2, 1, 89, 1, 1, 27, 3, 27, 27, 1, 1, 89, 58, 100, 0, 0
INVAR-1, Run: 049, F, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 99, 0, 107, 105, 105, 98, 97, 89, 50, 74, 0, 98, 0, 38, 38, 0, 21, 105, 0, 0, 0, 103, 96, 108, 109, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 36, 0, 36, 36, 0, 0, 80, 58, 108, 0, 0
INVAR-1, Run: 050, F, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 98, 0, 89, 88, 88, 107, 107, 94, 66, 87, 0, 98, 0, 28, 49, 0, 31, 92, 0, 0, 0, 91, 106, 120, 121, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 38, 0, 38, 38, 0, 0, 101, 70, 90, 0, 0
INVAR-1, Run: 051, F, 0, 1, 1, 1, 0, 3, 1, 1, 0, 1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 103, 0, 103, 101, 100, 115, 115, 93, 64, 55, 0, 102, 0, 28, 25, 0, 20, 107, 0, 0, 0, 106, 124, 76, 76, 1, 1, 0, 0, 2, 0, 0, 0, 121, 0, 0, 28, 2, 30, 28, 0, 0, 79, 59, 106, 0, 0
INVAR-1, Run: 052, F, 0, 2, 1, 1, 0, 1, 0, 1, 1, 1, 1, 2, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 82, 0, 108, 101, 101, 114, 113, 124, 74, 86, 0, 81, 0, 49, 44, 0, 34, 121, 0, 0, 0, 120, 95, 124, 123, 2, 2, 7, 7, 0, 0, 0, 0, 93, 0, 0, 40, 0, 40, 40, 0, 0, 115, 80, 109, 0, 0
INVAR-1, Run: 053, F, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 110, 0, 91, 117, 117, 106, 106, 81, 42, 86, 0, 109, 0, 39, 43, 0, 22, 111, 0, 0, 0, 111, 93, 118, 119, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 42, 0, 43, 42, 0, 0, 114, 92, 92, 0, 0
INVAR-1, Run: 054, F, 0, 2, 1, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 86, 0, 118, 134, 134, 75, 74, 56, 27, 87, 0, 85, 0, 29, 37, 0, 14, 91, 0, 0, 0, 90, 103, 85, 84, 1, 1, 2, 2, 3, 2, 1, 0, 102, 0, 1, 50, 1, 50, 50, 0, 0, 108, 94, 120, 0, 0
