Input Number, Run_Number, Result@ 100, prey_g616, prey_ccdB, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 1, 1, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 77, 0, 89, 82, 82, 90, 89, 98, 77, 41, 0, 77, 0, 21, 18, 0, 21, 96, 0, 0, 0, 95, 87, 88, 88, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 22, 0, 23, 23, 0, 0, 69, 48, 91, 0, 0
INVAR-1, Run: 002, F, 0, 1, 1, 3, 0, 2, 3, 1, 2, 0, 1, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 103, 0, 93, 97, 94, 105, 103, 118, 80, 41, 0, 100, 0, 38, 20, 0, 31, 102, 0, 0, 0, 102, 105, 93, 93, 2, 2, 3, 3, 1, 1, 0, 0, 101, 0, 0, 20, 0, 21, 20, 0, 0, 88, 56, 95, 0, 0
INVAR-1, Run: 003, F, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 93, 0, 128, 176, 174, 94, 94, 115, 52, 56, 0, 93, 0, 63, 32, 0, 31, 80, 0, 0, 0, 79, 108, 69, 70, 3, 3, 0, 0, 1, 1, 1, 0, 108, 0, 1, 24, 0, 24, 24, 0, 0, 99, 68, 129, 0, 0
INVAR-1, Run: 004, F, 0, 0, 1, 1, 0, 0, 0, 1, 1, 3, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 91, 5, 93, 102, 102, 102, 101, 113, 74, 65, 10, 90, 10, 36, 26, 5, 20, 84, 0, 0, 0, 82, 120, 91, 92, 3, 3, 5, 5, 5, 5, 7, 0, 118, 0, 2, 39, 0, 39, 39, 5, 5, 88, 68, 88, 4, 4
INVAR-1, Run: 005, F, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 101, 0, 103, 125, 124, 100, 100, 74, 45, 77, 0, 101, 0, 29, 35, 0, 22, 106, 0, 0, 0, 104, 82, 101, 102, 2, 2, 0, 0, 1, 0, 0, 0, 81, 0, 0, 42, 1, 42, 42, 0, 0, 88, 66, 104, 0, 0
INVAR-1, Run: 006, F, 0, 0, 1, 1, 0, 0, 0, 1, 1, 5, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 96, 0, 79, 67, 67, 83, 82, 97, 70, 60, 0, 95, 0, 22, 27, 0, 31, 89, 0, 0, 0, 89, 92, 87, 88, 1, 1, 0, 0, 1, 1, 1, 0, 92, 0, 1, 32, 0, 32, 32, 0, 0, 88, 57, 79, 0, 0
INVAR-1, Run: 007, F, 0, 1, 1, 3, 0, 1, 1, 1, 2, 0, 3, 2, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 98, 0, 101, 120, 119, 87, 85, 108, 68, 84, 0, 95, 0, 40, 43, 0, 32, 114, 0, 0, 0, 113, 108, 157, 157, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 37, 0, 39, 37, 0, 0, 114, 79, 102, 0, 0
INVAR-1, Run: 008, F, 0, 2, 1, 3, 0, 0, 4, 1, 1, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 85, 0, 98, 120, 116, 85, 84, 93, 51, 52, 0, 82, 0, 42, 33, 0, 29, 104, 0, 0, 0, 102, 80, 106, 105, 2, 2, 1, 1, 3, 2, 0, 0, 80, 0, 0, 18, 1, 19, 18, 0, 0, 79, 49, 98, 0, 0
INVAR-1, Run: 009, F, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 84, 0, 92, 78, 78, 90, 89, 82, 53, 72, 0, 83, 0, 29, 46, 0, 13, 108, 0, 0, 0, 108, 70, 110, 111, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 23, 0, 24, 24, 0, 0, 75, 61, 93, 0, 0
INVAR-1, Run: 010, F, 0, 1, 1, 2, 0, 2, 2, 1, 4, 3, 1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 91, 4, 89, 84, 82, 105, 101, 89, 55, 71, 1, 89, 1, 31, 39, 2, 21, 126, 0, 0, 0, 123, 104, 112, 112, 2, 2, 4, 4, 4, 1, 2, 0, 103, 0, 0, 31, 3, 32, 32, 2, 2, 86, 64, 87, 2, 2
INVAR-1, Run: 011, F, 0, 1, 1, 1, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 99, 91, 88, 99, 98, 86, 53, 54, 0, 93, 0, 33, 30, 0, 24, 106, 0, 0, 0, 102, 92, 94, 94, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 24, 0, 24, 24, 0, 0, 86, 62, 100, 0, 0
INVAR-1, Run: 012, F, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 4, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 113, 0, 108, 97, 97, 97, 97, 88, 60, 77, 0, 111, 0, 28, 48, 0, 31, 94, 0, 0, 0, 93, 132, 84, 85, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 29, 0, 29, 29, 0, 0, 115, 80, 108, 0, 0
INVAR-1, Run: 013, F, 0, 2, 1, 0, 0, 2, 0, 1, 2, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 92, 0, 93, 75, 75, 113, 111, 93, 62, 77, 0, 92, 0, 29, 41, 0, 31, 106, 0, 0, 0, 105, 108, 109, 108, 1, 1, 0, 0, 0, 0, 0, 0, 108, 0, 0, 35, 0, 36, 35, 0, 0, 104, 72, 95, 0, 0
INVAR-1, Run: 014, F, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 3, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 94, 76, 75, 87, 87, 83, 55, 76, 0, 95, 0, 28, 40, 0, 15, 99, 0, 0, 0, 98, 101, 103, 103, 4, 4, 2, 2, 3, 2, 0, 2, 101, 2, 0, 34, 1, 34, 34, 0, 0, 83, 65, 94, 0, 0
