Input Number, Run_Number, Result@ 100, prey_mrna595, predator_Q2b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b_H2, prey_g594, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 015, F, 0, 2, 1, 1, 0, 2, 2, 1, 3, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 1, 47, 98, 25, 94, 116, 114, 102, 99, 94, 48, 46, 34, 97, 34, 46, 19, 31, 7, 74, 22, 22, 30, 57, 79, 57, 57, 99, 97, 95, 93, 98, 76, 66, 36, 124, 36, 34, 27, 20, 27, 27, 32, 32, 68, 60, 71, 27, 27
INVAR-1, Run: 016, F, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 3, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 60, 111, 22, 99, 85, 85, 104, 103, 93, 67, 82, 30, 111, 30, 25, 38, 27, 32, 105, 7, 7, 5, 50, 100, 53, 53, 87, 87, 54, 54, 73, 59, 58, 14, 158, 14, 31, 40, 14, 42, 41, 27, 27, 120, 85, 77, 28, 28
INVAR-1, Run: 017, F, 0, 1, 1, 2, 0, 0, 1, 1, 0, 0, 6, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 40, 112, 18, 105, 117, 116, 94, 94, 84, 47, 108, 28, 110, 28, 37, 58, 35, 27, 72, 24, 24, 19, 51, 119, 47, 47, 89, 89, 101, 100, 97, 70, 78, 31, 158, 31, 43, 46, 27, 48, 47, 35, 35, 118, 85, 87, 21, 21
INVAR-1, Run: 018, F, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 47, 93, 45, 101, 112, 112, 109, 108, 136, 74, 66, 58, 92, 57, 62, 37, 47, 36, 64, 25, 24, 24, 40, 105, 45, 43, 110, 109, 144, 143, 104, 94, 95, 46, 151, 45, 47, 28, 10, 29, 29, 48, 48, 102, 65, 57, 36, 36
INVAR-1, Run: 019, F, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 50, 110, 25, 88, 71, 71, 104, 104, 128, 83, 64, 32, 110, 32, 45, 46, 26, 37, 101, 4, 4, 1, 52, 115, 56, 56, 94, 94, 71, 71, 87, 59, 59, 4, 164, 4, 31, 18, 28, 18, 18, 28, 27, 101, 64, 63, 18, 18
INVAR-1, Run: 020, F, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 42, 97, 44, 104, 118, 118, 113, 112, 101, 65, 89, 83, 97, 82, 35, 54, 37, 38, 59, 39, 39, 26, 43, 100, 42, 42, 95, 95, 87, 87, 83, 72, 72, 56, 140, 56, 34, 35, 9, 35, 35, 38, 38, 101, 63, 60, 49, 49
INVAR-1, Run: 021, F, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 47, 103, 19, 101, 80, 80, 90, 89, 100, 65, 71, 24, 103, 23, 35, 30, 27, 37, 75, 19, 19, 15, 43, 112, 52, 51, 105, 104, 97, 97, 89, 71, 61, 26, 157, 26, 32, 41, 17, 41, 41, 28, 28, 115, 78, 82, 21, 21
INVAR-1, Run: 022, F, 0, 0, 1, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 1, 2, 1, 0, 0, 0, 1, 45, 106, 16, 111, 112, 112, 90, 89, 83, 50, 85, 37, 106, 37, 31, 48, 38, 23, 66, 13, 13, 14, 35, 97, 39, 39, 93, 90, 105, 104, 107, 94, 77, 29, 142, 29, 38, 37, 11, 37, 37, 38, 38, 100, 77, 96, 18, 18
INVAR-1, Run: 023, F, 1, 7, 1, 0, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 1, 2, 0, 0, 0, 0, 1, 49, 110, 31, 103, 94, 93, 99, 97, 102, 73, 64, 37, 110, 37, 29, 30, 18, 31, 81, 21, 21, 15, 46, 133, 51, 49, 89, 88, 105, 104, 81, 62, 38, 28, 175, 28, 20, 34, 17, 34, 34, 18, 18, 111, 80, 74, 26, 26
INVAR-1, Run: 024, F, 1, 0, 1, 1, 0, 1, 3, 1, 0, 1, 1, 1, 0, 3, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 48, 100, 35, 87, 75, 72, 106, 106, 87, 50, 59, 61, 99, 58, 36, 25, 41, 31, 69, 17, 17, 28, 48, 102, 50, 50, 104, 104, 102, 101, 96, 81, 95, 56, 147, 55, 51, 31, 15, 33, 33, 44, 44, 88, 56, 53, 39, 39
INVAR-1, Run: 025, F, 0, 1, 1, 1, 0, 2, 0, 1, 1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 48, 111, 46, 101, 101, 101, 115, 114, 136, 85, 59, 38, 110, 38, 50, 35, 28, 33, 84, 21, 21, 29, 65, 120, 47, 47, 96, 96, 84, 84, 90, 71, 56, 31, 167, 31, 27, 24, 19, 24, 24, 29, 29, 108, 73, 57, 34, 34
INVAR-1, Run: 026, F, 0, 1, 1, 2, 0, 0, 0, 1, 1, 2, 0, 0, 3, 1, 1, 0, 0, 1, 1, 0, 2, 1, 0, 0, 0, 0, 1, 46, 93, 32, 103, 97, 97, 98, 97, 77, 59, 68, 53, 91, 52, 16, 36, 40, 33, 78, 17, 17, 13, 45, 85, 50, 49, 95, 95, 109, 107, 99, 69, 81, 32, 129, 32, 37, 32, 29, 32, 32, 44, 44, 98, 65, 71, 30, 30
INVAR-1, Run: 027, F, 0, 3, 1, 3, 0, 0, 0, 1, 2, 3, 3, 0, 0, 1, 1, 1, 0, 0, 1, 2, 4, 4, 2, 0, 1, 4, 1, 58, 94, 32, 102, 77, 77, 125, 123, 114, 74, 47, 77, 91, 76, 37, 24, 41, 29, 101, 10, 10, 11, 54, 77, 48, 48, 111, 109, 99, 94, 117, 88, 95, 21, 131, 20, 47, 21, 25, 23, 22, 46, 42, 81, 49, 70, 32, 32
INVAR-1, Run: 028, F, 1, 5, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 56, 101, 31, 94, 98, 98, 97, 96, 80, 52, 84, 44, 100, 44, 27, 44, 36, 17, 100, 16, 15, 20, 63, 83, 51, 51, 86, 85, 83, 82, 108, 80, 92, 19, 134, 18, 55, 37, 28, 40, 39, 36, 36, 76, 58, 63, 30, 30
INVAR-1, Run: 029, F, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 49, 104, 23, 85, 88, 88, 109, 108, 125, 82, 36, 39, 104, 38, 42, 20, 26, 39, 94, 7, 7, 7, 52, 96, 40, 40, 76, 76, 74, 74, 86, 67, 56, 5, 144, 5, 29, 16, 19, 16, 16, 27, 27, 106, 66, 62, 30, 29
INVAR-1, Run: 030, F, 1, 2, 1, 1, 0, 0, 1, 1, 1, 0, 5, 1, 0, 0, 1, 1, 0, 1, 1, 3, 1, 0, 1, 0, 1, 0, 1, 38, 98, 14, 80, 78, 77, 93, 92, 85, 42, 88, 58, 97, 58, 43, 40, 36, 30, 50, 28, 28, 27, 38, 112, 39, 38, 103, 100, 93, 91, 114, 82, 76, 58, 148, 57, 39, 45, 32, 47, 46, 36, 36, 116, 81, 66, 27, 27
INVAR-1, Run: 031, F, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 56, 99, 27, 97, 114, 114, 87, 86, 89, 55, 96, 63, 99, 62, 34, 46, 38, 38, 87, 15, 15, 14, 45, 105, 57, 57, 101, 100, 90, 88, 80, 59, 69, 22, 159, 21, 30, 47, 21, 49, 49, 39, 39, 123, 85, 70, 28, 28
INVAR-1, Run: 032, F, 0, 1, 1, 0, 0, 2, 3, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 0, 2, 0, 1, 3, 1, 35, 121, 26, 104, 104, 101, 93, 93, 79, 48, 99, 38, 121, 37, 31, 64, 30, 48, 53, 26, 26, 19, 37, 118, 42, 40, 109, 108, 110, 108, 123, 94, 66, 38, 151, 37, 29, 32, 29, 34, 33, 35, 32, 133, 84, 80, 20, 20
INVAR-1, Run: 033, F, 2, 0, 1, 0, 1, 0, 0, 1, 2, 1, 0, 0, 1, 3, 0, 0, 1, 0, 1, 0, 1, 2, 1, 1, 0, 2, 0, 50, 93, 35, 100, 103, 103, 92, 90, 60, 33, 75, 80, 93, 76, 26, 29, 51, 16, 87, 15, 14, 16, 51, 107, 56, 56, 95, 95, 84, 82, 108, 81, 100, 33, 153, 32, 41, 44, 25, 46, 46, 58, 56, 90, 74, 65, 43, 42
INVAR-1, Run: 034, F, 1, 1, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 49, 94, 21, 106, 120, 118, 104, 103, 110, 64, 45, 36, 94, 36, 46, 25, 31, 25, 100, 7, 7, 4, 54, 81, 51, 51, 97, 97, 82, 82, 95, 69, 71, 15, 129, 15, 40, 20, 26, 20, 20, 31, 31, 82, 57, 85, 20, 20
INVAR-1, Run: 035, F, 0, 3, 1, 5, 0, 1, 0, 1, 3, 2, 4, 3, 0, 3, 1, 0, 0, 1, 1, 1, 2, 1, 0, 0, 0, 2, 1, 56, 102, 18, 102, 109, 109, 99, 96, 70, 39, 72, 21, 97, 18, 29, 28, 16, 14, 81, 13, 13, 24, 49, 114, 40, 39, 108, 107, 100, 98, 84, 57, 47, 20, 164, 20, 26, 41, 26, 41, 41, 21, 19, 101, 83, 85, 18, 18
INVAR-1, Run: 036, F, 0, 0, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 46, 104, 58, 104, 142, 142, 128, 125, 114, 55, 62, 72, 104, 72, 58, 32, 30, 20, 72, 20, 20, 27, 53, 106, 52, 52, 102, 102, 87, 85, 97, 73, 67, 24, 152, 24, 37, 30, 24, 30, 30, 30, 30, 97, 77, 46, 40, 40
INVAR-1, Run: 037, F, 0, 3, 1, 1, 0, 1, 4, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 2, 1, 2, 2, 0, 2, 0, 0, 1, 1, 49, 91, 24, 98, 94, 90, 89, 88, 98, 55, 53, 30, 90, 30, 43, 20, 30, 31, 79, 16, 15, 18, 48, 71, 60, 58, 107, 105, 78, 75, 95, 68, 70, 29, 117, 28, 37, 32, 27, 33, 33, 31, 30, 93, 61, 75, 16, 16
INVAR-1, Run: 038, F, 0, 4, 1, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 2, 0, 0, 43, 110, 10, 90, 93, 93, 94, 94, 107, 68, 83, 17, 107, 16, 39, 46, 26, 26, 88, 10, 10, 4, 49, 91, 62, 62, 67, 66, 64, 63, 94, 58, 51, 22, 129, 21, 23, 33, 35, 37, 35, 27, 27, 93, 66, 80, 11, 10
INVAR-1, Run: 039, F, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 43, 117, 41, 94, 77, 77, 89, 89, 85, 49, 94, 49, 117, 49, 36, 50, 29, 32, 70, 22, 22, 16, 43, 111, 40, 40, 85, 85, 88, 88, 78, 61, 64, 23, 154, 23, 35, 43, 17, 44, 43, 29, 29, 135, 103, 53, 32, 32
INVAR-1, Run: 040, F, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 48, 109, 11, 97, 120, 119, 115, 115, 101, 61, 81, 35, 108, 35, 40, 42, 19, 28, 78, 23, 23, 23, 52, 101, 55, 55, 99, 97, 80, 79, 73, 55, 45, 21, 149, 20, 26, 37, 18, 38, 38, 19, 19, 116, 88, 87, 16, 16
INVAR-1, Run: 041, F, 0, 0, 1, 1, 0, 1, 2, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 2, 3, 0, 0, 0, 2, 1, 51, 115, 16, 103, 114, 112, 94, 92, 89, 48, 72, 21, 114, 20, 41, 29, 16, 26, 65, 28, 28, 27, 41, 106, 54, 53, 85, 84, 69, 67, 58, 38, 47, 40, 156, 40, 28, 43, 17, 43, 43, 19, 17, 107, 81, 88, 17, 17
INVAR-1, Run: 042, F, 0, 2, 1, 2, 0, 1, 0, 1, 2, 1, 2, 2, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 57, 104, 21, 100, 79, 79, 109, 107, 114, 78, 70, 21, 102, 21, 35, 41, 29, 35, 72, 25, 25, 37, 52, 98, 58, 57, 97, 97, 101, 101, 88, 71, 54, 36, 153, 36, 23, 27, 17, 27, 27, 30, 30, 97, 60, 80, 16, 16
INVAR-1, Run: 043, F, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 48, 104, 23, 99, 84, 84, 104, 104, 119, 85, 69, 47, 102, 47, 34, 30, 31, 45, 93, 21, 21, 16, 61, 101, 59, 59, 84, 84, 81, 81, 82, 61, 61, 25, 149, 25, 30, 38, 21, 38, 38, 31, 31, 112, 66, 77, 23, 23
INVAR-1, Run: 044, F, 0, 2, 1, 0, 0, 1, 1, 1, 0, 0, 2, 4, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 2, 4, 0, 1, 52, 117, 21, 123, 117, 116, 120, 120, 132, 74, 106, 46, 117, 45, 58, 51, 33, 38, 91, 20, 19, 19, 58, 110, 61, 60, 106, 106, 85, 83, 99, 69, 79, 30, 159, 28, 45, 43, 30, 51, 47, 34, 34, 130, 90, 103, 23, 23
INVAR-1, Run: 045, F, 1, 0, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 2, 0, 0, 0, 36, 114, 16, 93, 96, 95, 100, 98, 80, 50, 86, 42, 113, 40, 30, 47, 25, 26, 72, 13, 13, 6, 41, 132, 60, 58, 86, 86, 97, 96, 72, 56, 59, 14, 166, 14, 32, 37, 16, 39, 39, 27, 27, 124, 97, 78, 21, 20
INVAR-1, Run: 046, F, 0, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 40, 83, 38, 107, 94, 93, 99, 99, 91, 55, 44, 41, 82, 40, 36, 21, 33, 22, 69, 19, 18, 19, 48, 67, 47, 46, 88, 88, 84, 82, 84, 64, 81, 28, 106, 26, 45, 21, 20, 23, 23, 36, 35, 70, 48, 71, 31, 30
INVAR-1, Run: 047, F, 0, 0, 1, 1, 1, 2, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 69, 92, 29, 100, 99, 98, 96, 94, 112, 69, 76, 22, 91, 21, 43, 37, 24, 35, 86, 22, 21, 35, 52, 134, 64, 64, 102, 102, 132, 131, 105, 73, 55, 58, 202, 57, 29, 38, 32, 39, 39, 26, 26, 103, 68, 73, 21, 20
INVAR-1, Run: 048, F, 0, 4, 1, 3, 0, 0, 2, 1, 3, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 59, 103, 50, 106, 116, 114, 118, 115, 122, 76, 39, 58, 100, 58, 45, 21, 31, 21, 93, 15, 15, 8, 42, 80, 63, 62, 108, 107, 107, 107, 101, 74, 64, 15, 135, 15, 33, 17, 27, 17, 17, 31, 31, 77, 56, 56, 46, 46
INVAR-1, Run: 049, F, 0, 2, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 51, 120, 31, 92, 90, 89, 91, 90, 92, 60, 86, 74, 120, 74, 32, 42, 41, 31, 74, 26, 26, 30, 53, 104, 71, 71, 113, 112, 92, 92, 94, 70, 69, 34, 153, 34, 28, 44, 24, 44, 44, 41, 41, 115, 84, 62, 40, 40
INVAR-1, Run: 050, F, 0, 1, 1, 2, 0, 1, 0, 1, 2, 1, 2, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 55, 96, 22, 86, 78, 78, 108, 106, 90, 55, 59, 46, 94, 46, 34, 34, 44, 35, 90, 19, 19, 7, 42, 74, 60, 59, 103, 102, 112, 111, 108, 81, 83, 25, 128, 25, 39, 25, 26, 25, 25, 44, 44, 86, 49, 65, 31, 31
INVAR-1, Run: 051, F, 2, 4, 1, 4, 1, 0, 0, 1, 0, 0, 2, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 2, 1, 0, 0, 37, 114, 12, 95, 123, 123, 99, 99, 104, 61, 88, 26, 110, 25, 43, 39, 39, 31, 73, 27, 27, 17, 51, 94, 36, 36, 98, 98, 97, 96, 110, 91, 87, 39, 126, 38, 47, 44, 18, 48, 47, 40, 40, 122, 89, 83, 21, 20
INVAR-1, Run: 052, F, 0, 3, 1, 4, 0, 0, 1, 1, 1, 2, 4, 1, 0, 0, 1, 0, 0, 3, 1, 3, 3, 0, 1, 0, 0, 0, 1, 58, 120, 28, 107, 116, 115, 87, 86, 93, 50, 104, 41, 116, 41, 41, 45, 32, 44, 77, 36, 36, 32, 51, 115, 51, 48, 113, 110, 101, 98, 83, 66, 71, 60, 170, 60, 38, 58, 17, 58, 58, 32, 32, 139, 91, 79, 35, 35
INVAR-1, Run: 053, F, 3, 1, 1, 2, 1, 1, 2, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 1, 5, 0, 0, 1, 0, 0, 49, 82, 36, 97, 88, 86, 99, 98, 104, 74, 50, 38, 80, 37, 30, 33, 27, 28, 91, 8, 8, 11, 50, 95, 41, 41, 102, 100, 86, 85, 68, 43, 58, 7, 142, 7, 29, 16, 20, 17, 16, 29, 29, 90, 62, 62, 29, 28
INVAR-1, Run: 054, F, 1, 0, 1, 0, 0, 1, 3, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 47, 105, 34, 99, 130, 127, 103, 102, 129, 82, 85, 48, 105, 48, 47, 47, 28, 31, 67, 20, 20, 21, 40, 114, 41, 40, 92, 91, 92, 92, 80, 60, 56, 37, 161, 37, 28, 37, 20, 38, 38, 28, 28, 119, 87, 66, 38, 38
