Input Number, Run_Number, Result@ 100, prey_mrna595, predator_Q2b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b_H2, prey_g594, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 1, 0, 1, 1, 1, 2, 1, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 38, 103, 5, 91, 74, 73, 97, 95, 109, 76, 74, 6, 102, 4, 32, 40, 13, 41, 87, 10, 9, 3, 51, 108, 46, 46, 98, 98, 89, 87, 61, 49, 61, 9, 144, 7, 45, 31, 11, 34, 33, 15, 15, 114, 73, 88, 4, 3
INVAR-1, Run: 002, F, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 3, 0, 1, 0, 49, 100, 46, 111, 98, 98, 113, 112, 120, 80, 98, 72, 99, 71, 39, 44, 48, 30, 54, 31, 31, 42, 47, 102, 32, 31, 101, 101, 96, 94, 119, 93, 104, 42, 150, 42, 54, 50, 26, 53, 53, 50, 49, 118, 88, 66, 42, 41
INVAR-1, Run: 003, F, 0, 3, 1, 2, 0, 0, 1, 1, 2, 1, 3, 1, 0, 0, 1, 0, 0, 0, 1, 1, 2, 2, 1, 0, 2, 0, 1, 47, 90, 21, 96, 103, 102, 82, 80, 88, 56, 73, 44, 88, 44, 31, 30, 31, 32, 73, 18, 18, 21, 47, 114, 40, 40, 98, 97, 100, 98, 94, 69, 64, 29, 158, 29, 32, 40, 23, 42, 40, 31, 31, 108, 73, 75, 23, 23
INVAR-1, Run: 004, F, 0, 2, 1, 1, 0, 1, 4, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 50, 101, 42, 94, 106, 102, 73, 72, 61, 33, 96, 54, 100, 54, 27, 48, 35, 19, 72, 32, 32, 40, 62, 109, 49, 49, 125, 125, 106, 104, 100, 75, 66, 57, 157, 57, 31, 48, 25, 48, 48, 35, 35, 113, 94, 53, 37, 37
INVAR-1, Run: 005, F, 0, 3, 1, 2, 1, 0, 1, 1, 1, 3, 0, 0, 0, 2, 1, 1, 0, 0, 1, 2, 2, 1, 0, 0, 0, 0, 0, 54, 104, 31, 81, 93, 92, 103, 102, 93, 56, 59, 72, 102, 69, 34, 33, 38, 37, 75, 15, 15, 21, 42, 127, 45, 45, 120, 118, 114, 111, 109, 91, 87, 22, 175, 21, 46, 25, 17, 26, 26, 41, 41, 117, 80, 50, 43, 42
INVAR-1, Run: 006, F, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 4, 1, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 1, 0, 1, 35, 117, 26, 114, 113, 113, 77, 77, 63, 40, 126, 53, 116, 53, 23, 68, 42, 31, 46, 42, 42, 37, 48, 142, 37, 37, 90, 89, 99, 98, 82, 68, 88, 58, 177, 58, 44, 53, 12, 54, 53, 43, 43, 144, 111, 88, 27, 27
INVAR-1, Run: 007, F, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 2, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 59, 112, 28, 119, 92, 92, 101, 100, 83, 59, 78, 36, 112, 33, 24, 37, 31, 39, 94, 22, 21, 12, 47, 119, 58, 58, 110, 110, 115, 114, 108, 79, 78, 30, 175, 29, 40, 40, 28, 41, 41, 38, 36, 126, 87, 91, 23, 22
INVAR-1, Run: 008, F, 1, 3, 1, 2, 0, 2, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 1, 2, 0, 0, 1, 0, 1, 1, 53, 107, 24, 98, 97, 95, 78, 78, 92, 64, 88, 35, 105, 35, 28, 35, 33, 28, 92, 31, 31, 21, 59, 111, 55, 53, 88, 87, 93, 91, 79, 56, 58, 60, 161, 60, 24, 52, 23, 53, 53, 34, 33, 111, 82, 76, 25, 25
INVAR-1, Run: 009, F, 0, 3, 1, 2, 0, 0, 2, 1, 0, 0, 5, 2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 2, 5, 0, 1, 47, 88, 26, 96, 109, 107, 104, 104, 108, 62, 75, 45, 86, 45, 46, 34, 34, 18, 104, 5, 5, 3, 60, 70, 51, 50, 90, 90, 79, 79, 86, 64, 59, 6, 114, 6, 25, 32, 22, 39, 34, 34, 34, 85, 62, 70, 27, 27
INVAR-1, Run: 010, F, 0, 0, 1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1, 55, 100, 36, 110, 112, 112, 110, 108, 122, 62, 69, 77, 99, 77, 60, 37, 40, 25, 74, 25, 25, 17, 36, 97, 41, 41, 116, 115, 102, 99, 123, 99, 97, 44, 152, 43, 56, 31, 23, 32, 32, 41, 41, 82, 56, 75, 27, 27
INVAR-1, Run: 011, F, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 36, 80, 31, 114, 94, 94, 97, 97, 82, 53, 48, 42, 80, 42, 29, 20, 39, 20, 64, 25, 25, 19, 47, 87, 33, 32, 127, 127, 112, 111, 116, 89, 77, 49, 122, 49, 37, 27, 27, 28, 27, 40, 40, 73, 53, 84, 25, 25
INVAR-1, Run: 012, F, 2, 4, 1, 3, 1, 1, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 52, 129, 21, 90, 96, 96, 111, 109, 107, 66, 74, 40, 126, 39, 41, 44, 25, 34, 89, 16, 15, 12, 47, 128, 44, 44, 81, 81, 95, 94, 97, 78, 60, 19, 175, 18, 34, 29, 19, 30, 30, 26, 26, 131, 95, 70, 36, 35
INVAR-1, Run: 013, F, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 63, 100, 12, 84, 71, 71, 97, 97, 73, 56, 80, 42, 99, 41, 16, 34, 29, 16, 59, 26, 26, 47, 43, 113, 55, 55, 100, 100, 83, 83, 85, 71, 71, 38, 174, 38, 41, 46, 14, 46, 46, 30, 30, 101, 85, 73, 26, 25
INVAR-1, Run: 014, F, 1, 3, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 3, 0, 0, 1, 2, 1, 0, 1, 2, 0, 1, 1, 0, 0, 46, 94, 36, 96, 94, 94, 102, 101, 136, 89, 75, 81, 94, 77, 46, 33, 57, 42, 63, 21, 20, 15, 31, 78, 30, 28, 107, 107, 131, 129, 118, 102, 117, 34, 117, 33, 55, 39, 14, 42, 41, 62, 62, 95, 52, 61, 30, 29
