Input Number, Run_Number, Result@ 100, CO, D, A, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 1, 335, 9, 6, 2, 9, 18, 27, 2, 343
INVAR-1, Run: 002, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 116, 9, 4, 4, 9, 18, 27, 4, 125
INVAR-1, Run: 003, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 57, 9, 6, 2, 9, 18, 27, 3, 65
INVAR-1, Run: 004, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 9, 104, 9, 6, 2, 9, 18, 27, 9, 113
INVAR-1, Run: 005, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 172, 9, 6, 2, 9, 18, 27, 4, 181
INVAR-1, Run: 006, F, 0, 0, 54, 0, 0, 0, 0, 2, 9, 1, 0, 7, 18, 5, 97, 9, 4, 4, 9, 18, 27, 7, 104
INVAR-1, Run: 007, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 68, 9, 5, 3, 9, 18, 27, 3, 76
INVAR-1, Run: 008, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 83, 9, 6, 2, 9, 18, 27, 3, 91
INVAR-1, Run: 009, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 5, 61, 9, 6, 2, 9, 18, 27, 5, 70
INVAR-1, Run: 010, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 86, 9, 3, 5, 9, 18, 27, 4, 94
INVAR-1, Run: 011, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 104, 9, 5, 3, 9, 18, 27, 3, 112
INVAR-1, Run: 012, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 10, 137, 9, 4, 4, 9, 18, 27, 11, 145
INVAR-1, Run: 013, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 113, 9, 4, 4, 9, 18, 27, 3, 121
INVAR-1, Run: 014, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 54, 9, 4, 4, 9, 18, 27, 3, 63
INVAR-1, Run: 015, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 12, 150, 9, 7, 1, 9, 18, 27, 12, 159
INVAR-1, Run: 016, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 5, 86, 9, 7, 1, 9, 18, 27, 5, 95
