Input Number, Run_Number, Result@ 100, CO, D, A, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 036, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 128, 9, 5, 3, 9, 18, 27, 3, 137
INVAR-1, Run: 037, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 132, 9, 5, 3, 9, 18, 27, 4, 140
INVAR-1, Run: 038, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 4, 161, 9, 3, 5, 9, 18, 27, 5, 169
INVAR-1, Run: 039, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 5, 103, 9, 7, 1, 9, 18, 27, 6, 111
INVAR-1, Run: 040, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 7, 212, 9, 7, 1, 9, 18, 27, 7, 221
INVAR-1, Run: 041, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 0, 105, 9, 7, 1, 9, 18, 27, 1, 113
INVAR-1, Run: 042, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 8, 189, 9, 8, 0, 9, 18, 27, 8, 198
INVAR-1, Run: 043, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 15, 70, 9, 4, 4, 9, 18, 27, 16, 78
INVAR-1, Run: 044, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 148, 9, 6, 2, 9, 18, 27, 3, 156
INVAR-1, Run: 045, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 1, 168, 9, 7, 1, 9, 18, 27, 1, 177
INVAR-1, Run: 046, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 7, 157, 9, 7, 1, 9, 18, 27, 7, 166
INVAR-1, Run: 047, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 164, 9, 5, 3, 9, 18, 27, 3, 173
INVAR-1, Run: 048, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 126, 9, 6, 2, 9, 18, 27, 3, 134
INVAR-1, Run: 049, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 210, 9, 4, 4, 9, 18, 27, 4, 219
INVAR-1, Run: 050, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 6, 75, 9, 4, 4, 9, 18, 27, 7, 83
INVAR-1, Run: 051, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 13, 78, 9, 2, 6, 9, 18, 27, 14, 86
INVAR-1, Run: 052, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 9, 91, 9, 3, 5, 9, 18, 27, 10, 99
INVAR-1, Run: 053, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 10, 43, 9, 5, 3, 9, 18, 27, 11, 51
INVAR-1, Run: 054, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 90, 9, 4, 4, 9, 18, 27, 4, 99
INVAR-1, Run: 055, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 106, 9, 5, 3, 9, 18, 27, 3, 114
INVAR-1, Run: 056, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 4, 164, 9, 7, 1, 9, 18, 27, 5, 172
INVAR-1, Run: 057, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 84, 9, 7, 1, 9, 18, 27, 4, 92
INVAR-1, Run: 058, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 1, 114, 9, 7, 1, 9, 18, 27, 2, 122
INVAR-1, Run: 059, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 100, 9, 7, 1, 9, 18, 27, 3, 109
INVAR-1, Run: 060, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 5, 97, 9, 5, 3, 9, 18, 27, 6, 105
INVAR-1, Run: 061, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 1, 49, 9, 5, 3, 9, 18, 27, 2, 57
