Input Number, Run_Number, Result@ 100, X1, Y, X2
INVAR-10, Run: 027, P, 50, 4986, 0
INVAR-10, Run: 028, P, 50, 4975, 0
INVAR-10, Run: 029, P, 50, 4842, 0
INVAR-10, Run: 030, P, 50, 4863, 0
INVAR-10, Run: 031, P, 50, 4978, 0
INVAR-10, Run: 032, P, 50, 4917, 0
INVAR-10, Run: 033, P, 50, 4987, 0
INVAR-10, Run: 034, P, 50, 4976, 0
INVAR-10, Run: 035, P, 50, 4968, 0
INVAR-10, Run: 036, P, 50, 4971, 0
INVAR-10, Run: 037, P, 50, 4875, 0
INVAR-10, Run: 038, P, 50, 5049, 0
INVAR-10, Run: 039, P, 50, 4864, 0
INVAR-10, Run: 040, P, 50, 4887, 0
INVAR-10, Run: 041, P, 50, 4979, 0
INVAR-10, Run: 042, P, 50, 4898, 0
INVAR-10, Run: 043, P, 50, 5017, 0
INVAR-10, Run: 044, P, 50, 5021, 0
INVAR-10, Run: 045, P, 50, 5156, 0
INVAR-10, Run: 046, P, 50, 5050, 0
INVAR-10, Run: 047, P, 50, 4989, 0
INVAR-10, Run: 048, P, 50, 4891, 0
INVAR-10, Run: 049, P, 50, 4901, 0
INVAR-10, Run: 050, P, 50, 4972, 0
INVAR-10, Run: 051, P, 50, 4928, 0
INVAR-10, Run: 052, P, 50, 4995, 0
INVAR-10, Run: 053, P, 50, 4933, 0
INVAR-10, Run: 054, P, 50, 4876, 0
INVAR-10, Run: 055, P, 50, 4955, 0
INVAR-10, Run: 056, P, 50, 5019, 0
INVAR-10, Run: 057, P, 50, 5030, 0
INVAR-10, Run: 058, P, 50, 4901, 0
INVAR-10, Run: 059, P, 50, 4975, 0
INVAR-10, Run: 060, P, 50, 4929, 0
INVAR-10, Run: 061, P, 50, 4949, 0
INVAR-10, Run: 062, P, 50, 4935, 0
INVAR-10, Run: 063, P, 50, 5035, 0
INVAR-10, Run: 064, P, 50, 5008, 0
INVAR-10, Run: 065, P, 50, 5009, 0
INVAR-10, Run: 066, P, 50, 4870, 0
INVAR-10, Run: 067, P, 50, 4921, 0
INVAR-10, Run: 068, P, 50, 4955, 0
INVAR-10, Run: 069, P, 50, 5007, 0
INVAR-10, Run: 070, P, 50, 5005, 0
INVAR-10, Run: 071, P, 50, 4841, 0
INVAR-10, Run: 072, P, 50, 4920, 0
INVAR-10, Run: 073, P, 50, 4974, 0
INVAR-10, Run: 074, P, 50, 4953, 0
INVAR-10, Run: 075, P, 50, 4965, 0
INVAR-10, Run: 076, P, 50, 4950, 0
INVAR-10, Run: 077, P, 50, 5090, 0
INVAR-10, Run: 078, P, 50, 4899, 0
INVAR-10, Run: 079, P, 50, 4954, 0
INVAR-10, Run: 080, P, 50, 4987, 0
INVAR-10, Run: 081, P, 50, 4963, 0
INVAR-10, Run: 082, P, 50, 4939, 0
INVAR-10, Run: 083, P, 50, 5036, 0
INVAR-10, Run: 084, P, 50, 4994, 0
INVAR-10, Run: 085, P, 50, 5129, 0
INVAR-10, Run: 086, P, 50, 4972, 0
INVAR-10, Run: 087, P, 50, 5002, 0
INVAR-10, Run: 088, P, 50, 4870, 0
INVAR-10, Run: 089, P, 50, 5061, 0
INVAR-10, Run: 090, P, 50, 4856, 0
INVAR-10, Run: 091, P, 50, 4984, 0
