Input Number, Run_Number, Result@ 100, X, XP, Z, YP, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 072, E, 0, 0, 97, 73, 24, 97, 24
INVAR-1, Run: 073, E, 0, 0, 110, 86, 24, 110, 24
INVAR-1, Run: 074, E, 0, 0, 94, 70, 24, 94, 24
INVAR-1, Run: 075, E, 0, 0, 106, 82, 24, 106, 24
INVAR-1, Run: 076, E, 0, 0, 113, 89, 24, 113, 24
INVAR-1, Run: 077, E, 0, 0, 102, 78, 24, 102, 24
INVAR-1, Run: 078, E, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 079, E, 0, 0, 101, 77, 24, 101, 24
INVAR-1, Run: 080, E, 0, 0, 108, 84, 24, 108, 24
INVAR-1, Run: 081, E, 0, 0, 92, 68, 24, 92, 24
INVAR-1, Run: 082, E, 0, 0, 97, 73, 24, 97, 24
INVAR-1, Run: 083, E, 0, 0, 92, 68, 24, 92, 24
INVAR-1, Run: 084, E, 0, 0, 114, 90, 24, 114, 24
