Input Number, Run_Number, Result@ 100, A1, Y, F1P, F1, A2, F2, F2P
1, Run: 001, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 002, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 003, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 004, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 005, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 006, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 007, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 008, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 009, F, 24, 0, 0, 5, 35, 0, 5
1, Run: 010, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 011, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 012, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 013, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 014, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 015, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 016, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 017, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 018, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 019, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 020, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 021, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 022, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 023, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 024, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 025, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 026, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 027, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 028, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 029, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 030, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 031, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 032, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 033, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 034, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 035, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 036, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 037, F, 24, 0, 0, 5, 35, 0, 5
1, Run: 038, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 039, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 040, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 041, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 042, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 043, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 044, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 045, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 046, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 047, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 048, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 049, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 050, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 051, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 052, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 053, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 054, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 055, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 056, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 057, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 058, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 059, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 060, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 061, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 062, F, 24, 0, 0, 5, 35, 0, 5
1, Run: 063, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 064, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 065, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 066, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 067, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 068, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 069, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 070, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 071, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 072, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 073, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 074, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 075, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 076, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 077, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 078, F, 24, 0, 0, 5, 35, 0, 5
1, Run: 079, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 080, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 081, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 082, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 083, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 084, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 085, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 086, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 087, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 088, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 089, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 090, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 091, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 092, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 093, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 094, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 095, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 096, F, 24, 0, 0, 5, 34, 0, 5
1, Run: 097, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 098, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 099, F, 24, 0, 0, 5, 33, 0, 5
1, Run: 100, F, 24, 0, 0, 5, 33, 0, 5
10, Run: 001, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 002, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 003, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 004, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 005, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 006, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 007, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 008, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 009, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 010, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 011, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 012, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 013, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 014, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 015, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 016, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 017, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 018, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 019, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 020, F, 5, 0, 0, 5, 15, 0, 5
10, Run: 021, F, 5, 0, 0, 5, 15, 0, 5
10, Run: 022, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 023, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 024, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 025, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 026, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 027, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 028, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 029, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 030, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 031, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 032, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 033, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 034, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 035, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 036, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 037, F, 5, 0, 0, 5, 14, 0, 5
10, Run: 038, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 039, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 040, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 041, F, 5, 0, 0, 5, 13, 0, 5
10, Run: 042, F, 5, 0, 0, 5, 15, 0, 5
10, Run: 043, F, 5, 0, 0, 5, 13, 0, 5
