Input Number, Run_Number, Result@ 100, X, Y, Z
INVAR-1, Run: 001, P, 90, 0, 38
INVAR-1, Run: 002, P, 73, 0, 38
INVAR-1, Run: 003, P, 78, 0, 38
INVAR-1, Run: 004, P, 85, 0, 38
INVAR-1, Run: 005, P, 79, 0, 38
INVAR-1, Run: 006, P, 99, 0, 38
INVAR-1, Run: 007, P, 99, 0, 38
INVAR-1, Run: 008, P, 87, 0, 38
INVAR-1, Run: 009, P, 87, 0, 38
INVAR-1, Run: 010, P, 84, 0, 38
INVAR-1, Run: 011, P, 89, 0, 38
INVAR-1, Run: 012, P, 77, 0, 38
INVAR-1, Run: 013, P, 90, 0, 38
INVAR-1, Run: 014, P, 92, 0, 38
INVAR-1, Run: 015, P, 81, 0, 38
INVAR-1, Run: 016, P, 80, 0, 38
INVAR-1, Run: 017, P, 104, 0, 38
INVAR-1, Run: 018, P, 93, 0, 38
INVAR-1, Run: 019, P, 96, 0, 38
INVAR-1, Run: 020, P, 80, 0, 38
INVAR-1, Run: 021, P, 75, 0, 38
INVAR-1, Run: 022, P, 84, 0, 38
INVAR-1, Run: 023, P, 94, 0, 38
INVAR-1, Run: 024, P, 104, 0, 38
INVAR-1, Run: 025, P, 77, 0, 38
INVAR-1, Run: 026, P, 100, 0, 38
INVAR-1, Run: 027, P, 92, 0, 38
INVAR-1, Run: 028, P, 92, 0, 38
INVAR-1, Run: 029, P, 93, 0, 38
INVAR-1, Run: 030, P, 94, 0, 38
INVAR-1, Run: 031, P, 80, 0, 38
INVAR-1, Run: 032, P, 81, 0, 38
INVAR-1, Run: 033, P, 95, 0, 38
INVAR-1, Run: 034, P, 86, 0, 38
INVAR-1, Run: 035, P, 100, 0, 38
INVAR-1, Run: 036, P, 97, 0, 38
INVAR-1, Run: 037, P, 81, 0, 38
INVAR-1, Run: 038, P, 87, 0, 38
INVAR-1, Run: 039, P, 104, 0, 38
INVAR-1, Run: 040, P, 84, 0, 38
INVAR-1, Run: 041, P, 78, 0, 38
INVAR-1, Run: 042, P, 83, 0, 38
INVAR-1, Run: 043, P, 99, 0, 38
INVAR-1, Run: 044, P, 70, 0, 38
INVAR-1, Run: 045, P, 87, 0, 38
INVAR-1, Run: 046, P, 100, 0, 38
INVAR-1, Run: 047, P, 79, 0, 38
INVAR-1, Run: 048, P, 87, 0, 38
INVAR-1, Run: 049, P, 72, 0, 38
