Input Number, Run_Number, Result@ 100, H, PO, X1, M, CE, Y, D, CO, PE, A, B
4, Run: 001, F, 0, 0, 0, 0, 15, 15, 0, 0, 1, 118, 1
4, Run: 002, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 118, 1
4, Run: 003, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 118, 1
4, Run: 004, F, 0, 0, 0, 0, 17, 17, 0, 0, 1, 118, 1
4, Run: 005, F, 0, 0, 0, 0, 15, 15, 0, 0, 1, 118, 1
4, Run: 006, F, 0, 0, 0, 0, 14, 14, 0, 0, 1, 118, 1
4, Run: 007, F, 0, 0, 0, 0, 14, 14, 0, 0, 1, 118, 1
4, Run: 008, F, 0, 0, 0, 0, 18, 18, 0, 0, 1, 118, 1
4, Run: 009, F, 0, 0, 0, 0, 15, 15, 0, 0, 1, 118, 1
4, Run: 010, F, 0, 0, 0, 0, 15, 15, 0, 0, 1, 118, 1
4, Run: 011, F, 0, 0, 0, 0, 17, 17, 0, 0, 1, 118, 1
4, Run: 012, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 118, 1
4, Run: 013, F, 0, 0, 0, 0, 17, 17, 0, 0, 1, 118, 1
4, Run: 014, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 118, 1
4, Run: 015, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 118, 1
4, Run: 016, F, 0, 0, 0, 0, 15, 15, 0, 0, 1, 118, 1
4, Run: 017, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 118, 1
4, Run: 018, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 118, 1
4, Run: 019, F, 0, 0, 0, 0, 14, 14, 0, 0, 1, 118, 1
4, Run: 020, F, 0, 0, 0, 0, 14, 14, 0, 0, 1, 118, 1
4, Run: 021, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 118, 1
4, Run: 022, F, 0, 0, 0, 0, 17, 17, 0, 0, 1, 118, 1
4, Run: 023, F, 0, 0, 0, 0, 15, 15, 0, 0, 1, 118, 1
4, Run: 024, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 118, 1
4, Run: 025, F, 0, 0, 0, 0, 14, 14, 0, 0, 1, 118, 1
4, Run: 026, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 118, 1
4, Run: 027, F, 0, 0, 0, 0, 14, 14, 0, 0, 1, 118, 1
4, Run: 028, F, 0, 0, 0, 0, 17, 17, 0, 0, 1, 118, 1
4, Run: 029, F, 0, 0, 0, 0, 14, 14, 0, 0, 1, 118, 1
4, Run: 030, F, 0, 0, 0, 0, 14, 14, 0, 0, 1, 118, 1
