Input Number, Run_Number, Result@ 100, Y, A, X1, B, C, PO, D, CO, PE, CE, E, F
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 1, 12, 0
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 0, 14, 0
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 34, 20, 1, 0, 19, 0
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 1, 14, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 8, 46, 1, 1, 32, 0
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 1, 11, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 4, 17, 0
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 0, 16, 0
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 4, 14, 0
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 4, 18, 0
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 2, 12, 0
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 52, 2, 1, 3, 10, 0
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 1, 24, 0
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 1, 24, 0
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 2, 16, 0
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 1, 25, 0
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 1, 12, 0
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 4, 14, 0
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 1, 14, 0
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 2, 24, 0
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 1, 18, 0
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 2, 16, 0
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 2, 18, 0
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 1, 17, 0
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 3, 11, 0
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 2, 17, 0
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 0, 20, 0
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 1, 25, 0
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 1, 18, 0
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 1, 12, 0
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 13, 0
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 2, 20, 0
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 0, 18, 36, 1, 1, 27, 0
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 0, 18, 0
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 1, 25, 0
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 2, 11, 0
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 0, 18, 36, 1, 1, 27, 0
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 6, 13, 0
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 1, 18, 0
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 0, 28, 26, 1, 4, 22, 0
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 4, 15, 0
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 0, 20, 34, 1, 0, 26, 0
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 1, 24, 0
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 0, 4, 50, 1, 1, 34, 0
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 6, 11, 0
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 1, 15, 0
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 1, 14, 0
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 0, 34, 20, 1, 0, 19, 0
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 0, 14, 40, 1, 1, 29, 0
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 1, 14, 0
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 0, 26, 28, 1, 1, 23, 0
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 0, 8, 46, 1, 1, 32, 0
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 1, 11, 0
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 1, 14, 0
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 4, 13, 0
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 3, 16, 0
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 2, 25, 0
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 1, 18, 0
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 1, 20, 0
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 0, 25, 0
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 52, 2, 1, 1, 10, 0
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 2, 12, 0
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 1, 18, 0
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 0, 18, 36, 1, 0, 27, 0
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 1, 18, 0
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 13, 0
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 5, 15, 0
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 1, 17, 0
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 2, 14, 0
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 0, 30, 24, 1, 3, 21, 0
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 1, 16, 0
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 0, 52, 2, 1, 1, 10, 0
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 0, 18, 36, 1, 1, 27, 0
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 2, 12, 0
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 13, 0
INVAR-1, Run: 079, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 13, 0
INVAR-1, Run: 080, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 13, 0
INVAR-1, Run: 081, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 2, 24, 0
INVAR-1, Run: 082, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 0, 11, 0
INVAR-1, Run: 083, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 4, 9, 0
INVAR-1, Run: 084, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 1, 17, 0
INVAR-1, Run: 085, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 2, 24, 0
INVAR-1, Run: 086, P, 0, 0, 0, 0, 0, 0, 10, 44, 1, 0, 31, 0
INVAR-1, Run: 087, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 1, 15, 0
INVAR-1, Run: 088, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 1, 20, 0
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 2, 17, 0
INVAR-1, Run: 090, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 3, 13, 0
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0
INVAR-1, Run: 092, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 2, 14, 0
INVAR-1, Run: 093, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 13, 0
INVAR-1, Run: 094, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 1, 12, 0
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 1, 16, 0
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 3, 15, 0
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 14, 40, 1, 2, 29, 0
INVAR-1, Run: 099, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 0, 28, 26, 1, 0, 22, 0
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 0, 544, 56, 1, 2, 128, 0
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 0, 534, 66, 1, 3, 133, 0
INVAR-10, Run: 003, P, 0, 0, 0, 0, 0, 0, 508, 92, 1, 5, 146, 0
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 0, 504, 96, 1, 1, 148, 0
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 0, 546, 54, 1, 2, 127, 0
INVAR-10, Run: 006, P, 0, 0, 0, 0, 0, 0, 274, 326, 1, 2, 263, 0
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 264, 336, 1, 1, 268, 0
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 0, 480, 120, 1, 3, 160, 0
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 520, 80, 1, 4, 140, 0
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 342, 258, 1, 2, 229, 0
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 380, 220, 1, 2, 210, 0
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 466, 134, 1, 1, 167, 0
INVAR-10, Run: 013, P, 0, 0, 0, 0, 0, 0, 506, 94, 1, 2, 147, 0
INVAR-10, Run: 014, P, 0, 0, 0, 0, 0, 0, 556, 44, 1, 2, 122, 0
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 0, 546, 54, 1, 2, 127, 0
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 0, 400, 200, 1, 3, 200, 0
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 0, 214, 386, 1, 3, 293, 0
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 0, 326, 274, 1, 1, 237, 0
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 152, 448, 1, 3, 324, 0
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 0, 466, 134, 1, 2, 167, 0
INVAR-10, Run: 021, P, 0, 0, 0, 0, 0, 0, 534, 66, 1, 2, 133, 0
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 122, 478, 1, 1, 339, 0
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 0, 540, 60, 1, 3, 130, 0
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 262, 338, 1, 4, 269, 0
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 0, 256, 344, 1, 2, 272, 0
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 520, 80, 1, 1, 140, 0
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 252, 348, 1, 2, 274, 0
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 436, 164, 1, 3, 182, 0
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 0, 522, 78, 1, 3, 139, 0
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 0, 450, 150, 1, 1, 175, 0
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 0, 498, 102, 1, 3, 151, 0
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 0, 522, 78, 1, 1, 139, 0
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 0, 356, 244, 1, 3, 222, 0
