Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 9, 0, 0, 11, 1, 43, 0, 18, 2, 9, 9, 8, 0, 9, 18, 27, 11, 20
INVAR-1, Run: 002, P, 0, 0, 0, 0, 9, 0, 0, 10, 1, 44, 0, 18, 2, 9, 9, 6, 2, 9, 18, 27, 11, 19
INVAR-1, Run: 003, P, 0, 0, 0, 0, 9, 0, 0, 5, 1, 49, 0, 18, 3, 9, 9, 5, 3, 9, 18, 27, 12, 14
INVAR-1, Run: 004, P, 0, 0, 0, 0, 9, 0, 0, 16, 1, 38, 0, 18, 1, 9, 9, 7, 1, 9, 18, 27, 10, 25
INVAR-1, Run: 005, P, 0, 0, 0, 0, 9, 0, 0, 14, 1, 40, 0, 18, 4, 9, 9, 6, 2, 9, 18, 27, 13, 23
INVAR-1, Run: 006, P, 0, 0, 0, 0, 9, 0, 0, 9, 1, 45, 0, 18, 5, 9, 9, 7, 1, 9, 18, 27, 14, 18
INVAR-1, Run: 007, P, 0, 0, 0, 0, 9, 0, 0, 5, 1, 49, 0, 18, 0, 9, 9, 8, 0, 9, 18, 27, 9, 14
INVAR-1, Run: 008, P, 0, 0, 0, 0, 9, 0, 0, 7, 1, 47, 0, 18, 3, 9, 9, 8, 0, 9, 18, 27, 12, 16
INVAR-1, Run: 009, P, 0, 0, 0, 0, 9, 0, 0, 2, 1, 52, 0, 18, 1, 9, 9, 7, 1, 9, 18, 27, 10, 11
INVAR-1, Run: 010, P, 0, 0, 0, 0, 9, 0, 0, 3, 1, 51, 0, 18, 4, 9, 9, 6, 2, 9, 18, 27, 13, 12
INVAR-1, Run: 011, P, 0, 0, 0, 0, 9, 0, 0, 3, 1, 51, 0, 18, 6, 9, 9, 6, 2, 9, 18, 27, 15, 12
INVAR-1, Run: 012, P, 0, 0, 0, 0, 9, 0, 0, 15, 1, 39, 0, 18, 7, 9, 9, 7, 1, 9, 18, 27, 16, 24
