Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E
1, Run: 001, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 002, P, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4
1, Run: 003, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 004, P, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3
1, Run: 005, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 006, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
1, Run: 007, P, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4
1, Run: 008, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 009, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 010, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 011, P, 0, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2, 6
1, Run: 012, P, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5
1, Run: 013, P, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4
1, Run: 014, P, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4
1, Run: 015, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 016, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 017, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 018, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 019, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 020, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 021, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 022, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 023, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
1, Run: 024, P, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5
1, Run: 025, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
