Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP
INVAR-1, Run: 090, P, 0, 24, 3977, 38, 0
INVAR-1, Run: 091, P, 0, 24, 3793, 38, 0
INVAR-1, Run: 092, P, 0, 24, 3932, 38, 0
INVAR-1, Run: 093, P, 0, 24, 3907, 38, 0
INVAR-1, Run: 094, P, 0, 24, 3879, 38, 0
INVAR-1, Run: 095, P, 0, 24, 3792, 38, 0
INVAR-1, Run: 096, P, 0, 24, 3854, 38, 0
INVAR-1, Run: 097, P, 0, 24, 3874, 38, 0
INVAR-1, Run: 098, P, 0, 24, 3783, 38, 0
INVAR-1, Run: 099, P, 0, 24, 3763, 38, 0
INVAR-1, Run: 100, P, 0, 24, 3983, 38, 0
INVAR-10, Run: 001, P, 0, 42, 4994, 50, 0
INVAR-10, Run: 002, P, 0, 42, 5006, 50, 0
INVAR-10, Run: 003, P, 0, 42, 5044, 50, 0
INVAR-10, Run: 004, P, 0, 42, 5124, 50, 0
INVAR-10, Run: 005, P, 0, 42, 4964, 50, 0
INVAR-10, Run: 006, P, 0, 42, 5066, 50, 0
INVAR-10, Run: 007, P, 0, 42, 5016, 50, 0
INVAR-10, Run: 008, P, 0, 42, 4920, 50, 0
INVAR-10, Run: 009, P, 0, 42, 4941, 50, 0
INVAR-10, Run: 010, P, 0, 42, 5152, 50, 0
INVAR-10, Run: 011, P, 0, 42, 4941, 50, 0
INVAR-10, Run: 012, P, 0, 42, 5079, 50, 0
INVAR-10, Run: 013, P, 0, 42, 4984, 50, 0
INVAR-10, Run: 014, P, 0, 42, 5086, 50, 0
INVAR-10, Run: 015, P, 0, 42, 4976, 50, 0
INVAR-10, Run: 016, P, 0, 42, 4990, 50, 0
INVAR-10, Run: 017, P, 0, 42, 5140, 50, 0
INVAR-10, Run: 018, P, 0, 42, 4896, 50, 0
INVAR-10, Run: 019, P, 0, 42, 5102, 50, 0
INVAR-10, Run: 020, P, 0, 42, 5109, 50, 0
INVAR-10, Run: 021, P, 0, 42, 4972, 50, 0
INVAR-10, Run: 022, P, 0, 42, 5053, 50, 0
INVAR-10, Run: 023, P, 0, 42, 5128, 50, 0
INVAR-10, Run: 024, P, 0, 42, 4966, 50, 0
INVAR-10, Run: 025, P, 0, 42, 5065, 50, 0
INVAR-10, Run: 026, P, 0, 42, 4954, 50, 0
INVAR-10, Run: 027, P, 0, 42, 4983, 50, 0
INVAR-10, Run: 028, P, 0, 42, 5041, 50, 0
INVAR-10, Run: 029, P, 0, 42, 5055, 50, 0
INVAR-10, Run: 030, P, 0, 42, 4866, 50, 0
INVAR-10, Run: 031, P, 0, 42, 5140, 50, 0
INVAR-10, Run: 032, P, 0, 42, 5037, 50, 0
INVAR-10, Run: 033, P, 0, 42, 5044, 50, 0
