Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 26, 139, 9, 8, 9, 18, 27, 35, 139
INVAR-1, Run: 002, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 26, 169, 9, 8, 9, 18, 27, 35, 169
INVAR-1, Run: 003, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 22, 72, 9, 6, 9, 18, 27, 31, 72
INVAR-1, Run: 004, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 14, 40, 9, 7, 9, 18, 27, 23, 40
INVAR-1, Run: 005, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 18, 68, 9, 6, 9, 18, 27, 27, 68
INVAR-1, Run: 006, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 19, 184, 9, 8, 9, 18, 27, 28, 184
INVAR-1, Run: 007, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 38, 157, 9, 8, 9, 18, 27, 47, 157
INVAR-1, Run: 008, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 37, 174, 9, 8, 9, 18, 27, 46, 174
INVAR-1, Run: 009, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 60, 9, 8, 9, 18, 27, 21, 60
INVAR-1, Run: 010, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 17, 99, 9, 7, 9, 18, 27, 26, 99
INVAR-1, Run: 011, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 26, 149, 9, 8, 9, 18, 27, 35, 149
INVAR-1, Run: 012, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 116, 9, 8, 9, 18, 27, 21, 116
INVAR-1, Run: 013, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 24, 121, 9, 6, 9, 18, 27, 33, 121
INVAR-1, Run: 014, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 36, 193, 9, 8, 9, 18, 27, 45, 193
INVAR-1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 157, 9, 8, 9, 18, 27, 27, 157
INVAR-1, Run: 016, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 25, 150, 9, 8, 9, 18, 27, 34, 150
INVAR-1, Run: 017, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 39, 161, 9, 8, 9, 18, 27, 48, 161
INVAR-1, Run: 018, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 9, 67, 9, 7, 9, 18, 27, 18, 67
INVAR-1, Run: 019, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 9, 109, 9, 8, 9, 18, 27, 18, 109
INVAR-1, Run: 020, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 14, 91, 9, 6, 9, 18, 27, 23, 91
INVAR-1, Run: 021, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 29, 95, 9, 8, 9, 18, 27, 38, 95
INVAR-1, Run: 022, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 18, 56, 9, 7, 9, 18, 27, 27, 56
INVAR-1, Run: 023, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 33, 168, 9, 8, 9, 18, 27, 42, 168
INVAR-1, Run: 024, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 20, 120, 9, 8, 9, 18, 27, 29, 120
INVAR-1, Run: 025, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 20, 147, 9, 8, 9, 18, 27, 29, 147
INVAR-1, Run: 026, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 22, 155, 9, 7, 9, 18, 27, 31, 155
INVAR-1, Run: 027, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 24, 106, 9, 8, 9, 18, 27, 33, 106
