Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 12, 3, 4, 12, 62, 37, 78, 5922, 5850, 5795, 5702, 5656, 72, 463, 55, 49, 46, 56, 5600, 5594, 419, 277, 215, 178, 44, 142
INVAR-1, Run: 002, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 5, 0, 9, 0, 1, 9, 89, 54, 70, 5067, 5002, 4944, 4857, 4807, 65, 469, 58, 42, 50, 53, 4754, 4749, 424, 313, 224, 170, 45, 111
INVAR-1, Run: 003, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 91, 65, 99, 81, 68, 54, 3, 3, 13, 560, 14, 1, 0, 1, 2, 2, 510, 355, 264, 199, 50, 155
INVAR-1, Run: 004, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 5, 0, 9, 0, 1, 9, 49, 52, 87, 5041, 4991, 4941, 4846, 4801, 50, 419, 50, 50, 45, 50, 4751, 4746, 374, 288, 239, 187, 45, 86
INVAR-1, Run: 005, P, 10, 0, 0, 0, 0, 0, 0, 100, 2, 0, 0, 0, 0, 0, 1, 6, 0, 48, 0, 0, 1, 2, 0, 0, 0, 0, 49289, 48834, 48356, 47901, 47404, 455, 100, 478, 455, 497, 487, 46917, 46869, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 006, P, 0, 0, 0, 10, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 2, 0, 11, 12, 3, 11, 130, 64, 131, 2042, 2017, 1990, 1921, 1898, 25, 684, 27, 21, 23, 13, 1885, 1883, 636, 425, 295, 231, 48, 211
INVAR-1, Run: 007, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 2, 0, 0, 1, 6, 0, 48, 0, 0, 1, 2, 0, 0, 0, 0, 49810, 49327, 48855, 48345, 47850, 483, 100, 472, 508, 495, 484, 47366, 47318, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 008, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 3, 0, 9, 0, 1, 9, 51, 26, 40, 3045, 3012, 2992, 2925, 2902, 33, 369, 20, 20, 23, 29, 2873, 2870, 322, 217, 166, 140, 47, 105
INVAR-1, Run: 009, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 0, 0, 1, 6, 0, 5, 0, 9, 0, 1, 9, 60, 39, 46, 6112, 6040, 5965, 5852, 5797, 72, 400, 74, 69, 55, 59, 5738, 5733, 356, 245, 185, 146, 44, 111
INVAR-1, Run: 010, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 1, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 66, 56, 101, 1084, 1067, 1051, 995, 985, 17, 481, 16, 7, 9, 8, 977, 977, 432, 323, 257, 201, 49, 109
