Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F
INVAR-1, Run: 061, F, 34, 3320, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 062, F, 42, 4057, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 063, F, 8, 811, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0
INVAR-1, Run: 064, F, 50, 4826, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 065, F, 34, 3239, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 066, F, 14, 1399, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0
INVAR-1, Run: 067, F, 10, 1003, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0
INVAR-1, Run: 068, F, 32, 3165, 0, 0, 0, 0, 0, 22, 0, 1, 25, 0
INVAR-1, Run: 069, F, 18, 1757, 0, 0, 0, 0, 0, 36, 0, 1, 18, 0
INVAR-1, Run: 070, F, 10, 976, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0
INVAR-1, Run: 071, F, 34, 3228, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 072, F, 44, 4280, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
INVAR-1, Run: 073, F, 50, 4903, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 074, F, 42, 4133, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 075, F, 8, 774, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0
INVAR-1, Run: 076, F, 50, 4772, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 077, F, 20, 1924, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
INVAR-1, Run: 078, F, 50, 4764, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 079, F, 26, 2612, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0
INVAR-1, Run: 080, F, 42, 4023, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 081, F, 44, 4361, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
INVAR-1, Run: 082, F, 52, 5084, 0, 0, 0, 0, 0, 2, 0, 1, 35, 0
INVAR-1, Run: 083, F, 48, 4596, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
INVAR-1, Run: 084, F, 28, 2805, 0, 0, 0, 0, 0, 26, 0, 1, 23, 0
INVAR-1, Run: 085, F, 14, 1300, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0
INVAR-1, Run: 086, F, 44, 4204, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
INVAR-1, Run: 087, F, 34, 3180, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 088, F, 14, 1382, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0
INVAR-1, Run: 089, F, 42, 4042, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 090, F, 4, 419, 0, 0, 0, 0, 0, 50, 0, 1, 11, 0
INVAR-1, Run: 091, F, 52, 4906, 0, 0, 0, 0, 0, 2, 0, 1, 35, 0
INVAR-1, Run: 092, F, 20, 1978, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
INVAR-1, Run: 093, F, 34, 3296, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 094, F, 32, 3082, 0, 0, 0, 0, 0, 22, 0, 1, 25, 0
INVAR-1, Run: 095, F, 4, 387, 0, 0, 0, 0, 0, 50, 0, 1, 11, 0
INVAR-1, Run: 096, F, 34, 3261, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 097, F, 42, 4095, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 098, F, 46, 4262, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0
INVAR-1, Run: 099, F, 48, 4599, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
INVAR-1, Run: 100, F, 40, 3901, 0, 0, 0, 0, 0, 14, 0, 1, 29, 0
INVAR-10, Run: 001, F, 500, 47360, 0, 0, 0, 0, 0, 100, 0, 1, 350, 0
INVAR-10, Run: 002, F, 598, 56283, 0, 0, 0, 0, 0, 2, 0, 1, 399, 0
INVAR-10, Run: 003, F, 372, 35658, 0, 0, 0, 0, 0, 228, 0, 1, 286, 0
INVAR-10, Run: 004, F, 550, 52233, 0, 0, 0, 0, 0, 50, 0, 1, 375, 0
INVAR-10, Run: 005, F, 496, 47447, 0, 0, 0, 0, 0, 104, 0, 1, 348, 0
INVAR-10, Run: 006, F, 482, 45829, 0, 0, 0, 0, 0, 118, 0, 1, 341, 0
INVAR-10, Run: 007, F, 418, 39995, 0, 0, 0, 0, 0, 182, 0, 1, 309, 0
INVAR-10, Run: 008, F, 380, 36120, 0, 0, 0, 0, 0, 220, 0, 1, 290, 0
INVAR-10, Run: 009, F, 578, 55009, 0, 0, 0, 0, 0, 22, 0, 1, 389, 0
INVAR-10, Run: 010, F, 280, 26514, 0, 0, 0, 0, 0, 320, 0, 1, 240, 0
INVAR-10, Run: 011, F, 538, 51044, 0, 0, 0, 0, 0, 62, 0, 1, 369, 0
INVAR-10, Run: 012, F, 522, 49925, 0, 0, 0, 0, 0, 78, 0, 1, 361, 0
INVAR-10, Run: 013, F, 522, 49795, 0, 0, 0, 0, 0, 78, 0, 1, 361, 0
INVAR-10, Run: 014, F, 568, 53861, 0, 0, 0, 0, 0, 32, 0, 1, 384, 0
INVAR-10, Run: 015, F, 470, 45087, 0, 0, 0, 0, 0, 130, 0, 1, 335, 0
INVAR-10, Run: 016, F, 376, 35975, 0, 0, 0, 0, 0, 224, 0, 1, 288, 0
INVAR-10, Run: 017, F, 470, 45094, 0, 0, 0, 0, 0, 130, 0, 1, 335, 0
INVAR-10, Run: 018, F, 252, 24621, 0, 0, 0, 0, 0, 348, 0, 1, 226, 0
INVAR-10, Run: 019, F, 582, 55097, 0, 0, 0, 0, 0, 18, 0, 1, 391, 0
INVAR-10, Run: 020, F, 566, 53795, 0, 0, 0, 0, 0, 34, 0, 1, 383, 0
INVAR-10, Run: 021, F, 564, 53695, 0, 0, 0, 0, 0, 36, 0, 1, 382, 0
INVAR-10, Run: 022, F, 566, 53600, 0, 0, 0, 0, 0, 34, 0, 1, 383, 0
INVAR-10, Run: 023, F, 580, 54877, 0, 0, 0, 0, 0, 20, 0, 1, 390, 0
INVAR-10, Run: 024, F, 458, 43796, 0, 0, 0, 0, 0, 142, 0, 1, 329, 0
INVAR-10, Run: 025, F, 520, 49888, 0, 0, 0, 0, 0, 80, 0, 1, 360, 0
