Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y
INVAR-1, Run: 086, P, 33, 3301, 0, 0, 0, 0, 5
INVAR-1, Run: 087, P, 34, 3406, 0, 0, 0, 0, 5
INVAR-1, Run: 088, P, 33, 3246, 0, 0, 0, 0, 5
INVAR-1, Run: 089, P, 33, 3280, 0, 0, 0, 0, 5
INVAR-1, Run: 090, P, 33, 3322, 0, 0, 0, 0, 5
INVAR-1, Run: 091, P, 33, 3265, 0, 0, 0, 0, 5
INVAR-1, Run: 092, P, 33, 3386, 0, 0, 0, 0, 5
INVAR-1, Run: 093, P, 33, 3368, 0, 0, 0, 0, 5
INVAR-1, Run: 094, P, 34, 3350, 0, 0, 0, 0, 5
INVAR-1, Run: 095, P, 34, 3569, 0, 0, 0, 0, 5
INVAR-1, Run: 096, P, 33, 3278, 0, 0, 0, 0, 5
INVAR-1, Run: 097, P, 33, 3161, 0, 0, 0, 0, 5
INVAR-1, Run: 098, P, 33, 3320, 0, 0, 0, 0, 5
INVAR-1, Run: 099, P, 33, 3256, 0, 0, 0, 0, 5
INVAR-1, Run: 100, P, 34, 3447, 0, 0, 0, 0, 5
INVAR-10, Run: 001, P, 13, 1278, 0, 0, 0, 0, 5
INVAR-10, Run: 002, P, 14, 1390, 0, 0, 0, 0, 5
INVAR-10, Run: 003, P, 14, 1483, 0, 0, 0, 0, 5
INVAR-10, Run: 004, P, 13, 1299, 0, 0, 0, 0, 5
INVAR-10, Run: 005, P, 13, 1265, 0, 0, 0, 0, 5
INVAR-10, Run: 006, P, 13, 1297, 0, 0, 0, 0, 5
INVAR-10, Run: 007, P, 15, 1473, 0, 0, 0, 0, 5
INVAR-10, Run: 008, P, 13, 1280, 0, 0, 0, 0, 5
INVAR-10, Run: 009, P, 13, 1277, 0, 0, 0, 0, 5
INVAR-10, Run: 010, P, 13, 1283, 0, 0, 0, 0, 5
INVAR-10, Run: 011, P, 15, 1463, 0, 0, 0, 0, 5
INVAR-10, Run: 012, P, 13, 1369, 0, 0, 0, 0, 5
INVAR-10, Run: 013, P, 13, 1340, 0, 0, 0, 0, 5
INVAR-10, Run: 014, P, 14, 1424, 0, 0, 0, 0, 5
INVAR-10, Run: 015, P, 13, 1277, 0, 0, 0, 0, 5
INVAR-10, Run: 016, P, 14, 1369, 0, 0, 0, 0, 5
INVAR-10, Run: 017, P, 13, 1255, 0, 0, 0, 0, 5
INVAR-10, Run: 018, P, 15, 1465, 0, 0, 0, 0, 5
INVAR-10, Run: 019, P, 13, 1281, 0, 0, 0, 0, 5
INVAR-10, Run: 020, P, 14, 1392, 0, 0, 0, 0, 5
INVAR-10, Run: 021, P, 13, 1295, 0, 0, 0, 0, 5
INVAR-10, Run: 022, P, 14, 1376, 0, 0, 0, 0, 5
INVAR-10, Run: 023, P, 13, 1300, 0, 0, 0, 0, 5
INVAR-10, Run: 024, P, 13, 1339, 0, 0, 0, 0, 5
INVAR-10, Run: 025, P, 13, 1310, 0, 0, 0, 0, 5
INVAR-10, Run: 026, P, 13, 1373, 0, 0, 0, 0, 5
