Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3
INVAR-1, Run: 001, F, 0, 10, 0, 0, 0, 0, 0, 56, 1, 3, 0, 0, 1, 0, 1, 6, 0, 45, 0
INVAR-1, Run: 002, F, 0, 10, 0, 0, 0, 0, 0, 21, 3, 1, 1, 3, 5, 1, 1, 6, 0, 36, 0
INVAR-1, Run: 003, F, 0, 10, 0, 0, 0, 0, 0, 9, 6, 5, 2, 2, 3, 3, 1, 6, 0, 29, 0
INVAR-1, Run: 004, F, 0, 10, 0, 0, 0, 0, 0, 30, 2, 1, 1, 1, 3, 3, 1, 6, 0, 39, 0
INVAR-1, Run: 005, F, 0, 10, 0, 0, 0, 0, 0, 37, 1, 0, 3, 1, 2, 0, 1, 6, 0, 43, 0
INVAR-1, Run: 006, F, 0, 10, 0, 0, 0, 0, 0, 27, 0, 2, 0, 1, 3, 1, 1, 6, 0, 43, 0
INVAR-1, Run: 007, F, 0, 10, 0, 0, 0, 0, 0, 30, 3, 0, 2, 2, 1, 3, 1, 6, 0, 39, 0
INVAR-1, Run: 008, F, 0, 10, 0, 0, 0, 0, 0, 14, 4, 5, 1, 0, 4, 1, 1, 6, 0, 35, 0
INVAR-1, Run: 009, F, 0, 10, 0, 0, 0, 0, 0, 6, 7, 8, 2, 4, 3, 5, 1, 6, 0, 21, 0
INVAR-1, Run: 010, F, 0, 10, 0, 0, 0, 0, 0, 14, 1, 2, 3, 3, 4, 4, 1, 6, 0, 33, 0
INVAR-1, Run: 011, F, 0, 10, 0, 0, 0, 0, 0, 6, 4, 7, 2, 5, 7, 4, 1, 6, 0, 21, 0
INVAR-1, Run: 012, F, 0, 10, 0, 0, 0, 0, 0, 6, 7, 6, 4, 7, 3, 3, 1, 6, 0, 20, 0
INVAR-1, Run: 013, F, 0, 10, 0, 0, 0, 0, 0, 7, 5, 4, 3, 4, 1, 6, 1, 6, 0, 27, 0
INVAR-1, Run: 014, F, 0, 10, 0, 0, 0, 0, 0, 17, 2, 4, 3, 4, 2, 1, 1, 6, 0, 34, 0
INVAR-1, Run: 015, F, 0, 0, 0, 10, 0, 0, 0, 23, 2, 2, 0, 0, 2, 2, 1, 6, 0, 42, 0
INVAR-1, Run: 016, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
INVAR-1, Run: 017, F, 0, 10, 0, 0, 0, 0, 0, 43, 1, 1, 1, 0, 2, 1, 1, 6, 0, 44, 0
INVAR-1, Run: 018, F, 10, 0, 0, 0, 0, 0, 0, 28, 4, 0, 1, 0, 1, 1, 1, 6, 0, 43, 0
INVAR-1, Run: 019, F, 0, 10, 0, 0, 0, 0, 0, 38, 0, 0, 2, 1, 2, 0, 1, 6, 0, 45, 0
INVAR-1, Run: 020, F, 0, 10, 0, 0, 0, 0, 0, 8, 7, 3, 3, 4, 8, 4, 1, 6, 0, 21, 0
INVAR-1, Run: 021, F, 0, 10, 0, 0, 0, 0, 0, 20, 0, 3, 5, 2, 1, 1, 1, 6, 0, 38, 0
INVAR-1, Run: 022, F, 0, 10, 0, 0, 0, 0, 0, 26, 3, 1, 0, 0, 1, 1, 1, 6, 0, 44, 0
INVAR-1, Run: 023, F, 0, 10, 0, 0, 0, 0, 0, 8, 8, 5, 3, 5, 2, 2, 1, 6, 0, 25, 0
INVAR-1, Run: 024, F, 10, 0, 0, 0, 0, 0, 0, 32, 0, 2, 0, 1, 2, 2, 1, 6, 0, 43, 0
INVAR-1, Run: 025, F, 0, 10, 0, 0, 0, 0, 0, 28, 1, 2, 1, 1, 1, 2, 1, 6, 0, 42, 0
INVAR-1, Run: 026, F, 0, 10, 0, 0, 0, 0, 0, 14, 2, 5, 2, 3, 0, 2, 1, 6, 0, 36, 0
INVAR-1, Run: 027, F, 0, 0, 0, 10, 0, 0, 0, 9, 6, 4, 4, 5, 5, 1, 1, 6, 0, 25, 0
INVAR-1, Run: 028, F, 0, 10, 0, 0, 0, 0, 0, 9, 5, 3, 2, 3, 1, 9, 1, 6, 0, 27, 0
INVAR-1, Run: 029, F, 0, 10, 0, 0, 0, 0, 0, 15, 5, 3, 6, 1, 4, 2, 1, 6, 0, 29, 0
INVAR-1, Run: 030, F, 0, 10, 0, 0, 0, 0, 0, 10, 6, 4, 5, 6, 3, 1, 1, 6, 0, 25, 0
INVAR-1, Run: 031, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 2, 0, 1, 6, 0, 47, 0
INVAR-1, Run: 032, F, 0, 10, 0, 0, 0, 0, 0, 15, 3, 2, 2, 4, 4, 7, 1, 6, 0, 28, 0
INVAR-1, Run: 033, F, 0, 10, 0, 0, 0, 0, 0, 10, 2, 5, 3, 3, 4, 3, 1, 6, 0, 30, 0
INVAR-1, Run: 034, F, 0, 10, 0, 0, 0, 0, 0, 17, 5, 5, 0, 2, 2, 2, 1, 6, 0, 34, 0
INVAR-1, Run: 035, F, 0, 10, 0, 0, 0, 0, 0, 21, 1, 3, 2, 1, 4, 1, 1, 6, 0, 38, 0
INVAR-1, Run: 036, F, 0, 10, 0, 0, 0, 0, 0, 9, 5, 4, 6, 3, 2, 6, 1, 6, 0, 24, 0
INVAR-1, Run: 037, P, 10, 0, 0, 0, 0, 0, 0, 100, 1, 0, 1, 1, 0, 1, 1, 6, 0, 46, 0
INVAR-1, Run: 038, F, 0, 10, 0, 0, 0, 0, 0, 28, 0, 3, 2, 2, 3, 1, 1, 6, 0, 39, 0
INVAR-1, Run: 039, F, 0, 10, 0, 0, 0, 0, 0, 31, 1, 2, 2, 2, 1, 0, 1, 6, 0, 42, 0
INVAR-1, Run: 040, F, 0, 10, 0, 0, 0, 0, 0, 18, 5, 8, 4, 2, 3, 2, 1, 6, 0, 26, 0
INVAR-1, Run: 041, F, 0, 10, 0, 0, 0, 0, 0, 22, 2, 1, 3, 2, 0, 6, 1, 6, 0, 36, 0
INVAR-1, Run: 042, F, 0, 10, 0, 0, 0, 0, 0, 22, 3, 1, 5, 4, 3, 2, 1, 6, 0, 32, 0
INVAR-1, Run: 043, F, 0, 10, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0
INVAR-1, Run: 044, F, 0, 10, 0, 0, 0, 0, 0, 6, 8, 6, 7, 3, 4, 3, 1, 6, 0, 19, 0
INVAR-1, Run: 045, F, 0, 10, 0, 0, 0, 0, 0, 7, 5, 4, 10, 3, 2, 6, 1, 6, 0, 20, 0
INVAR-1, Run: 046, F, 0, 10, 0, 0, 0, 0, 0, 22, 4, 4, 2, 4, 2, 2, 1, 6, 0, 32, 0
INVAR-1, Run: 047, F, 0, 10, 0, 0, 0, 0, 0, 9, 3, 4, 4, 3, 3, 3, 1, 6, 0, 30, 0
INVAR-1, Run: 048, F, 0, 10, 0, 0, 0, 0, 0, 18, 1, 2, 4, 0, 1, 2, 1, 6, 0, 40, 0
INVAR-1, Run: 049, F, 0, 10, 0, 0, 0, 0, 0, 3, 15, 9, 4, 7, 5, 1, 1, 6, 0, 9, 0
INVAR-1, Run: 050, F, 0, 10, 0, 0, 0, 0, 0, 17, 4, 1, 2, 4, 2, 2, 1, 6, 0, 35, 0
INVAR-1, Run: 051, F, 0, 10, 0, 0, 0, 0, 0, 4, 12, 7, 3, 5, 3, 6, 1, 6, 0, 14, 0
INVAR-1, Run: 052, F, 0, 0, 0, 10, 0, 0, 0, 1, 23, 14, 6, 4, 3, 0, 1, 6, 0, 0, 0
INVAR-1, Run: 053, F, 0, 10, 0, 0, 0, 0, 0, 24, 2, 6, 1, 1, 0, 0, 1, 6, 0, 40, 0
INVAR-1, Run: 054, F, 0, 0, 0, 10, 0, 0, 0, 22, 0, 3, 2, 3, 2, 3, 1, 6, 0, 37, 0
INVAR-1, Run: 055, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
INVAR-1, Run: 056, F, 0, 10, 0, 0, 0, 0, 0, 20, 5, 5, 2, 2, 2, 1, 1, 6, 0, 33, 0
INVAR-1, Run: 057, F, 0, 10, 0, 0, 0, 0, 0, 12, 2, 2, 6, 4, 2, 3, 1, 6, 0, 31, 0
INVAR-1, Run: 058, F, 0, 10, 0, 0, 0, 0, 0, 37, 0, 0, 1, 2, 0, 1, 1, 6, 0, 46, 0
INVAR-1, Run: 059, F, 0, 10, 0, 0, 0, 0, 0, 29, 0, 3, 2, 1, 3, 1, 1, 6, 0, 40, 0
