Input Number, Run_Number, Result@ 100, ab, ar, Leaderag, ah, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderah, ao, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 3, 0, 7, 2, 0, 52, 11, 58, 12, 1, 1, 16, 2, 0, 20, 4, 23, 5, 1, 1, 0, 9, 0, 0, 5, 2, 6, 3, 1, 0, 0, 2, 0, 31, 6, 31, 6, 0, 17, 1, 0, 5, 1, 0, 7, 1, 1, 1, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 17, 7, 2, 0, 8, 1, 0, 4, 1, 8, 2, 1, 1, 15, 3, 0, 7, 0, 11, 1, 1, 1, 0, 9, 0, 0, 8, 0, 9, 1, 1, 0, 0, 5, 0, 2, 0, 3, 1, 1, 16, 2, 0, 21, 0, 7, 24, 8, 1, 1, 1, 1, 1, 6, 0, 7, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 1, 19, 2, 21, 3, 1, 3, 0, 0, 32, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 16, 8, 1, 0, 9, 0, 0, 0, 0, 2, 1, 1, 1, 17, 1, 0, 12, 6, 14, 7, 1, 1, 1, 8, 1, 0, 15, 2, 17, 3, 1, 0, 0, 3, 0, 2, 1, 3, 2, 1, 18, 0, 0, 8, 0, 2, 9, 3, 1, 1, 1, 1, 1, 3, 1, 6, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 8, 1, 1, 5, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 17, 7, 2, 0, 9, 0, 0, 13, 5, 16, 6, 1, 1, 18, 0, 0, 14, 2, 15, 3, 1, 1, 0, 9, 0, 0, 11, 2, 12, 3, 1, 0, 0, 9, 0, 7, 4, 8, 5, 1, 17, 1, 0, 21, 2, 6, 23, 7, 1, 1, 1, 1, 1, 3, 0, 11, 0, 23, 3, 0, 0, 0, 0, 0, 0, 0, 3, 16, 3, 20, 4, 1, 6, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 16, 8, 0, 1, 7, 1, 1, 4, 0, 8, 3, 2, 1, 17, 1, 0, 4, 4, 6, 5, 1, 1, 0, 9, 0, 0, 18, 7, 19, 8, 1, 0, 0, 10, 0, 26, 12, 27, 13, 1, 18, 0, 0, 12, 1, 6, 13, 7, 1, 1, 1, 1, 1, 6, 0, 13, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 2, 10, 4, 12, 4, 0, 3, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 9, 0, 0, 0, 1, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 9, 0, 0, 12, 4, 13, 5, 0, 1, 14, 4, 0, 1, 0, 6, 1, 1, 1, 0, 9, 0, 0, 6, 3, 7, 4, 1, 0, 0, 36, 0, 23, 5, 24, 5, 0, 18, 0, 0, 27, 4, 6, 27, 6, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 18, 7, 1, 0, 8, 0, 0, 0, 1, 2, 2, 0, 1, 16, 2, 0, 2, 0, 5, 1, 1, 1, 0, 9, 0, 0, 24, 2, 25, 3, 1, 0, 0, 34, 0, 1, 1, 2, 2, 1, 16, 2, 0, 1, 7, 0, 4, 1, 1, 1, 1, 1, 1, 2, 0, 35, 0, 33, 2, 0, 0, 0, 0, 0, 0, 0, 8, 11, 6, 14, 7, 1, 7, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 0, 0, 0, 0, 0, 0, 18, 8, 1, 0, 7, 1, 1, 7, 1, 11, 3, 0, 1, 17, 1, 0, 12, 4, 14, 5, 1, 1, 0, 9, 0, 0, 1, 0, 2, 1, 1, 0, 0, 11, 0, 14, 1, 15, 2, 1, 17, 1, 0, 0, 4, 0, 2, 1, 1, 1, 1, 1, 1, 4, 0, 12, 0, 31, 0, 1, 0, 0, 0, 0, 0, 0, 5, 17, 1, 19, 3, 0, 5, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 0, 16, 9, 0, 0, 7, 0, 1, 0, 0, 2, 2, 2, 1, 17, 0, 0, 1, 0, 2, 1, 1, 1, 0, 8, 0, 0, 11, 3, 12, 4, 1, 1, 0, 9, 0, 7, 0, 8, 1, 1, 15, 2, 0, 13, 3, 2, 16, 3, 1, 1, 1, 1, 1, 0, 0, 12, 0, 0, 0, 0, 30, 0, 0, 5, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 21, 1, 0, 3, 0, 0, 0, 0, 2, 1, 1, 1
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 14, 7, 2, 0, 9, 0, 0, 13, 3, 16, 4, 4, 1, 17, 1, 0, 8, 5, 10, 6, 1, 1, 0, 9, 0, 0, 34, 4, 35, 5, 1, 0, 0, 6, 0, 7, 2, 8, 3, 1, 15, 3, 0, 10, 1, 4, 14, 5, 1, 1, 1, 1, 1, 6, 0, 11, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 0, 6, 1, 1, 3, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
