Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 0, 9, 8, 0, 0, 1, 80, 26, 18, 0, 1, 2, 1, 0, 9, 18, 14, 9, 1
INVAR-1, Run: 002, F, 0, 0, 0, 0, 9, 8, 0, 0, 1, 92, 38, 18, 0, 1, 5, 2, 2, 9, 18, 8, 9, 1
INVAR-1, Run: 003, F, 0, 0, 0, 0, 2, 1, 7, 3, 0, 77, 26, 18, 0, 1, 2, 2, 0, 9, 18, 14, 2, 4
INVAR-1, Run: 004, F, 0, 0, 0, 0, 9, 8, 0, 0, 1, 84, 30, 18, 0, 1, 3, 1, 1, 9, 18, 12, 9, 1
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 0, 9, 1, 0, 79, 26, 18, 1, 0, 2, 2, 0, 9, 18, 14, 1, 1
INVAR-1, Run: 006, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 84, 30, 18, 0, 0, 3, 1, 1, 9, 18, 12, 9, 0
INVAR-1, Run: 007, F, 0, 0, 0, 0, 9, 7, 0, 0, 1, 88, 34, 18, 3, 2, 4, 0, 3, 9, 18, 10, 12, 2
INVAR-1, Run: 008, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 84, 30, 18, 0, 0, 3, 1, 1, 9, 18, 12, 9, 0
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 0, 9, 2, 0, 78, 26, 18, 2, 0, 2, 2, 0, 9, 18, 14, 2, 2
INVAR-1, Run: 010, F, 0, 0, 0, 0, 3, 1, 6, 6, 0, 82, 34, 18, 3, 2, 4, 1, 3, 9, 18, 10, 6, 8
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 0, 9, 6, 0, 78, 30, 18, 1, 0, 3, 2, 1, 9, 18, 12, 1, 6
