Input Number, Run_Number, Result@ 100, U, X2, X1, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, F, 0, 0, 31, 7, 10, 17, 3, 17
INVAR-1, Run: 002, F, 0, 0, 36, 2, 22, 31, 10, 21
INVAR-1, Run: 003, F, 0, 0, 33, 5, 15, 20, 6, 16
INVAR-1, Run: 004, F, 0, 0, 33, 5, 11, 16, 2, 12
INVAR-1, Run: 005, F, 0, 0, 34, 4, 10, 10, 0, 4
INVAR-1, Run: 006, F, 0, 0, 34, 4, 18, 21, 8, 15
INVAR-1, Run: 007, F, 0, 0, 34, 4, 15, 22, 5, 16
INVAR-1, Run: 008, F, 0, 0, 34, 4, 17, 24, 7, 18
INVAR-1, Run: 009, F, 0, 0, 35, 3, 13, 18, 2, 10
INVAR-1, Run: 010, F, 0, 0, 34, 4, 12, 16, 2, 10
INVAR-1, Run: 011, F, 0, 0, 36, 2, 16, 23, 4, 13
INVAR-1, Run: 012, F, 0, 0, 32, 6, 17, 23, 9, 21
INVAR-1, Run: 013, F, 0, 0, 34, 4, 15, 20, 5, 14
INVAR-1, Run: 014, F, 0, 0, 31, 7, 9, 23, 2, 23
INVAR-1, Run: 015, F, 0, 0, 34, 4, 25, 34, 15, 28
INVAR-1, Run: 016, F, 0, 0, 37, 1, 15, 24, 2, 12
INVAR-1, Run: 017, F, 0, 0, 29, 9, 17, 19, 12, 23
INVAR-1, Run: 018, P, 0, 0, 38, 0, 17, 23, 3, 9
INVAR-1, Run: 019, F, 0, 0, 37, 1, 14, 30, 1, 18
INVAR-1, Run: 020, F, 0, 0, 35, 3, 13, 19, 2, 11
INVAR-1, Run: 021, F, 0, 0, 34, 4, 18, 34, 8, 28
INVAR-1, Run: 022, F, 0, 0, 36, 2, 14, 18, 2, 8
INVAR-1, Run: 023, F, 0, 0, 35, 3, 14, 23, 3, 15
INVAR-1, Run: 024, F, 0, 0, 34, 4, 13, 17, 3, 11
INVAR-1, Run: 025, F, 0, 0, 35, 3, 15, 27, 4, 19
INVAR-1, Run: 026, F, 0, 0, 34, 4, 11, 17, 1, 11
INVAR-1, Run: 027, F, 0, 0, 35, 3, 15, 21, 4, 13
INVAR-1, Run: 028, F, 0, 0, 35, 3, 11, 16, 0, 8
INVAR-1, Run: 029, F, 0, 0, 33, 5, 14, 20, 5, 16
INVAR-1, Run: 030, F, 0, 0, 37, 1, 14, 22, 1, 10
INVAR-1, Run: 031, F, 0, 0, 34, 4, 13, 17, 3, 11
INVAR-1, Run: 032, F, 0, 0, 36, 2, 16, 23, 4, 13
INVAR-1, Run: 033, F, 0, 0, 33, 5, 10, 14, 1, 10
INVAR-1, Run: 034, F, 0, 0, 37, 1, 15, 18, 2, 6
INVAR-1, Run: 035, F, 0, 0, 35, 3, 11, 19, 0, 11
INVAR-1, Run: 036, F, 0, 0, 33, 5, 12, 23, 3, 19
INVAR-1, Run: 037, F, 0, 0, 35, 3, 14, 18, 3, 10
INVAR-1, Run: 038, F, 0, 0, 32, 6, 14, 28, 6, 26
INVAR-1, Run: 039, F, 0, 0, 35, 3, 13, 24, 2, 16
INVAR-1, Run: 040, F, 0, 0, 34, 4, 11, 20, 1, 14
INVAR-1, Run: 041, F, 0, 0, 30, 8, 13, 25, 7, 27
INVAR-1, Run: 042, F, 0, 0, 35, 3, 15, 22, 4, 14
INVAR-1, Run: 043, F, 0, 0, 35, 3, 12, 19, 1, 11
INVAR-1, Run: 044, F, 0, 0, 37, 1, 13, 18, 0, 6
INVAR-1, Run: 045, F, 0, 0, 35, 3, 12, 19, 1, 11
INVAR-1, Run: 046, F, 0, 0, 35, 3, 12, 28, 1, 20
INVAR-1, Run: 047, F, 0, 0, 34, 4, 12, 20, 2, 14
INVAR-1, Run: 048, F, 0, 0, 36, 2, 14, 14, 2, 4
INVAR-1, Run: 049, F, 0, 0, 36, 2, 13, 18, 1, 8
INVAR-1, Run: 050, F, 0, 0, 35, 3, 16, 22, 5, 14
INVAR-1, Run: 051, F, 0, 0, 34, 4, 14, 19, 4, 13
INVAR-1, Run: 052, F, 0, 0, 35, 3, 17, 23, 6, 15
INVAR-1, Run: 053, F, 0, 0, 35, 3, 19, 32, 8, 24
INVAR-1, Run: 054, F, 0, 0, 33, 5, 16, 21, 7, 17
INVAR-1, Run: 055, F, 0, 0, 34, 4, 12, 16, 2, 10
INVAR-1, Run: 056, F, 0, 0, 36, 2, 13, 20, 1, 10
INVAR-1, Run: 057, F, 0, 0, 36, 2, 13, 14, 1, 4
INVAR-1, Run: 058, F, 0, 0, 34, 4, 12, 24, 2, 18
INVAR-1, Run: 059, F, 0, 0, 30, 8, 14, 20, 8, 22
INVAR-1, Run: 060, F, 0, 0, 34, 4, 15, 34, 5, 28
INVAR-1, Run: 061, F, 0, 0, 32, 6, 17, 20, 9, 18
INVAR-1, Run: 062, F, 0, 0, 34, 4, 12, 23, 2, 17
INVAR-1, Run: 063, F, 0, 0, 33, 5, 16, 18, 7, 14
INVAR-1, Run: 064, P, 0, 0, 38, 0, 15, 23, 1, 9
