Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 1, 1, 0, 0, 0, 1, 4, 2, 0, 0, 0, 0, 0, 1, 3, 0, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 1, 114, 19, 90, 75, 75, 103, 99, 121, 99, 0, 30, 113, 30, 20, 0, 37, 0, 101, 0, 0, 0, 98, 124, 118, 116, 114, 113, 129, 127, 131, 77, 69, 0, 124, 0, 32, 0, 54, 0, 0, 37, 37, 0, 71, 14, 14
INVAR-1, Run: 002, P, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 96, 12, 106, 114, 113, 91, 90, 79, 49, 0, 21, 96, 21, 30, 0, 38, 0, 117, 0, 0, 0, 115, 99, 125, 124, 111, 110, 91, 90, 99, 62, 86, 0, 98, 0, 48, 0, 37, 0, 0, 38, 38, 0, 94, 19, 19
INVAR-1, Run: 003, P, 1, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 106, 16, 106, 115, 115, 113, 112, 89, 54, 0, 18, 104, 18, 34, 0, 28, 0, 109, 0, 0, 0, 108, 104, 81, 81, 85, 85, 60, 60, 69, 48, 65, 0, 104, 0, 36, 0, 20, 0, 0, 29, 28, 0, 90, 17, 17
INVAR-1, Run: 004, P, 1, 2, 0, 1, 1, 1, 0, 2, 0, 0, 0, 3, 0, 1, 0, 0, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0, 1, 91, 27, 109, 88, 87, 97, 97, 91, 58, 0, 28, 89, 28, 31, 0, 23, 0, 95, 0, 0, 0, 95, 108, 112, 111, 105, 103, 113, 111, 107, 70, 51, 0, 105, 0, 28, 0, 37, 0, 0, 23, 23, 0, 83, 20, 20
INVAR-1, Run: 005, P, 1, 2, 0, 1, 2, 1, 1, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 113, 14, 100, 105, 103, 116, 115, 131, 91, 0, 34, 111, 34, 40, 0, 33, 0, 117, 0, 0, 0, 115, 111, 104, 102, 108, 108, 92, 92, 94, 60, 64, 0, 108, 0, 31, 0, 34, 0, 0, 33, 33, 0, 87, 22, 22
INVAR-1, Run: 006, P, 1, 1, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 1, 88, 10, 102, 84, 83, 95, 95, 101, 64, 0, 12, 87, 12, 35, 0, 23, 0, 105, 0, 0, 0, 103, 92, 114, 113, 103, 101, 119, 119, 125, 63, 51, 0, 91, 0, 28, 0, 61, 0, 0, 23, 23, 0, 93, 17, 17
INVAR-1, Run: 007, P, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 94, 12, 87, 102, 101, 106, 105, 128, 69, 0, 24, 94, 23, 59, 0, 24, 0, 91, 0, 0, 0, 91, 90, 85, 84, 87, 87, 100, 100, 122, 78, 63, 0, 88, 0, 38, 0, 44, 0, 0, 25, 25, 0, 75, 15, 14
INVAR-1, Run: 008, P, 1, 1, 1, 3, 1, 1, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 109, 41, 112, 109, 108, 113, 111, 129, 69, 0, 32, 108, 31, 60, 0, 34, 0, 101, 0, 0, 0, 101, 104, 92, 92, 102, 102, 91, 91, 91, 62, 67, 0, 103, 0, 30, 0, 29, 0, 0, 37, 37, 0, 74, 26, 25
INVAR-1, Run: 009, P, 1, 2, 0, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 3, 0, 0, 0, 0, 0, 1, 88, 20, 113, 130, 129, 105, 104, 86, 52, 0, 17, 86, 17, 34, 0, 25, 0, 94, 0, 0, 0, 93, 70, 92, 91, 117, 116, 108, 105, 98, 58, 62, 0, 70, 0, 36, 0, 40, 0, 0, 26, 26, 0, 95, 15, 15
INVAR-1, Run: 010, P, 1, 1, 0, 1, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 105, 32, 100, 116, 116, 96, 94, 97, 60, 0, 24, 104, 24, 35, 0, 18, 0, 99, 0, 0, 0, 99, 101, 96, 96, 88, 88, 71, 71, 73, 44, 34, 0, 101, 0, 16, 0, 29, 0, 0, 18, 18, 0, 69, 33, 33
INVAR-1, Run: 011, P, 1, 1, 1, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 117, 21, 88, 68, 68, 100, 99, 93, 66, 0, 28, 116, 26, 25, 0, 21, 0, 109, 0, 0, 0, 107, 123, 107, 106, 82, 81, 61, 61, 62, 26, 45, 0, 121, 0, 21, 0, 35, 0, 0, 24, 24, 0, 67, 25, 24
INVAR-1, Run: 012, P, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 101, 8, 109, 90, 87, 97, 97, 108, 64, 0, 18, 101, 18, 44, 0, 14, 0, 102, 0, 0, 0, 102, 102, 111, 111, 87, 87, 68, 68, 81, 50, 31, 0, 100, 0, 17, 0, 31, 0, 0, 14, 14, 0, 101, 10, 10
INVAR-1, Run: 013, P, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 83, 38, 100, 106, 105, 95, 95, 75, 38, 0, 33, 82, 32, 37, 0, 40, 0, 86, 0, 0, 0, 85, 84, 98, 98, 117, 116, 101, 99, 126, 78, 84, 0, 83, 0, 41, 0, 48, 0, 0, 43, 43, 0, 62, 23, 23
INVAR-1, Run: 014, P, 1, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 91, 9, 119, 111, 111, 104, 102, 144, 61, 0, 11, 91, 11, 82, 0, 18, 0, 98, 0, 0, 0, 97, 82, 87, 86, 98, 98, 101, 101, 74, 47, 40, 0, 80, 0, 21, 0, 27, 0, 0, 19, 19, 0, 111, 11, 11
INVAR-1, Run: 015, P, 1, 3, 0, 1, 1, 1, 1, 0, 0, 0, 1, 6, 1, 1, 1, 0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 0, 1, 101, 23, 97, 73, 72, 99, 98, 80, 59, 0, 41, 98, 40, 21, 0, 30, 0, 92, 0, 0, 0, 91, 100, 70, 70, 90, 87, 105, 105, 108, 73, 72, 0, 93, 0, 40, 0, 34, 0, 0, 32, 32, 0, 75, 33, 33
INVAR-1, Run: 016, P, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 99, 21, 107, 113, 113, 107, 106, 92, 52, 0, 30, 98, 30, 39, 0, 35, 0, 113, 0, 0, 0, 112, 89, 115, 113, 115, 115, 129, 128, 128, 67, 75, 0, 87, 0, 40, 0, 61, 0, 0, 35, 35, 0, 86, 23, 23
INVAR-1, Run: 017, P, 1, 2, 0, 2, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 2, 0, 0, 3, 1, 1, 0, 0, 1, 0, 0, 2, 1, 77, 11, 92, 79, 79, 90, 90, 84, 58, 0, 5, 75, 5, 26, 0, 19, 0, 106, 0, 0, 0, 104, 75, 117, 114, 103, 102, 101, 101, 84, 45, 47, 0, 74, 0, 23, 0, 39, 0, 0, 23, 21, 0, 83, 3, 3
