Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 018, P, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 1, 107, 23, 98, 92, 90, 122, 122, 105, 82, 0, 41, 106, 41, 23, 0, 37, 0, 96, 0, 0, 0, 94, 105, 103, 101, 95, 94, 101, 100, 117, 68, 68, 0, 103, 0, 31, 0, 49, 0, 0, 37, 37, 0, 75, 26, 26
INVAR-1, Run: 019, P, 1, 1, 0, 1, 2, 1, 2, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 1, 99, 15, 98, 94, 92, 94, 92, 74, 51, 0, 15, 98, 15, 23, 0, 36, 0, 96, 0, 0, 0, 94, 83, 111, 109, 97, 96, 110, 109, 125, 79, 80, 0, 82, 0, 44, 0, 46, 0, 0, 36, 36, 0, 84, 17, 17
INVAR-1, Run: 020, P, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 4, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 1, 103, 19, 98, 84, 83, 97, 97, 101, 76, 0, 23, 103, 23, 25, 0, 31, 0, 85, 0, 0, 0, 81, 103, 87, 85, 115, 114, 103, 102, 88, 48, 48, 0, 102, 0, 17, 0, 40, 0, 0, 31, 31, 0, 79, 22, 22
INVAR-1, Run: 021, P, 1, 2, 0, 4, 6, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 103, 8, 104, 91, 85, 115, 113, 89, 58, 0, 19, 101, 19, 31, 0, 23, 0, 93, 0, 0, 0, 93, 94, 86, 86, 94, 94, 96, 96, 78, 64, 59, 0, 94, 0, 36, 0, 13, 0, 0, 23, 23, 0, 100, 13, 13
INVAR-1, Run: 022, P, 1, 1, 0, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 112, 18, 104, 106, 106, 93, 91, 71, 48, 0, 23, 111, 23, 21, 0, 26, 0, 94, 0, 0, 0, 94, 110, 113, 113, 100, 99, 117, 116, 97, 54, 52, 0, 110, 0, 26, 0, 42, 0, 0, 26, 26, 0, 88, 12, 12
INVAR-1, Run: 023, P, 1, 0, 0, 0, 0, 1, 5, 4, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 1, 2, 0, 0, 0, 1, 1, 98, 5, 110, 105, 105, 89, 84, 91, 59, 0, 22, 98, 22, 28, 0, 31, 0, 102, 0, 0, 0, 100, 81, 90, 90, 114, 112, 69, 68, 93, 56, 66, 0, 81, 0, 34, 0, 35, 0, 0, 32, 31, 0, 105, 6, 6
INVAR-1, Run: 024, P, 1, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1, 104, 2, 90, 88, 86, 96, 95, 99, 71, 0, 7, 104, 7, 28, 0, 22, 0, 103, 0, 0, 0, 102, 111, 126, 126, 104, 103, 102, 100, 106, 61, 52, 0, 111, 0, 30, 0, 44, 0, 0, 22, 22, 0, 89, 2, 2
INVAR-1, Run: 025, P, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 1, 1, 3, 0, 0, 0, 0, 0, 1, 98, 21, 107, 107, 107, 105, 104, 124, 77, 0, 28, 97, 28, 46, 0, 33, 0, 94, 0, 0, 0, 93, 90, 89, 85, 95, 94, 105, 102, 101, 63, 71, 0, 90, 0, 38, 0, 38, 0, 0, 33, 33, 0, 86, 22, 22
INVAR-1, Run: 026, P, 1, 2, 1, 1, 2, 1, 1, 1, 0, 0, 2, 1, 2, 1, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 112, 29, 85, 79, 77, 82, 81, 77, 47, 0, 37, 110, 34, 29, 0, 36, 0, 83, 0, 0, 0, 83, 106, 98, 96, 109, 107, 74, 74, 92, 55, 83, 0, 102, 0, 42, 0, 37, 0, 0, 41, 41, 0, 57, 28, 27
INVAR-1, Run: 027, P, 1, 2, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 108, 35, 111, 106, 103, 117, 117, 98, 57, 0, 27, 106, 27, 41, 0, 36, 0, 95, 0, 0, 0, 95, 122, 90, 90, 100, 99, 68, 67, 101, 58, 65, 0, 121, 0, 27, 0, 43, 0, 0, 37, 36, 0, 76, 33, 33
INVAR-1, Run: 028, P, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 1, 2, 1, 1, 1, 0, 0, 0, 1, 105, 7, 91, 103, 103, 98, 98, 76, 49, 0, 13, 105, 13, 27, 0, 30, 0, 114, 0, 0, 0, 113, 78, 112, 110, 92, 90, 113, 112, 89, 55, 74, 0, 78, 0, 41, 0, 33, 0, 0, 32, 32, 0, 84, 7, 7
INVAR-1, Run: 029, P, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 3, 2, 0, 0, 0, 0, 0, 1, 105, 24, 96, 93, 91, 96, 96, 75, 42, 0, 38, 104, 38, 33, 0, 29, 0, 110, 0, 0, 0, 108, 100, 99, 97, 105, 102, 144, 142, 114, 65, 54, 0, 99, 0, 25, 0, 49, 0, 0, 29, 29, 0, 72, 21, 21
INVAR-1, Run: 030, P, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 0, 1, 3, 0, 0, 1, 1, 1, 4, 1, 0, 0, 0, 0, 1, 107, 26, 97, 79, 77, 108, 108, 91, 55, 0, 36, 107, 36, 35, 0, 27, 0, 99, 0, 0, 0, 96, 95, 95, 94, 106, 105, 104, 100, 87, 61, 67, 0, 95, 0, 39, 0, 25, 0, 0, 28, 28, 0, 71, 28, 28
INVAR-1, Run: 031, P, 1, 0, 0, 3, 2, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 1, 100, 26, 98, 77, 75, 94, 92, 94, 68, 0, 40, 100, 39, 26, 0, 34, 0, 91, 0, 0, 0, 90, 131, 84, 83, 101, 101, 112, 110, 79, 51, 70, 0, 130, 0, 34, 0, 28, 0, 0, 36, 35, 0, 75, 31, 31
INVAR-1, Run: 032, P, 1, 2, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 3, 1, 2, 1, 0, 0, 0, 0, 0, 1, 89, 16, 92, 101, 100, 111, 110, 96, 57, 0, 14, 87, 14, 38, 0, 18, 0, 128, 0, 0, 0, 127, 95, 138, 135, 90, 88, 111, 110, 91, 45, 47, 0, 94, 0, 29, 0, 46, 0, 0, 18, 18, 0, 77, 17, 17
INVAR-1, Run: 033, P, 1, 1, 0, 1, 2, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 107, 7, 98, 94, 92, 90, 89, 112, 73, 0, 19, 106, 19, 39, 0, 27, 0, 98, 0, 0, 0, 96, 119, 101, 98, 97, 97, 117, 117, 101, 51, 62, 0, 118, 0, 35, 0, 50, 0, 0, 27, 27, 0, 92, 16, 16
INVAR-1, Run: 034, P, 1, 1, 0, 2, 3, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 102, 27, 96, 84, 81, 88, 87, 72, 46, 0, 20, 101, 20, 26, 0, 23, 0, 95, 0, 0, 0, 95, 105, 102, 102, 102, 102, 114, 114, 107, 73, 55, 0, 105, 0, 31, 0, 34, 0, 0, 24, 24, 0, 71, 19, 19
INVAR-1, Run: 035, P, 1, 0, 0, 1, 1, 1, 4, 0, 0, 0, 2, 0, 2, 1, 2, 0, 0, 4, 1, 2, 2, 0, 1, 0, 0, 0, 1, 103, 30, 105, 97, 96, 107, 103, 89, 52, 0, 57, 103, 55, 37, 0, 43, 0, 93, 0, 0, 0, 91, 117, 100, 96, 102, 100, 115, 113, 108, 60, 71, 0, 115, 0, 23, 0, 48, 0, 0, 47, 47, 0, 76, 28, 28
INVAR-1, Run: 036, P, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 116, 10, 91, 66, 66, 91, 91, 104, 80, 0, 24, 116, 24, 24, 0, 42, 0, 90, 0, 0, 0, 90, 124, 93, 93, 94, 93, 119, 119, 110, 82, 83, 0, 124, 0, 40, 0, 28, 0, 0, 43, 43, 0, 81, 17, 17
INVAR-1, Run: 037, P, 1, 0, 1, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 99, 14, 106, 115, 115, 85, 83, 70, 39, 0, 26, 99, 25, 30, 0, 21, 0, 109, 0, 0, 0, 108, 121, 106, 105, 96, 94, 95, 93, 97, 61, 48, 0, 119, 0, 26, 0, 36, 0, 0, 22, 22, 0, 93, 18, 17
INVAR-1, Run: 038, P, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 4, 0, 0, 1, 1, 0, 0, 0, 1, 1, 2, 2, 1, 0, 0, 0, 1, 108, 13, 120, 116, 115, 112, 112, 116, 64, 0, 9, 108, 9, 52, 0, 40, 0, 88, 0, 0, 0, 87, 85, 63, 63, 108, 107, 100, 98, 94, 65, 76, 0, 85, 0, 31, 0, 27, 0, 0, 44, 44, 0, 107, 8, 8
INVAR-1, Run: 039, P, 1, 1, 1, 2, 0, 1, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 100, 25, 97, 85, 85, 97, 96, 88, 55, 0, 50, 99, 49, 32, 0, 29, 0, 76, 0, 0, 0, 76, 125, 77, 76, 91, 91, 94, 93, 88, 66, 58, 0, 122, 0, 27, 0, 22, 0, 0, 31, 30, 0, 74, 30, 29
INVAR-1, Run: 040, P, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 3, 1, 2, 1, 0, 0, 0, 0, 0, 1, 86, 25, 105, 109, 109, 81, 80, 70, 42, 0, 35, 85, 35, 28, 0, 44, 0, 105, 0, 0, 0, 103, 99, 104, 101, 102, 100, 99, 98, 98, 67, 83, 0, 98, 0, 39, 0, 31, 0, 0, 44, 44, 0, 81, 18, 18
INVAR-1, Run: 041, P, 1, 0, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 2, 1, 110, 20, 101, 92, 89, 97, 97, 80, 53, 0, 25, 110, 25, 27, 0, 29, 0, 79, 0, 0, 0, 78, 114, 81, 81, 88, 88, 71, 70, 90, 56, 63, 0, 114, 0, 30, 0, 33, 0, 0, 31, 29, 0, 83, 17, 17
INVAR-1, Run: 042, P, 1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 102, 23, 100, 97, 97, 116, 113, 139, 83, 0, 43, 102, 42, 56, 0, 18, 0, 98, 0, 0, 0, 96, 92, 111, 110, 89, 89, 65, 65, 47, 28, 33, 0, 91, 0, 14, 0, 19, 0, 0, 19, 19, 0, 78, 25, 25
INVAR-1, Run: 043, P, 1, 1, 0, 1, 2, 1, 0, 0, 0, 0, 2, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 107, 15, 82, 69, 67, 99, 99, 97, 68, 0, 22, 106, 22, 29, 0, 42, 0, 86, 0, 0, 0, 83, 117, 77, 77, 101, 101, 96, 96, 116, 75, 77, 0, 117, 0, 32, 0, 39, 0, 0, 44, 44, 0, 68, 23, 23
INVAR-1, Run: 044, P, 1, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 83, 25, 112, 98, 98, 96, 94, 98, 59, 0, 29, 82, 29, 39, 0, 29, 0, 97, 0, 0, 0, 96, 57, 74, 74, 103, 102, 92, 92, 103, 69, 72, 0, 56, 0, 43, 0, 34, 0, 0, 29, 29, 0, 88, 20, 20
INVAR-1, Run: 045, P, 1, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 82, 13, 85, 81, 81, 102, 101, 105, 63, 0, 23, 81, 22, 42, 0, 25, 0, 99, 0, 0, 0, 99, 86, 78, 78, 111, 111, 98, 96, 96, 65, 62, 0, 84, 0, 36, 0, 31, 0, 0, 26, 26, 0, 74, 22, 22
INVAR-1, Run: 046, P, 1, 1, 0, 1, 5, 1, 0, 0, 0, 0, 2, 3, 3, 1, 1, 0, 0, 4, 1, 2, 3, 0, 0, 0, 0, 1, 1, 102, 44, 103, 128, 123, 106, 106, 107, 70, 0, 70, 101, 67, 37, 0, 51, 0, 119, 0, 0, 0, 118, 112, 124, 120, 115, 113, 145, 142, 130, 81, 94, 0, 106, 0, 37, 0, 49, 0, 0, 57, 56, 0, 60, 33, 33
INVAR-1, Run: 047, P, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 3, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 1, 81, 16, 90, 86, 85, 106, 106, 101, 64, 0, 19, 81, 18, 37, 0, 36, 0, 112, 0, 0, 0, 109, 99, 111, 106, 112, 112, 99, 99, 118, 70, 92, 0, 97, 0, 55, 0, 48, 0, 0, 37, 37, 0, 76, 11, 11
INVAR-1, Run: 048, P, 1, 2, 1, 2, 0, 1, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 112, 14, 96, 78, 78, 90, 88, 82, 55, 0, 29, 110, 28, 27, 0, 24, 0, 97, 0, 0, 0, 96, 105, 98, 98, 104, 104, 92, 92, 108, 65, 69, 0, 103, 0, 43, 0, 43, 0, 0, 26, 26, 0, 84, 17, 16
INVAR-1, Run: 049, P, 1, 2, 0, 0, 0, 1, 3, 3, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 96, 1, 104, 105, 105, 99, 96, 113, 57, 0, 7, 94, 7, 53, 0, 24, 0, 124, 0, 0, 0, 123, 79, 137, 137, 92, 92, 91, 91, 84, 41, 41, 0, 78, 0, 17, 0, 43, 0, 0, 24, 24, 0, 103, 3, 3
INVAR-1, Run: 050, P, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 1, 93, 25, 102, 103, 103, 85, 85, 84, 49, 0, 23, 92, 23, 34, 0, 31, 0, 91, 0, 0, 0, 91, 105, 97, 97, 103, 101, 108, 106, 119, 83, 59, 0, 103, 0, 28, 0, 34, 0, 0, 31, 31, 0, 78, 25, 25
INVAR-1, Run: 051, P, 1, 0, 0, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 84, 7, 95, 83, 82, 98, 97, 101, 67, 0, 7, 84, 7, 34, 0, 17, 0, 102, 0, 0, 0, 101, 88, 94, 94, 95, 95, 93, 93, 72, 46, 30, 0, 88, 0, 13, 0, 26, 0, 0, 17, 17, 0, 91, 4, 4
INVAR-1, Run: 052, P, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 99, 9, 85, 97, 97, 102, 102, 91, 55, 0, 22, 98, 19, 36, 0, 41, 0, 97, 0, 0, 0, 97, 78, 95, 94, 112, 112, 128, 128, 139, 97, 90, 0, 75, 0, 43, 0, 42, 0, 0, 46, 45, 0, 76, 11, 10
INVAR-1, Run: 053, P, 1, 3, 1, 1, 2, 1, 0, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 95, 30, 107, 103, 101, 93, 93, 103, 58, 0, 18, 92, 17, 44, 0, 28, 0, 108, 0, 0, 0, 107, 80, 113, 112, 120, 119, 117, 117, 122, 73, 63, 0, 77, 0, 32, 0, 49, 0, 0, 30, 29, 0, 78, 17, 16
INVAR-1, Run: 054, P, 1, 1, 0, 2, 1, 1, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 116, 18, 94, 88, 87, 90, 88, 79, 52, 0, 22, 115, 22, 27, 0, 19, 0, 93, 0, 0, 0, 92, 146, 94, 94, 99, 98, 75, 74, 70, 42, 41, 0, 145, 0, 21, 0, 28, 0, 0, 20, 20, 0, 78, 12, 12
INVAR-1, Run: 055, P, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 3, 2, 1, 0, 0, 0, 1, 99, 2, 105, 156, 156, 93, 93, 90, 46, 0, 19, 99, 19, 44, 0, 15, 0, 102, 0, 0, 0, 102, 95, 102, 102, 88, 88, 90, 87, 76, 45, 42, 0, 94, 0, 26, 0, 29, 0, 0, 15, 15, 0, 103, 16, 16
