Input Number, Run_Number, Result@ 100, Y, V, X, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, P, 0, 0, 16, 10, 8, 18, 0
INVAR-1, Run: 002, P, 0, 0, 19, 11, 5, 13, 3
INVAR-1, Run: 003, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 004, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 005, P, 0, 0, 16, 10, 8, 16, 2
INVAR-1, Run: 006, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 007, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 008, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 009, P, 0, 0, 19, 11, 5, 13, 3
INVAR-1, Run: 010, P, 0, 0, 16, 10, 8, 17, 1
INVAR-1, Run: 011, P, 0, 0, 22, 12, 2, 14, 0
INVAR-1, Run: 012, P, 0, 0, 22, 12, 2, 14, 0
INVAR-1, Run: 013, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 014, P, 0, 0, 16, 10, 8, 18, 0
INVAR-1, Run: 015, P, 0, 0, 19, 11, 5, 13, 3
INVAR-1, Run: 016, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 017, P, 0, 0, 19, 11, 5, 13, 3
INVAR-1, Run: 018, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 019, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 020, P, 0, 0, 22, 12, 2, 14, 0
INVAR-1, Run: 021, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 022, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 023, P, 0, 0, 16, 10, 8, 17, 1
INVAR-1, Run: 024, P, 0, 0, 19, 11, 5, 13, 3
INVAR-1, Run: 025, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 026, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 027, P, 0, 0, 19, 11, 5, 12, 4
INVAR-1, Run: 028, P, 0, 0, 16, 10, 8, 14, 4
INVAR-1, Run: 029, P, 0, 0, 22, 12, 2, 14, 0
INVAR-1, Run: 030, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 031, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 032, P, 0, 0, 22, 12, 2, 14, 0
INVAR-1, Run: 033, P, 0, 0, 22, 12, 2, 12, 2
INVAR-1, Run: 034, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 035, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 036, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 037, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 038, P, 0, 0, 16, 10, 8, 17, 1
INVAR-1, Run: 039, P, 0, 0, 19, 11, 5, 13, 3
INVAR-1, Run: 040, P, 0, 0, 16, 10, 8, 17, 1
INVAR-1, Run: 041, P, 0, 0, 19, 11, 5, 13, 3
INVAR-1, Run: 042, P, 0, 0, 16, 10, 8, 18, 0
INVAR-1, Run: 043, P, 0, 0, 19, 11, 5, 12, 4
INVAR-1, Run: 044, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 045, P, 0, 0, 19, 11, 5, 13, 3
INVAR-1, Run: 046, P, 0, 0, 22, 12, 2, 14, 0
INVAR-1, Run: 047, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 048, P, 0, 0, 16, 10, 8, 18, 0
INVAR-1, Run: 049, P, 0, 0, 22, 12, 2, 14, 0
INVAR-1, Run: 050, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 051, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 052, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 053, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 054, P, 0, 0, 19, 11, 5, 13, 3
INVAR-1, Run: 055, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 056, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 057, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 058, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 059, P, 0, 0, 19, 11, 5, 14, 2
