Input Number, Run_Number, Result@ 1000, L1, U, L2, L3, L4, L5, Y, H, T1, T2, T3, T4, T5, T6, R, D, A, B, C
INVAR-1, Run: 021, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 16, 4, 5, 1, 3, 1, 6, 0, 10, 0
INVAR-1, Run: 022, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 12, 6, 6, 2, 3, 1, 10, 0, 10, 0
INVAR-1, Run: 023, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 13, 7, 4, 4, 1, 1, 8, 0, 10, 0
INVAR-1, Run: 024, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 10, 5, 6, 5, 3, 1, 4, 0, 10, 0
INVAR-1, Run: 025, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 9, 11, 5, 6, 4, 1, 3, 0, 10, 0
INVAR-1, Run: 026, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 9, 6, 6, 6, 2, 1, 8, 0, 10, 0
INVAR-1, Run: 027, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 11, 8, 5, 4, 3, 1, 5, 0, 10, 0
INVAR-1, Run: 028, P, 0, 6, 0, 0, 0, 0, 100, 0, 7, 11, 8, 7, 3, 4, 1, 10, 0, 10, 0
INVAR-1, Run: 029, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 8, 4, 5, 0, 1, 7, 0, 10, 0
INVAR-1, Run: 030, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 8, 7, 4, 3, 2, 1, 8, 0, 10, 0
INVAR-1, Run: 031, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 13, 6, 6, 3, 2, 1, 10, 0, 10, 0
INVAR-1, Run: 032, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 10, 7, 5, 3, 3, 1, 4, 0, 10, 0
INVAR-1, Run: 033, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 8, 7, 3, 4, 4, 1, 11, 0, 0, 10
INVAR-1, Run: 034, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 14, 4, 7, 3, 2, 1, 3, 0, 10, 0
INVAR-1, Run: 035, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 11, 10, 6, 4, 0, 1, 3, 0, 0, 10
INVAR-1, Run: 036, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 7, 7, 8, 3, 2, 1, 6, 0, 10, 0
INVAR-1, Run: 037, P, 0, 6, 0, 0, 0, 0, 100, 0, 9, 8, 7, 5, 4, 7, 1, 10, 0, 10, 0
INVAR-1, Run: 038, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 11, 4, 5, 5, 2, 1, 5, 0, 10, 0
INVAR-1, Run: 039, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 10, 6, 6, 2, 3, 1, 8, 0, 10, 0
INVAR-1, Run: 040, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 6, 14, 11, 1, 3, 1, 5, 0, 10, 0
INVAR-1, Run: 041, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 9, 8, 6, 4, 4, 1, 6, 0, 10, 0
INVAR-1, Run: 042, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 13, 7, 3, 2, 4, 1, 7, 0, 0, 10
INVAR-1, Run: 043, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 9, 9, 7, 5, 0, 1, 3, 0, 10, 0
INVAR-1, Run: 044, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 11, 12, 5, 4, 2, 1, 5, 0, 0, 10
INVAR-1, Run: 045, P, 0, 6, 0, 0, 0, 0, 100, 0, 9, 10, 6, 13, 5, 3, 1, 4, 0, 10, 0
INVAR-1, Run: 046, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 11, 10, 5, 3, 4, 1, 7, 0, 0, 10
INVAR-1, Run: 047, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 9, 2, 7, 9, 5, 1, 3, 0, 10, 0
INVAR-1, Run: 048, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 10, 5, 5, 5, 3, 1, 7, 0, 10, 0
INVAR-1, Run: 049, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 9, 6, 5, 5, 4, 1, 4, 0, 10, 0
INVAR-1, Run: 050, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 14, 8, 6, 3, 4, 1, 3, 0, 0, 10
INVAR-1, Run: 051, P, 0, 6, 0, 0, 0, 0, 100, 0, 21, 10, 7, 3, 2, 2, 1, 5, 0, 10, 0
INVAR-1, Run: 052, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 15, 7, 3, 3, 4, 1, 4, 0, 10, 0
INVAR-1, Run: 053, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 7, 13, 5, 0, 4, 1, 8, 0, 10, 0
INVAR-1, Run: 054, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 12, 7, 6, 3, 5, 1, 6, 0, 10, 0
INVAR-1, Run: 055, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 12, 7, 5, 4, 2, 1, 7, 0, 10, 0
INVAR-1, Run: 056, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 14, 4, 6, 4, 3, 1, 9, 0, 10, 0
INVAR-1, Run: 057, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 11, 7, 2, 3, 1, 1, 10, 0, 10, 0
INVAR-1, Run: 058, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 11, 4, 5, 5, 3, 1, 5, 0, 10, 0
INVAR-1, Run: 059, P, 0, 6, 0, 0, 0, 0, 100, 0, 21, 7, 5, 3, 3, 3, 1, 8, 0, 10, 0
INVAR-1, Run: 060, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 10, 7, 4, 4, 4, 1, 3, 0, 10, 0
INVAR-1, Run: 061, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 9, 6, 3, 2, 1, 4, 0, 10, 0
INVAR-1, Run: 062, P, 0, 6, 0, 0, 0, 0, 100, 0, 9, 8, 8, 6, 2, 7, 1, 10, 0, 10, 0
INVAR-1, Run: 063, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 7, 8, 7, 3, 5, 1, 10, 0, 10, 0
INVAR-1, Run: 064, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 15, 8, 5, 2, 1, 1, 6, 0, 10, 0
INVAR-1, Run: 065, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 6, 2, 4, 5, 1, 7, 10, 0, 0
INVAR-1, Run: 066, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 8, 3, 3, 0, 1, 10, 0, 10, 0
INVAR-1, Run: 067, P, 0, 6, 0, 0, 0, 0, 100, 0, 9, 14, 9, 5, 7, 2, 1, 4, 0, 10, 0
INVAR-1, Run: 068, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 10, 9, 7, 3, 3, 1, 6, 0, 10, 0
INVAR-1, Run: 069, P, 0, 6, 0, 0, 0, 0, 100, 0, 21, 9, 6, 6, 2, 2, 1, 4, 0, 10, 0
INVAR-1, Run: 070, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 13, 9, 3, 4, 2, 1, 4, 0, 10, 0
INVAR-1, Run: 071, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 14, 4, 9, 3, 2, 1, 4, 0, 0, 10
INVAR-1, Run: 072, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 11, 6, 8, 3, 7, 1, 2, 0, 10, 0
INVAR-1, Run: 073, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 11, 6, 4, 4, 5, 1, 7, 0, 10, 0
INVAR-1, Run: 074, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 11, 6, 2, 5, 5, 1, 9, 0, 10, 0
INVAR-1, Run: 075, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 15, 11, 4, 3, 1, 1, 5, 0, 10, 0
INVAR-1, Run: 076, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 10, 8, 5, 5, 5, 1, 3, 0, 10, 0
INVAR-1, Run: 077, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 13, 4, 8, 8, 1, 1, 5, 0, 0, 10
INVAR-1, Run: 078, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 14, 6, 3, 3, 2, 1, 8, 0, 0, 10
INVAR-1, Run: 079, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 5, 14, 2, 2, 4, 1, 7, 0, 10, 0
INVAR-1, Run: 080, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 15, 4, 8, 3, 2, 1, 4, 0, 10, 0
INVAR-1, Run: 081, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 10, 11, 2, 3, 1, 1, 12, 0, 10, 0
INVAR-1, Run: 082, P, 0, 6, 0, 0, 0, 0, 100, 0, 7, 11, 7, 7, 3, 9, 1, 6, 10, 0, 0
INVAR-1, Run: 083, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 13, 9, 4, 4, 1, 1, 6, 0, 10, 0
INVAR-1, Run: 084, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 13, 10, 2, 5, 0, 1, 9, 0, 0, 10
INVAR-1, Run: 085, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 13, 6, 6, 4, 2, 1, 3, 10, 0, 0
INVAR-1, Run: 086, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 9, 8, 3, 5, 2, 1, 10, 0, 10, 0
INVAR-1, Run: 087, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 12, 5, 5, 5, 1, 1, 7, 0, 10, 0
INVAR-1, Run: 088, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 9, 5, 2, 3, 6, 1, 9, 0, 10, 0
INVAR-1, Run: 089, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 13, 4, 5, 3, 2, 1, 7, 0, 10, 0
INVAR-1, Run: 090, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 9, 8, 5, 5, 2, 1, 6, 0, 10, 0
INVAR-1, Run: 091, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 6, 10, 8, 3, 2, 1, 10, 0, 10, 0
INVAR-1, Run: 092, P, 0, 6, 0, 0, 0, 0, 100, 0, 20, 12, 8, 4, 2, 2, 1, 2, 0, 10, 0
INVAR-1, Run: 093, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 8, 8, 8, 4, 1, 1, 8, 10, 0, 0
INVAR-1, Run: 094, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 5, 10, 5, 5, 4, 1, 7, 0, 10, 0
INVAR-1, Run: 095, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 6, 6, 9, 4, 2, 1, 7, 0, 10, 0
INVAR-1, Run: 096, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 10, 7, 7, 7, 2, 1, 3, 0, 10, 0
INVAR-1, Run: 097, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 12, 10, 7, 0, 2, 1, 5, 0, 10, 0
INVAR-1, Run: 098, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 8, 7, 3, 6, 3, 1, 6, 0, 10, 0
INVAR-1, Run: 099, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 11, 6, 8, 4, 3, 1, 7, 0, 10, 0
INVAR-1, Run: 100, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 13, 7, 7, 2, 4, 1, 3, 0, 10, 0
INVAR-2, Run: 001, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 7, 10, 4, 3, 1, 1, 7, 0, 0, 100
INVAR-2, Run: 002, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 11, 7, 6, 3, 1, 1, 5, 100, 0, 0
INVAR-2, Run: 003, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 6, 4, 6, 6, 2, 1, 9, 100, 0, 0
INVAR-2, Run: 004, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 10, 6, 2, 7, 2, 1, 7, 0, 0, 100
INVAR-2, Run: 005, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 11, 12, 2, 1, 1, 1, 5, 0, 0, 100
INVAR-2, Run: 006, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 9, 6, 6, 5, 2, 1, 5, 0, 0, 100
INVAR-2, Run: 007, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 13, 10, 1, 4, 5, 1, 3, 0, 100, 0
INVAR-2, Run: 008, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 10, 8, 7, 3, 3, 1, 6, 0, 0, 100
INVAR-2, Run: 009, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 6, 6, 8, 8, 2, 1, 6, 0, 0, 100
INVAR-2, Run: 010, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 7, 6, 10, 2, 2, 1, 11, 100, 0, 0
INVAR-2, Run: 011, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 12, 10, 3, 2, 2, 1, 5, 0, 0, 100
INVAR-2, Run: 012, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 12, 7, 8, 4, 1, 1, 5, 0, 0, 100
INVAR-2, Run: 013, P, 0, 6, 0, 0, 0, 0, 100, 0, 20, 8, 9, 1, 4, 3, 1, 5, 0, 0, 100
INVAR-2, Run: 014, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 13, 6, 6, 5, 1, 1, 9, 0, 100, 0
INVAR-2, Run: 015, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 7, 12, 9, 4, 1, 1, 5, 0, 0, 100
INVAR-2, Run: 016, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 7, 6, 1, 5, 5, 1, 11, 0, 0, 100
INVAR-2, Run: 017, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 9, 8, 8, 5, 2, 1, 6, 0, 0, 100
INVAR-2, Run: 018, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 10, 7, 2, 7, 2, 1, 10, 100, 0, 0
INVAR-2, Run: 019, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 13, 5, 8, 2, 3, 1, 4, 100, 0, 0
INVAR-2, Run: 020, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 10, 7, 6, 3, 5, 1, 5, 0, 0, 100
INVAR-2, Run: 021, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 10, 7, 3, 3, 4, 1, 4, 0, 100, 0
INVAR-2, Run: 022, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 4, 7, 9, 6, 2, 1, 7, 100, 0, 0
INVAR-2, Run: 023, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 12, 5, 5, 1, 1, 1, 7, 100, 0, 0
INVAR-2, Run: 024, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 11, 9, 6, 4, 7, 1, 2, 0, 0, 100
INVAR-2, Run: 025, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 12, 7, 4, 6, 4, 1, 6, 0, 100, 0
INVAR-2, Run: 026, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 6, 8, 7, 7, 2, 1, 7, 0, 100, 0
INVAR-2, Run: 027, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 10, 10, 4, 2, 5, 1, 2, 0, 0, 100
INVAR-2, Run: 028, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 10, 8, 3, 3, 2, 1, 8, 0, 100, 0
INVAR-2, Run: 029, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 14, 6, 6, 3, 2, 1, 7, 0, 100, 0
INVAR-2, Run: 030, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 12, 4, 3, 8, 1, 1, 6, 0, 100, 0
INVAR-2, Run: 031, P, 0, 6, 0, 0, 0, 0, 100, 0, 6, 15, 8, 6, 7, 1, 1, 7, 0, 100, 0
INVAR-2, Run: 032, P, 0, 6, 0, 0, 0, 0, 100, 0, 9, 12, 10, 6, 2, 5, 1, 6, 0, 0, 100
INVAR-2, Run: 033, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 11, 5, 5, 7, 3, 1, 5, 0, 100, 0
INVAR-2, Run: 034, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 14, 6, 3, 4, 1, 1, 9, 100, 0, 0
INVAR-2, Run: 035, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 9, 9, 4, 6, 2, 1, 9, 100, 0, 0
INVAR-2, Run: 036, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 13, 5, 5, 1, 1, 1, 9, 0, 0, 100
INVAR-2, Run: 037, P, 0, 6, 0, 0, 0, 0, 100, 0, 7, 11, 7, 9, 4, 7, 1, 5, 0, 100, 0
INVAR-2, Run: 038, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 12, 6, 8, 3, 0, 1, 5, 0, 100, 0
INVAR-2, Run: 039, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 11, 12, 2, 5, 0, 1, 6, 0, 0, 100
INVAR-2, Run: 040, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 7, 9, 5, 4, 3, 1, 8, 100, 0, 0
INVAR-2, Run: 041, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 9, 9, 9, 2, 3, 1, 5, 0, 100, 0
INVAR-2, Run: 042, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 10, 14, 4, 3, 1, 1, 8, 0, 100, 0
INVAR-2, Run: 043, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 10, 11, 2, 1, 4, 1, 5, 0, 100, 0
INVAR-2, Run: 044, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 13, 10, 0, 3, 5, 1, 5, 0, 0, 100
INVAR-2, Run: 045, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 16, 5, 3, 3, 2, 1, 2, 0, 0, 100
INVAR-2, Run: 046, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 12, 8, 5, 4, 4, 1, 5, 0, 100, 0
INVAR-2, Run: 047, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 9, 7, 2, 3, 5, 1, 5, 100, 0, 0
INVAR-2, Run: 048, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 14, 8, 3, 5, 1, 1, 6, 0, 0, 100
INVAR-2, Run: 049, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 13, 9, 3, 2, 2, 1, 5, 100, 0, 0
INVAR-2, Run: 050, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 9, 7, 8, 2, 1, 1, 9, 0, 100, 0
INVAR-2, Run: 051, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 10, 12, 8, 3, 0, 1, 5, 0, 0, 100
INVAR-2, Run: 052, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 18, 8, 5, 1, 5, 1, 2, 100, 0, 0
INVAR-2, Run: 053, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 10, 10, 4, 5, 0, 1, 11, 0, 100, 0
INVAR-2, Run: 054, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 13, 9, 7, 2, 2, 1, 3, 0, 0, 100
INVAR-2, Run: 055, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 12, 4, 5, 6, 2, 1, 7, 100, 0, 0
INVAR-2, Run: 056, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 13, 7, 4, 4, 3, 1, 4, 0, 0, 100
INVAR-2, Run: 057, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 13, 7, 3, 3, 1, 1, 11, 0, 0, 100
INVAR-2, Run: 058, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 6, 2, 4, 3, 1, 9, 100, 0, 0
INVAR-2, Run: 059, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 12, 6, 7, 2, 4, 1, 6, 100, 0, 0
INVAR-2, Run: 060, P, 0, 6, 0, 0, 0, 0, 100, 0, 21, 4, 7, 6, 2, 1, 1, 9, 0, 0, 100
INVAR-2, Run: 061, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 6, 5, 5, 1, 1, 7, 0, 100, 0
INVAR-2, Run: 062, P, 0, 6, 0, 0, 0, 0, 100, 0, 8, 14, 6, 5, 4, 3, 1, 10, 0, 0, 100
INVAR-2, Run: 063, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 10, 9, 4, 4, 1, 1, 9, 0, 100, 0
INVAR-2, Run: 064, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 10, 7, 9, 4, 3, 1, 6, 0, 0, 100
INVAR-2, Run: 065, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 10, 7, 5, 6, 2, 1, 5, 0, 100, 0
INVAR-2, Run: 066, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 5, 6, 3, 4, 5, 1, 11, 100, 0, 0
INVAR-2, Run: 067, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 10, 6, 6, 5, 2, 1, 5, 0, 100, 0
INVAR-2, Run: 068, P, 0, 6, 0, 0, 0, 0, 100, 0, 8, 7, 10, 10, 5, 4, 1, 6, 0, 100, 0
INVAR-2, Run: 069, P, 0, 6, 0, 0, 0, 0, 100, 0, 22, 14, 6, 1, 2, 2, 1, 3, 0, 100, 0
INVAR-2, Run: 070, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 10, 7, 10, 2, 0, 1, 4, 100, 0, 0
INVAR-2, Run: 071, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 8, 13, 5, 6, 2, 1, 5, 0, 100, 0
INVAR-2, Run: 072, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 10, 16, 3, 3, 2, 1, 6, 100, 0, 0
INVAR-2, Run: 073, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 9, 8, 5, 6, 4, 1, 7, 0, 0, 100
INVAR-2, Run: 074, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 17, 7, 2, 4, 3, 1, 4, 0, 0, 100
INVAR-2, Run: 075, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 11, 7, 8, 1, 3, 1, 6, 0, 0, 100
INVAR-2, Run: 076, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 6, 7, 2, 4, 1, 5, 0, 0, 100
INVAR-2, Run: 077, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 12, 7, 7, 4, 2, 1, 5, 0, 0, 100
INVAR-2, Run: 078, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 8, 8, 4, 4, 1, 1, 7, 0, 0, 100
INVAR-2, Run: 079, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 6, 8, 2, 5, 3, 1, 7, 0, 0, 100
INVAR-2, Run: 080, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 11, 4, 5, 5, 3, 1, 3, 100, 0, 0
INVAR-2, Run: 081, P, 0, 6, 0, 0, 0, 0, 100, 0, 8, 11, 12, 4, 2, 4, 1, 9, 0, 0, 100
INVAR-2, Run: 082, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 10, 8, 5, 6, 2, 1, 9, 0, 0, 100
INVAR-2, Run: 083, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 11, 8, 8, 2, 3, 1, 6, 0, 100, 0
INVAR-2, Run: 084, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 10, 7, 7, 1, 1, 1, 13, 100, 0, 0
INVAR-2, Run: 085, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 7, 9, 6, 3, 7, 1, 5, 0, 100, 0
INVAR-2, Run: 086, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 11, 9, 10, 1, 3, 1, 5, 0, 100, 0
INVAR-2, Run: 087, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 10, 8, 3, 6, 1, 1, 9, 0, 0, 100
INVAR-2, Run: 088, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 8, 7, 5, 3, 5, 1, 7, 0, 100, 0
INVAR-2, Run: 089, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 13, 8, 5, 3, 3, 1, 4, 100, 0, 0
INVAR-2, Run: 090, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 6, 9, 10, 4, 5, 1, 4, 0, 0, 100
INVAR-2, Run: 091, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 8, 4, 7, 3, 3, 1, 11, 0, 100, 0
INVAR-2, Run: 092, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 12, 6, 2, 4, 6, 1, 6, 0, 0, 100
