Input Number, Run_Number, Result@ 1000, L1, U, L2, L3, L4, L5, Y, H, T1, T2, T3, T4, T5, T6, R, D, A, B, C
INVAR-1, Run: 001, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 12, 6, 2, 1, 2, 1, 11, 0, 0, 10
INVAR-1, Run: 002, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 13, 7, 6, 1, 2, 1, 8, 0, 10, 0
INVAR-1, Run: 003, P, 0, 6, 0, 0, 0, 0, 100, 0, 20, 8, 11, 3, 3, 0, 1, 5, 0, 10, 0
INVAR-1, Run: 004, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 12, 10, 5, 3, 1, 1, 6, 0, 10, 0
INVAR-1, Run: 005, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 13, 7, 4, 5, 1, 1, 6, 0, 10, 0
INVAR-1, Run: 006, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 10, 8, 8, 4, 4, 1, 4, 0, 10, 0
INVAR-1, Run: 007, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 8, 6, 6, 5, 4, 1, 7, 0, 10, 0
INVAR-1, Run: 008, P, 0, 6, 0, 0, 0, 0, 100, 0, 20, 13, 3, 4, 2, 2, 1, 6, 0, 10, 0
INVAR-1, Run: 009, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 13, 6, 7, 3, 3, 1, 5, 0, 10, 0
INVAR-1, Run: 010, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 11, 7, 6, 4, 2, 1, 4, 0, 10, 0
INVAR-1, Run: 011, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 10, 4, 7, 4, 5, 1, 6, 0, 10, 0
INVAR-1, Run: 012, P, 0, 6, 0, 0, 0, 0, 100, 0, 8, 8, 9, 4, 3, 7, 1, 11, 0, 10, 0
INVAR-1, Run: 013, P, 0, 6, 0, 0, 0, 0, 100, 0, 9, 9, 6, 7, 6, 5, 1, 8, 0, 10, 0
INVAR-1, Run: 014, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 10, 8, 4, 7, 2, 1, 3, 0, 10, 0
INVAR-1, Run: 015, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 14, 7, 5, 4, 1, 1, 4, 0, 10, 0
INVAR-1, Run: 016, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 8, 9, 5, 6, 4, 1, 4, 0, 10, 0
INVAR-1, Run: 017, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 8, 8, 8, 3, 2, 1, 10, 0, 10, 0
INVAR-1, Run: 018, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 8, 9, 6, 3, 5, 1, 5, 0, 10, 0
INVAR-1, Run: 019, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 11, 11, 4, 3, 1, 1, 4, 0, 10, 0
INVAR-1, Run: 020, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 10, 9, 4, 1, 1, 1, 6, 10, 0, 0
