Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_Q2b, predator_Q1a, predator_g532, predator_mrna533, predator_Q2b_H2, predator_g532_Q2b_H2, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_H1, predator_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2
INVAR-1, Run: 035, P, 1, 14, 31, 0, 1, 0, 0, 0, 0, 1, 13, 65, 0, 0, 1, 1, 0, 0, 10, 1, 11, 47, 0, 0, 0, 0, 0
INVAR-1, Run: 036, P, 1, 10, 36, 0, 1, 1, 0, 0, 0, 1, 14, 15, 0, 0, 1, 1, 0, 0, 4, 1, 7, 20, 0, 0, 0, 0, 0
INVAR-1, Run: 037, P, 1, 12, 46, 0, 1, 1, 0, 0, 1, 1, 13, 5, 0, 0, 1, 1, 0, 0, 12, 1, 13, 36, 0, 0, 0, 0, 0
INVAR-1, Run: 038, P, 1, 10, 44, 0, 1, 2, 0, 0, 1, 1, 15, 0, 0, 0, 1, 3, 0, 0, 10, 1, 17, 77, 0, 0, 0, 0, 0
INVAR-1, Run: 039, P, 1, 12, 39, 0, 1, 2, 0, 0, 1, 1, 7, 2, 0, 0, 1, 2, 0, 0, 5, 1, 9, 21, 0, 0, 0, 0, 0
INVAR-1, Run: 040, P, 1, 9, 37, 0, 1, 0, 0, 0, 0, 1, 5, 16, 0, 0, 1, 1, 0, 0, 6, 1, 11, 47, 0, 0, 0, 0, 0
INVAR-1, Run: 041, P, 1, 14, 43, 0, 0, 2, 17, 1, 3, 1, 13, 0, 0, 0, 1, 0, 0, 0, 0, 1, 16, 36, 46, 6, 0, 0, 2
INVAR-1, Run: 042, P, 1, 20, 85, 0, 0, 4, 2, 1, 1, 1, 7, 0, 0, 0, 1, 3, 0, 0, 9, 1, 12, 53, 1, 0, 0, 0, 0
INVAR-1, Run: 043, P, 1, 8, 48, 0, 1, 1, 0, 0, 0, 1, 10, 6, 0, 0, 1, 1, 0, 0, 13, 1, 17, 58, 0, 0, 0, 0, 0
INVAR-1, Run: 044, P, 1, 7, 20, 0, 1, 2, 4, 0, 1, 1, 8, 3, 0, 0, 1, 1, 0, 0, 1, 1, 8, 34, 1, 0, 0, 0, 1
INVAR-1, Run: 045, P, 1, 14, 48, 0, 0, 3, 2, 1, 3, 1, 15, 1, 0, 0, 1, 1, 0, 0, 1, 1, 15, 40, 0, 0, 0, 0, 0
INVAR-1, Run: 046, P, 1, 16, 67, 0, 1, 1, 0, 0, 0, 1, 9, 18, 0, 0, 1, 1, 0, 0, 4, 1, 11, 37, 0, 0, 0, 0, 0
INVAR-1, Run: 047, P, 1, 9, 37, 0, 1, 0, 0, 0, 0, 1, 16, 75, 0, 0, 1, 1, 0, 0, 8, 1, 15, 59, 0, 0, 0, 0, 0
INVAR-1, Run: 048, P, 1, 10, 31, 0, 1, 0, 0, 0, 0, 1, 11, 60, 0, 0, 1, 0, 0, 0, 6, 1, 13, 31, 0, 0, 0, 0, 0
INVAR-1, Run: 049, P, 1, 12, 36, 0, 0, 2, 7, 1, 1, 1, 11, 2, 0, 0, 1, 1, 0, 0, 0, 1, 18, 50, 51, 5, 0, 0, 6
INVAR-1, Run: 050, P, 1, 12, 43, 3, 0, 4, 2, 1, 6, 1, 16, 0, 1, 0, 1, 0, 0, 0, 0, 1, 5, 20, 20, 3, 0, 0, 3
INVAR-1, Run: 051, P, 1, 12, 57, 0, 1, 3, 0, 0, 1, 1, 8, 5, 0, 0, 1, 5, 0, 0, 15, 1, 10, 24, 0, 0, 0, 0, 0
INVAR-1, Run: 052, P, 1, 15, 45, 1, 1, 1, 0, 0, 1, 1, 14, 3, 0, 0, 1, 4, 0, 0, 28, 1, 13, 49, 0, 0, 0, 0, 0
INVAR-1, Run: 053, P, 1, 10, 40, 0, 1, 0, 0, 0, 0, 1, 13, 61, 0, 0, 1, 2, 0, 0, 18, 1, 12, 34, 0, 0, 0, 0, 0
INVAR-1, Run: 054, P, 1, 12, 41, 3, 1, 4, 6, 0, 7, 1, 12, 0, 2, 0, 1, 0, 0, 0, 0, 1, 10, 36, 33, 1, 0, 0, 0
INVAR-1, Run: 055, P, 1, 8, 36, 1, 0, 5, 7, 1, 6, 1, 10, 0, 0, 0, 1, 0, 1, 0, 0, 1, 9, 37, 28, 6, 0, 0, 1
INVAR-1, Run: 056, P, 1, 10, 32, 0, 1, 1, 0, 0, 0, 1, 17, 19, 0, 0, 1, 2, 0, 0, 15, 1, 13, 43, 0, 0, 0, 0, 0
INVAR-1, Run: 057, P, 1, 11, 36, 0, 0, 6, 1, 1, 5, 1, 14, 0, 0, 0, 1, 1, 0, 0, 4, 1, 11, 44, 0, 0, 0, 0, 0
INVAR-1, Run: 058, P, 1, 13, 40, 3, 0, 4, 6, 1, 5, 1, 14, 0, 0, 0, 1, 0, 0, 0, 0, 1, 18, 67, 83, 2, 0, 0, 8
INVAR-1, Run: 059, P, 1, 16, 60, 3, 0, 4, 0, 1, 3, 1, 10, 0, 1, 0, 0, 3, 0, 1, 7, 1, 15, 55, 0, 0, 0, 0, 0
INVAR-1, Run: 060, P, 1, 11, 42, 0, 1, 1, 0, 0, 1, 1, 13, 1, 0, 0, 1, 2, 0, 0, 5, 1, 14, 41, 0, 0, 0, 0, 0
INVAR-1, Run: 061, P, 1, 15, 46, 0, 0, 4, 3, 1, 5, 1, 11, 0, 0, 0, 1, 0, 0, 0, 0, 1, 12, 35, 37, 3, 0, 0, 6
INVAR-1, Run: 062, P, 1, 10, 33, 0, 1, 6, 5, 0, 3, 1, 9, 1, 0, 0, 1, 0, 0, 0, 0, 1, 10, 43, 46, 3, 0, 0, 3
INVAR-1, Run: 063, P, 1, 14, 40, 0, 1, 0, 0, 0, 0, 1, 14, 59, 0, 0, 1, 4, 0, 0, 14, 1, 10, 46, 0, 0, 0, 0, 0
INVAR-1, Run: 064, P, 1, 18, 49, 0, 0, 6, 9, 1, 8, 1, 15, 0, 0, 0, 1, 0, 0, 0, 0, 1, 13, 32, 50, 4, 0, 0, 4
INVAR-1, Run: 065, P, 1, 6, 29, 0, 0, 5, 0, 1, 1, 1, 8, 0, 0, 0, 1, 2, 0, 0, 2, 1, 10, 30, 0, 0, 0, 0, 0
INVAR-1, Run: 066, P, 1, 16, 41, 0, 0, 0, 8, 1, 0, 1, 11, 59, 0, 0, 1, 0, 0, 0, 0, 1, 19, 89, 61, 6, 0, 0, 6
INVAR-1, Run: 067, P, 1, 13, 43, 0, 0, 3, 12, 1, 5, 1, 14, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 42, 55, 6, 0, 0, 1
INVAR-1, Run: 068, P, 1, 12, 48, 0, 1, 3, 0, 0, 4, 1, 11, 0, 0, 0, 0, 1, 0, 1, 3, 1, 14, 40, 0, 0, 0, 0, 0
INVAR-1, Run: 069, P, 1, 10, 34, 0, 1, 3, 0, 0, 1, 1, 14, 0, 0, 0, 1, 4, 0, 0, 12, 1, 9, 40, 0, 0, 0, 0, 0
INVAR-1, Run: 070, P, 1, 10, 31, 0, 1, 1, 0, 0, 0, 1, 14, 10, 0, 0, 1, 1, 0, 0, 5, 1, 16, 57, 0, 0, 0, 0, 0
INVAR-1, Run: 071, P, 1, 12, 53, 0, 0, 3, 6, 1, 1, 1, 6, 1, 0, 1, 0, 3, 0, 1, 1, 1, 12, 57, 0, 0, 0, 0, 1
INVAR-1, Run: 072, P, 1, 10, 47, 0, 0, 1, 0, 1, 1, 1, 7, 4, 0, 0, 1, 1, 0, 0, 10, 1, 20, 43, 0, 0, 0, 0, 0
INVAR-1, Run: 073, P, 1, 8, 38, 0, 0, 9, 3, 1, 5, 1, 18, 1, 0, 0, 1, 0, 0, 0, 0, 1, 9, 22, 35, 1, 0, 0, 3
INVAR-1, Run: 074, P, 1, 16, 52, 0, 1, 0, 0, 0, 0, 1, 9, 43, 0, 0, 1, 4, 0, 0, 18, 1, 8, 21, 0, 0, 0, 0, 0
INVAR-1, Run: 075, P, 1, 11, 50, 0, 0, 6, 8, 1, 7, 1, 12, 1, 0, 0, 1, 0, 0, 0, 0, 1, 13, 48, 44, 8, 0, 0, 3
INVAR-1, Run: 076, P, 1, 6, 26, 0, 1, 0, 0, 0, 0, 1, 8, 53, 0, 0, 1, 1, 0, 0, 2, 1, 9, 29, 0, 0, 0, 0, 0
INVAR-1, Run: 077, P, 1, 18, 61, 0, 1, 1, 7, 0, 0, 1, 15, 82, 0, 0, 1, 0, 0, 0, 0, 1, 11, 39, 42, 5, 0, 0, 5
INVAR-1, Run: 078, P, 1, 11, 34, 1, 1, 7, 4, 0, 13, 1, 12, 0, 0, 2, 1, 0, 0, 0, 0, 1, 12, 63, 44, 6, 0, 1, 4
INVAR-1, Run: 079, P, 1, 7, 36, 0, 1, 3, 0, 0, 2, 1, 12, 1, 0, 0, 1, 2, 0, 0, 9, 1, 14, 44, 0, 0, 0, 0, 0
INVAR-1, Run: 080, P, 1, 20, 75, 0, 0, 3, 10, 1, 0, 1, 6, 8, 0, 0, 1, 0, 0, 0, 0, 1, 14, 52, 40, 4, 0, 0, 3
INVAR-1, Run: 081, P, 1, 11, 32, 0, 1, 2, 0, 0, 0, 1, 8, 3, 0, 0, 1, 1, 0, 0, 4, 1, 14, 50, 0, 0, 0, 0, 0
INVAR-1, Run: 082, P, 1, 8, 28, 1, 1, 6, 1, 0, 7, 1, 12, 0, 0, 0, 1, 2, 1, 0, 3, 1, 13, 46, 0, 0, 0, 0, 1
INVAR-1, Run: 083, P, 1, 12, 45, 3, 0, 3, 10, 1, 6, 1, 5, 0, 0, 0, 1, 0, 0, 0, 0, 1, 7, 42, 40, 3, 0, 0, 1
INVAR-1, Run: 084, P, 1, 9, 24, 0, 0, 3, 1, 1, 2, 1, 12, 1, 0, 0, 1, 0, 0, 0, 0, 1, 11, 59, 24, 1, 0, 0, 1
INVAR-1, Run: 085, P, 1, 7, 32, 0, 1, 2, 0, 0, 2, 1, 10, 1, 1, 0, 1, 2, 0, 0, 8, 1, 5, 22, 0, 0, 0, 0, 0
INVAR-1, Run: 086, P, 1, 8, 32, 0, 0, 3, 2, 1, 1, 1, 13, 1, 0, 0, 1, 0, 0, 0, 0, 1, 13, 46, 30, 5, 0, 0, 5
INVAR-1, Run: 087, P, 1, 24, 53, 0, 0, 4, 13, 1, 2, 1, 2, 3, 0, 0, 1, 1, 2, 0, 0, 1, 11, 32, 44, 2, 0, 0, 4
INVAR-1, Run: 088, P, 1, 14, 54, 0, 0, 4, 10, 1, 6, 1, 11, 0, 0, 0, 1, 0, 0, 0, 0, 1, 10, 53, 42, 4, 0, 0, 2
INVAR-1, Run: 089, P, 1, 9, 42, 1, 1, 5, 0, 0, 6, 1, 12, 0, 0, 0, 1, 1, 0, 0, 3, 1, 14, 53, 0, 0, 0, 0, 0
INVAR-1, Run: 090, P, 1, 14, 39, 2, 0, 5, 3, 1, 6, 1, 14, 0, 1, 0, 1, 0, 1, 0, 0, 1, 11, 34, 32, 5, 0, 0, 2
INVAR-1, Run: 091, P, 1, 6, 34, 0, 0, 5, 6, 1, 9, 1, 7, 0, 0, 0, 1, 1, 1, 0, 2, 1, 11, 42, 0, 0, 0, 0, 0
INVAR-1, Run: 092, P, 1, 10, 25, 0, 1, 0, 0, 0, 0, 1, 11, 38, 0, 0, 1, 2, 0, 0, 4, 1, 7, 27, 0, 0, 0, 0, 0
INVAR-1, Run: 093, P, 1, 10, 43, 0, 0, 4, 3, 1, 0, 1, 7, 3, 0, 1, 1, 1, 0, 0, 1, 1, 15, 62, 0, 0, 0, 0, 0
INVAR-1, Run: 094, P, 1, 15, 68, 2, 1, 5, 1, 0, 4, 1, 12, 0, 0, 0, 1, 4, 0, 0, 9, 1, 6, 20, 0, 0, 0, 0, 0
INVAR-1, Run: 095, P, 1, 10, 37, 1, 1, 3, 1, 0, 3, 1, 10, 0, 0, 0, 1, 1, 0, 0, 4, 1, 8, 21, 0, 0, 0, 0, 0
INVAR-1, Run: 096, P, 1, 18, 51, 3, 0, 4, 10, 1, 2, 1, 11, 0, 0, 0, 1, 0, 0, 0, 0, 1, 11, 38, 34, 3, 0, 0, 3
INVAR-1, Run: 097, P, 1, 14, 41, 0, 0, 7, 4, 1, 5, 1, 13, 0, 0, 0, 1, 1, 0, 0, 1, 1, 11, 51, 0, 0, 0, 1, 0
INVAR-1, Run: 098, P, 1, 8, 28, 0, 1, 1, 0, 0, 2, 1, 6, 0, 0, 0, 1, 1, 0, 0, 9, 1, 17, 66, 0, 0, 0, 0, 0
INVAR-1, Run: 099, P, 1, 19, 48, 0, 0, 5, 13, 1, 4, 1, 9, 1, 0, 0, 1, 0, 0, 0, 0, 1, 7, 35, 35, 3, 0, 0, 2
INVAR-1, Run: 100, P, 1, 17, 57, 2, 1, 2, 0, 0, 3, 1, 13, 0, 0, 0, 1, 1, 0, 0, 4, 1, 11, 38, 0, 0, 0, 0, 0
