Input Number, Run_Number, Result@ 100, X, V, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 1, 0, 0, 87, 65, 12, 2, 74, 5
INVAR-1, Run: 002, F, 2, 0, 0, 113, 82, 12, 2, 91, 5
INVAR-1, Run: 003, F, 2, 1, 0, 86, 63, 11, 5, 75, 3
INVAR-1, Run: 004, F, 1, 0, 0, 108, 79, 12, 2, 84, 9
INVAR-1, Run: 005, F, 1, 1, 0, 105, 77, 12, 2, 82, 8
INVAR-1, Run: 006, F, 0, 1, 0, 97, 72, 12, 2, 83, 2
INVAR-1, Run: 007, F, 1, 2, 0, 105, 77, 12, 2, 84, 5
INVAR-1, Run: 008, F, 1, 1, 0, 93, 69, 12, 2, 65, 17
INVAR-1, Run: 009, F, 0, 1, 0, 106, 78, 12, 2, 85, 6
INVAR-1, Run: 010, F, 2, 0, 0, 92, 68, 12, 2, 71, 11
INVAR-1, Run: 011, F, 0, 2, 0, 115, 84, 12, 2, 94, 2
INVAR-1, Run: 012, F, 2, 0, 0, 95, 69, 11, 5, 67, 18
INVAR-1, Run: 013, F, 0, 2, 0, 91, 68, 12, 2, 74, 6
INVAR-1, Run: 014, F, 2, 0, 0, 86, 63, 11, 5, 62, 17
INVAR-1, Run: 015, F, 0, 2, 0, 112, 81, 11, 5, 78, 17
INVAR-1, Run: 016, F, 1, 0, 0, 111, 81, 12, 2, 88, 7
INVAR-1, Run: 017, F, 1, 1, 0, 108, 79, 12, 2, 82, 10
INVAR-1, Run: 018, F, 1, 1, 0, 111, 81, 12, 2, 87, 7
INVAR-1, Run: 019, F, 2, 0, 0, 95, 70, 12, 2, 69, 15
INVAR-1, Run: 020, F, 2, 1, 0, 107, 78, 12, 2, 82, 9
INVAR-1, Run: 021, F, 1, 0, 0, 93, 69, 12, 2, 69, 14
INVAR-1, Run: 022, F, 0, 1, 0, 109, 80, 12, 2, 80, 13
INVAR-1, Run: 023, F, 1, 2, 0, 99, 73, 12, 2, 82, 3
INVAR-1, Run: 024, F, 0, 2, 0, 85, 64, 12, 2, 74, 2
INVAR-1, Run: 025, F, 1, 0, 0, 96, 71, 12, 2, 83, 2
INVAR-1, Run: 026, F, 3, 0, 0, 115, 83, 12, 2, 89, 8
INVAR-1, Run: 027, F, 4, 0, 0, 105, 76, 12, 2, 87, 3
INVAR-1, Run: 028, F, 0, 2, 0, 106, 78, 12, 2, 80, 10
INVAR-1, Run: 029, F, 2, 1, 0, 116, 84, 12, 2, 85, 12
INVAR-1, Run: 030, F, 1, 1, 0, 99, 72, 11, 5, 73, 14
INVAR-1, Run: 031, F, 0, 1, 0, 100, 74, 12, 2, 85, 2
INVAR-1, Run: 032, F, 2, 0, 0, 83, 62, 12, 2, 70, 6
INVAR-1, Run: 033, F, 1, 1, 0, 99, 73, 12, 2, 79, 7
INVAR-1, Run: 034, F, 0, 2, 0, 109, 79, 11, 5, 90, 3
INVAR-1, Run: 035, F, 1, 1, 0, 93, 69, 12, 2, 77, 5
INVAR-1, Run: 036, F, 1, 0, 0, 90, 66, 11, 5, 61, 21
INVAR-1, Run: 037, F, 0, 2, 0, 88, 66, 12, 2, 65, 13
INVAR-1, Run: 038, F, 3, 0, 0, 82, 61, 12, 2, 62, 13
INVAR-1, Run: 039, F, 0, 3, 0, 115, 84, 12, 2, 89, 6
INVAR-1, Run: 040, F, 2, 1, 0, 92, 68, 12, 2, 73, 8
INVAR-1, Run: 041, F, 2, 1, 0, 107, 78, 12, 2, 87, 4
INVAR-1, Run: 042, F, 2, 0, 0, 95, 69, 11, 5, 77, 8
INVAR-1, Run: 043, F, 1, 0, 0, 114, 83, 12, 2, 94, 3
INVAR-1, Run: 044, F, 1, 1, 0, 75, 57, 12, 2, 57, 13
INVAR-1, Run: 045, F, 1, 1, 0, 117, 85, 12, 2, 95, 3
INVAR-1, Run: 046, F, 2, 0, 0, 107, 78, 12, 2, 83, 9
INVAR-1, Run: 047, F, 1, 0, 0, 99, 72, 11, 5, 72, 16
INVAR-1, Run: 048, F, 1, 0, 0, 90, 67, 12, 2, 76, 5
INVAR-1, Run: 049, F, 0, 1, 0, 112, 82, 12, 2, 89, 6
INVAR-1, Run: 050, F, 2, 2, 0, 98, 72, 12, 2, 77, 7
INVAR-1, Run: 051, F, 2, 0, 0, 104, 75, 11, 5, 78, 13
INVAR-1, Run: 052, F, 0, 1, 0, 97, 72, 12, 2, 82, 3
INVAR-1, Run: 053, F, 2, 0, 0, 104, 76, 12, 2, 79, 11
INVAR-1, Run: 054, F, 2, 1, 0, 101, 74, 12, 2, 73, 14
INVAR-1, Run: 055, F, 1, 1, 0, 93, 69, 12, 2, 75, 7
INVAR-1, Run: 056, F, 1, 1, 0, 93, 69, 12, 2, 73, 9
INVAR-1, Run: 057, F, 2, 1, 0, 101, 74, 12, 2, 69, 18
INVAR-1, Run: 058, F, 1, 0, 0, 111, 81, 12, 2, 92, 3
INVAR-1, Run: 059, F, 2, 0, 0, 86, 64, 12, 2, 74, 4
INVAR-1, Run: 060, F, 2, 2, 0, 92, 67, 11, 5, 76, 5
INVAR-1, Run: 061, F, 3, 0, 0, 79, 58, 11, 5, 58, 16
INVAR-1, Run: 062, F, 1, 1, 0, 105, 76, 11, 5, 76, 15
INVAR-1, Run: 063, F, 1, 1, 0, 96, 71, 12, 2, 68, 16
INVAR-1, Run: 064, F, 1, 1, 0, 102, 75, 12, 2, 71, 17
INVAR-1, Run: 065, F, 2, 0, 0, 86, 64, 12, 2, 75, 3
INVAR-1, Run: 066, F, 2, 0, 0, 92, 68, 12, 2, 72, 10
INVAR-1, Run: 067, F, 0, 1, 0, 118, 86, 12, 2, 93, 6
INVAR-1, Run: 068, F, 1, 0, 0, 105, 76, 11, 5, 84, 8
INVAR-1, Run: 069, F, 1, 1, 0, 105, 77, 12, 2, 71, 19
INVAR-1, Run: 070, F, 2, 0, 0, 92, 68, 12, 2, 78, 4
INVAR-1, Run: 071, F, 0, 2, 0, 91, 68, 12, 2, 68, 12
INVAR-1, Run: 072, F, 0, 1, 0, 97, 72, 12, 2, 66, 19
INVAR-1, Run: 073, F, 2, 0, 0, 92, 68, 12, 2, 66, 16
INVAR-1, Run: 074, F, 0, 1, 0, 94, 70, 12, 2, 76, 7
INVAR-1, Run: 075, F, 2, 0, 0, 104, 76, 12, 2, 87, 3
INVAR-1, Run: 076, F, 1, 0, 0, 90, 66, 11, 5, 72, 10
INVAR-1, Run: 077, F, 2, 0, 0, 107, 78, 12, 2, 85, 7
INVAR-1, Run: 078, F, 0, 2, 0, 112, 82, 12, 2, 83, 11
INVAR-1, Run: 079, F, 2, 0, 0, 101, 74, 12, 2, 88, 0
INVAR-1, Run: 080, F, 1, 1, 0, 102, 74, 11, 5, 80, 9
INVAR-1, Run: 081, F, 2, 0, 0, 98, 72, 12, 2, 81, 5
INVAR-1, Run: 082, F, 1, 1, 0, 111, 81, 12, 2, 84, 10
INVAR-1, Run: 083, F, 2, 3, 0, 110, 80, 12, 2, 84, 7
INVAR-1, Run: 084, F, 1, 0, 0, 99, 73, 12, 2, 76, 11
INVAR-1, Run: 085, F, 2, 0, 0, 92, 68, 12, 2, 81, 1
INVAR-1, Run: 086, F, 1, 0, 0, 114, 83, 12, 2, 92, 5
INVAR-1, Run: 087, F, 2, 1, 0, 86, 64, 12, 2, 71, 6
INVAR-1, Run: 088, F, 4, 0, 0, 90, 66, 12, 2, 64, 16
INVAR-1, Run: 089, F, 0, 2, 0, 97, 72, 12, 2, 76, 8
INVAR-1, Run: 090, F, 3, 1, 0, 88, 65, 12, 2, 69, 9
INVAR-1, Run: 091, F, 2, 0, 0, 104, 76, 12, 2, 76, 14
