Input Number, Run_Number, Result@ 100, F2, Y, A1, F1, F1P, A2, F2P
19, Run: 001, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 002, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 003, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 004, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 005, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 006, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 007, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 008, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 009, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 010, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 011, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 012, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 013, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 014, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 015, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 016, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 017, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 018, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 019, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 020, P, 0, 0, 0, 5, 0, 15, 5
19, Run: 021, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 022, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 023, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 024, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 025, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 026, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 027, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 028, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 029, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 030, P, 0, 0, 0, 5, 0, 13, 5
19, Run: 031, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 032, P, 0, 0, 0, 5, 0, 14, 5
19, Run: 033, P, 0, 0, 0, 5, 0, 14, 5
