Input Number, Run_Number, Result@ 100, X, Y, Z, XP, YP, NEW_REACTION, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 001, F, 0, 0, 52, 0, 28, 7, 17, 45, 17
INVAR-1, Run: 002, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 003, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 004, F, 0, 0, 68, 0, 44, 15, 9, 53, 9
INVAR-1, Run: 005, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 006, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 007, F, 0, 0, 54, 0, 30, 8, 16, 46, 16
INVAR-1, Run: 008, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 009, F, 0, 0, 56, 0, 32, 9, 15, 47, 15
INVAR-1, Run: 010, F, 0, 0, 58, 0, 34, 10, 14, 48, 14
INVAR-1, Run: 011, F, 0, 0, 56, 0, 32, 9, 15, 47, 15
INVAR-1, Run: 012, F, 0, 0, 66, 0, 42, 14, 10, 52, 10
INVAR-1, Run: 013, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 014, F, 0, 0, 68, 0, 44, 15, 9, 53, 9
INVAR-1, Run: 015, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 016, F, 0, 0, 50, 0, 26, 6, 18, 44, 18
INVAR-1, Run: 017, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 018, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 019, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 020, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 021, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 022, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 023, F, 0, 0, 56, 0, 32, 9, 15, 47, 15
INVAR-1, Run: 024, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 025, F, 0, 0, 56, 0, 32, 9, 15, 47, 15
INVAR-1, Run: 026, F, 0, 0, 58, 0, 34, 10, 14, 48, 14
INVAR-1, Run: 027, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 028, F, 0, 0, 50, 0, 26, 6, 18, 44, 18
INVAR-1, Run: 029, F, 0, 0, 58, 0, 34, 10, 14, 48, 14
INVAR-1, Run: 030, F, 0, 0, 68, 0, 44, 15, 9, 53, 9
INVAR-1, Run: 031, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 032, F, 0, 0, 52, 0, 28, 7, 17, 45, 17
INVAR-1, Run: 033, F, 0, 0, 50, 0, 26, 6, 18, 44, 18
INVAR-1, Run: 034, F, 0, 0, 54, 0, 30, 8, 16, 46, 16
INVAR-1, Run: 035, F, 0, 0, 68, 0, 44, 15, 9, 53, 9
