Input Number, Run_Number, Result@ 100, F, Y, CE, X1, A, B, C, PO, D, CO, PE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 111, 8, 14, 105, 9, 3, 5, 12, 6, 18, 84, 39
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 118, 10, 16, 112, 9, 5, 3, 12, 6, 18, 96, 45
INVAR-1, Run: 048, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 81, 4, 6, 79, 9, 4, 4, 10, 7, 18, 52, 24
INVAR-1, Run: 049, P, 1, 0, 1, 0, 0, 0, 0, 0, 56, 4, 1, 11, 5, 18, 155, 12, 16, 151, 9, 5, 3, 11, 6, 18, 28, 11
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 70, 7, 13, 64, 9, 7, 1, 12, 6, 18, 62, 28
INVAR-1, Run: 051, P, 1, 0, 1, 0, 0, 0, 0, 0, 56, 2, 1, 10, 3, 18, 90, 6, 8, 88, 9, 5, 3, 10, 7, 18, 30, 13
INVAR-1, Run: 052, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 0, 1, 9, 2, 18, 67, 9, 9, 67, 9, 4, 4, 9, 8, 18, 154, 76
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 91, 8, 12, 87, 9, 5, 3, 11, 7, 18, 42, 19
INVAR-1, Run: 054, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 64, 8, 10, 62, 9, 5, 3, 10, 7, 18, 152, 74
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 110, 3, 7, 106, 9, 6, 2, 11, 7, 18, 158, 77
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 149, 2, 8, 143, 9, 4, 4, 12, 6, 18, 50, 22
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 128, 9, 17, 120, 9, 5, 3, 13, 5, 18, 22, 7
INVAR-1, Run: 058, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 111, 4, 10, 105, 9, 8, 0, 12, 5, 18, 36, 14
INVAR-1, Run: 059, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 76, 8, 10, 74, 9, 5, 3, 10, 7, 18, 20, 8
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 152, 7, 15, 144, 9, 6, 2, 13, 5, 18, 10, 1
INVAR-1, Run: 061, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 58, 6, 8, 56, 9, 8, 0, 10, 7, 18, 14, 5
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 134, 4, 12, 126, 9, 7, 1, 13, 5, 18, 24, 8
INVAR-1, Run: 063, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 111, 9, 13, 107, 9, 5, 3, 11, 6, 18, 36, 15
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 193, 5, 11, 187, 9, 6, 2, 12, 6, 18, 52, 23
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 97, 10, 16, 91, 9, 6, 2, 12, 6, 18, 20, 7
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 103, 1, 9, 95, 9, 8, 0, 13, 5, 18, 44, 18
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 80, 6, 10, 76, 9, 7, 1, 11, 7, 18, 50, 23
INVAR-1, Run: 068, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 116, 3, 7, 112, 9, 6, 2, 11, 6, 18, 36, 15
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 64, 8, 12, 60, 9, 4, 4, 11, 7, 18, 14, 5
INVAR-1, Run: 070, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 0, 1, 9, 2, 18, 80, 7, 7, 80, 9, 4, 4, 9, 8, 18, 26, 12
INVAR-1, Run: 071, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 69, 6, 8, 67, 9, 5, 3, 10, 7, 18, 46, 21
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 104, 12, 18, 98, 9, 8, 0, 12, 6, 18, 42, 18
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 288, 12, 20, 280, 9, 4, 4, 13, 5, 18, 20, 6
INVAR-1, Run: 074, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 114, 8, 12, 110, 9, 5, 3, 11, 6, 18, 72, 33
INVAR-1, Run: 075, P, 0, 0, 4, 0, 0, 0, 0, 0, 58, 4, 1, 11, 8, 18, 122, 15, 19, 118, 9, 6, 2, 11, 5, 18, 50, 21
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 10, 1, 14, 10, 18, 126, 2, 12, 116, 9, 6, 2, 14, 4, 18, 30, 10
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 120, 2, 10, 112, 9, 7, 1, 13, 5, 18, 20, 6
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 166, 16, 22, 160, 9, 6, 2, 12, 6, 18, 44, 19
INVAR-1, Run: 079, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 57, 4, 6, 55, 9, 3, 5, 10, 7, 18, 54, 25
INVAR-1, Run: 080, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 48, 5, 7, 46, 9, 4, 4, 10, 7, 18, 114, 55
INVAR-1, Run: 081, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 0, 1, 9, 2, 18, 33, 7, 7, 33, 9, 4, 4, 9, 8, 18, 170, 84
INVAR-1, Run: 082, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 91, 11, 15, 87, 9, 4, 4, 11, 6, 18, 42, 18
INVAR-1, Run: 083, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 99, 8, 14, 93, 9, 8, 0, 12, 6, 18, 50, 22
INVAR-1, Run: 084, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 170, 13, 15, 168, 9, 6, 2, 10, 7, 18, 134, 65
INVAR-1, Run: 085, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 82, 5, 13, 74, 9, 4, 4, 13, 5, 18, 56, 24
INVAR-1, Run: 086, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 148, 7, 15, 140, 9, 6, 2, 13, 5, 18, 60, 26
INVAR-1, Run: 087, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 107, 9, 15, 101, 9, 4, 4, 12, 5, 18, 46, 19
INVAR-1, Run: 088, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 102, 9, 13, 98, 9, 5, 3, 11, 7, 18, 50, 23
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 136, 5, 11, 130, 9, 3, 5, 12, 6, 18, 24, 9
INVAR-1, Run: 090, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 75, 6, 10, 71, 9, 5, 3, 11, 6, 18, 18, 6
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 186, 5, 11, 180, 9, 7, 1, 12, 6, 18, 80, 37
INVAR-1, Run: 092, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 126, 7, 13, 120, 9, 7, 1, 12, 6, 18, 22, 8
INVAR-1, Run: 093, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 63, 6, 8, 61, 9, 3, 5, 10, 7, 18, 42, 19
INVAR-1, Run: 094, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 84, 5, 11, 78, 9, 8, 0, 12, 6, 18, 54, 24
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 90, 0, 6, 84, 9, 6, 2, 12, 6, 18, 30, 12
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 2, 1, 10, 2, 18, 65, 7, 9, 63, 9, 4, 4, 10, 8, 18, 48, 23
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 10, 1, 14, 10, 18, 180, 7, 17, 170, 9, 5, 3, 14, 4, 18, 26, 8
INVAR-1, Run: 098, P, 1, 0, 1, 0, 0, 0, 0, 0, 56, 4, 1, 11, 5, 18, 152, 4, 8, 148, 9, 6, 2, 11, 6, 18, 48, 21
INVAR-1, Run: 099, P, 0, 0, 4, 0, 0, 0, 0, 0, 58, 4, 1, 11, 8, 18, 122, 6, 10, 118, 9, 4, 4, 11, 5, 18, 34, 13
INVAR-1, Run: 100, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 183, 4, 10, 177, 9, 5, 3, 12, 5, 18, 22, 7
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 36, 1, 118, 36, 200, 5160, 72, 108, 5124, 100, 62, 37, 118, 82, 200, 2846, 1405
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 22, 1, 111, 22, 200, 3701, 61, 83, 3679, 100, 57, 42, 111, 89, 200, 1872, 925
INVAR-10, Run: 003, P, 1, 0, 1, 0, 0, 0, 0, 0, 602, 40, 1, 120, 41, 200, 6373, 54, 94, 6333, 100, 63, 36, 120, 79, 200, 2656, 1307
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 34, 1, 117, 34, 200, 3874, 92, 126, 3840, 100, 64, 35, 117, 83, 200, 2038, 1002
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 32, 1, 116, 32, 200, 4802, 65, 97, 4770, 100, 61, 38, 116, 84, 200, 1968, 968
INVAR-10, Run: 006, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 32, 1, 116, 34, 200, 6044, 78, 110, 6012, 100, 63, 36, 116, 83, 200, 2216, 1091
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 32, 1, 116, 32, 200, 3958, 82, 114, 3926, 100, 51, 48, 116, 84, 200, 2088, 1028
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 30, 1, 115, 30, 200, 4403, 83, 113, 4373, 100, 54, 45, 115, 85, 200, 3184, 1577
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 34, 1, 117, 34, 200, 5646, 68, 102, 5612, 100, 74, 25, 117, 83, 200, 2422, 1194
INVAR-10, Run: 010, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 34, 1, 117, 36, 200, 4386, 68, 102, 4352, 100, 57, 42, 117, 82, 200, 2360, 1162
INVAR-10, Run: 011, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 32, 1, 116, 34, 200, 5627, 76, 108, 5595, 100, 62, 37, 116, 83, 200, 1890, 928
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 26, 1, 113, 26, 200, 4233, 80, 106, 4207, 100, 60, 39, 113, 87, 200, 2888, 1431
INVAR-10, Run: 013, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 26, 1, 113, 28, 200, 4538, 75, 101, 4512, 100, 61, 38, 113, 86, 200, 2458, 1215
INVAR-10, Run: 014, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 36, 1, 118, 38, 200, 3697, 90, 126, 3661, 100, 64, 35, 118, 81, 200, 2104, 1033
INVAR-10, Run: 015, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 40, 1, 120, 42, 200, 5961, 85, 125, 5921, 100, 56, 43, 120, 79, 200, 2716, 1337
INVAR-10, Run: 016, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 34, 1, 117, 36, 200, 4390, 76, 110, 4356, 100, 63, 36, 117, 82, 200, 2962, 1463
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 36, 1, 118, 36, 200, 4523, 54, 90, 4487, 100, 73, 26, 118, 82, 200, 2526, 1245
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 40, 1, 120, 40, 200, 5446, 80, 120, 5406, 100, 63, 36, 120, 80, 200, 1758, 859
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 34, 1, 117, 34, 200, 4061, 71, 105, 4027, 100, 58, 41, 117, 83, 200, 1882, 924
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 42, 1, 121, 42, 200, 5355, 76, 118, 5313, 100, 63, 36, 121, 79, 200, 2330, 1144
INVAR-10, Run: 021, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 32, 1, 116, 34, 200, 4393, 74, 106, 4361, 100, 66, 33, 116, 83, 200, 1676, 821
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 26, 1, 113, 26, 200, 5441, 57, 83, 5415, 100, 56, 43, 113, 87, 200, 2358, 1166
INVAR-10, Run: 023, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 32, 1, 116, 34, 200, 4496, 68, 100, 4464, 100, 65, 34, 116, 83, 200, 2124, 1045
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 30, 1, 115, 30, 200, 4222, 69, 99, 4192, 100, 66, 33, 115, 85, 200, 2870, 1420
INVAR-10, Run: 025, P, 0, 0, 4, 0, 0, 0, 0, 0, 604, 30, 1, 115, 34, 200, 4934, 69, 99, 4904, 100, 63, 36, 115, 83, 200, 3014, 1490
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 38, 1, 119, 38, 200, 5173, 64, 102, 5135, 100, 63, 36, 119, 81, 200, 1940, 951
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 32, 1, 116, 32, 200, 5377, 59, 91, 5345, 100, 61, 38, 116, 84, 200, 3442, 1705
INVAR-10, Run: 028, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 26, 1, 113, 28, 200, 4664, 77, 103, 4638, 100, 67, 32, 113, 86, 200, 2980, 1476
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 32, 1, 116, 32, 200, 4762, 70, 102, 4730, 100, 51, 48, 116, 84, 200, 2822, 1395
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 32, 1, 116, 32, 200, 5078, 92, 124, 5046, 100, 60, 39, 116, 84, 200, 1958, 963
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 34, 1, 117, 34, 200, 5761, 62, 96, 5727, 100, 67, 32, 117, 83, 200, 2108, 1037
INVAR-10, Run: 032, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 30, 1, 115, 32, 200, 3860, 57, 87, 3830, 100, 58, 41, 115, 84, 200, 1732, 850
INVAR-10, Run: 033, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 28, 1, 114, 30, 200, 4351, 62, 90, 4323, 100, 60, 39, 114, 85, 200, 2962, 1466
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 32, 1, 116, 32, 200, 5464, 53, 85, 5432, 100, 67, 32, 116, 84, 200, 2374, 1171
INVAR-10, Run: 035, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 38, 1, 119, 38, 200, 4625, 68, 106, 4587, 100, 61, 38, 119, 81, 200, 2636, 1299
INVAR-10, Run: 036, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 32, 1, 116, 32, 200, 4711, 72, 104, 4679, 100, 62, 37, 116, 84, 200, 2476, 1222
INVAR-10, Run: 037, P, 0, 0, 4, 0, 0, 0, 0, 0, 604, 36, 1, 118, 40, 200, 4496, 65, 101, 4460, 100, 66, 33, 118, 80, 200, 2146, 1053
INVAR-10, Run: 038, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 36, 1, 118, 36, 200, 5668, 76, 112, 5632, 100, 65, 34, 118, 82, 200, 2486, 1225
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 34, 1, 117, 34, 200, 5805, 80, 114, 5771, 100, 64, 35, 117, 83, 200, 2424, 1195
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 28, 1, 114, 28, 200, 4713, 78, 106, 4685, 100, 70, 29, 114, 86, 200, 1796, 884
INVAR-10, Run: 041, P, 0, 0, 2, 0, 0, 0, 0, 0, 602, 30, 1, 115, 32, 200, 3566, 66, 96, 3536, 100, 68, 31, 115, 84, 200, 1946, 957
INVAR-10, Run: 042, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 30, 1, 115, 30, 200, 4745, 74, 104, 4715, 100, 63, 36, 115, 85, 200, 3016, 1493
INVAR-10, Run: 043, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 32, 1, 116, 32, 200, 5945, 97, 129, 5913, 100, 70, 29, 116, 84, 200, 2984, 1476
INVAR-10, Run: 044, P, 0, 0, 0, 0, 0, 0, 0, 0, 600, 26, 1, 113, 26, 200, 6035, 65, 91, 6009, 100, 50, 49, 113, 87, 200, 1586, 780
