Input Number, Run_Number, Result@ 100, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AIuAJab, AGuAIab, Leaderai, AIuAJX1, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-12, Run: 097, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 1, 0, 0, 47, 8, 48, 8, 0, 0, 2, 1, 0, 48, 6, 50, 7, 1, 1, 0, 1, 0, 0, 9, 2, 9, 2, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 1, 0, 4, 0, 1, 5, 1, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-12, Run: 098, P, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 5, 0, 6, 1, 0, 1, 1, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0, 0, 0, 4, 3, 5, 4, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 6, 0, 1, 7, 2, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 9, 3, 10, 1, 4, 1
INVAR-12, Run: 099, P, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 1, 0, 1, 0, 0, 0, 9, 6, 10, 7, 1, 1, 0, 0, 0, 0, 26, 4, 27, 5, 1, 0, 0, 0, 0, 1, 2, 2, 3, 1, 0, 0, 0, 2, 0, 1, 3, 2, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 1, 5, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-12, Run: 100, P, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 26, 6, 27, 7, 2, 1, 2, 1, 0, 16, 1, 18, 2, 1, 1, 0, 1, 0, 0, 13, 4, 14, 5, 1, 1, 0, 6, 0, 18, 6, 19, 7, 1, 3, 0, 0, 3, 1, 0, 4, 1, 1, 1, 1, 1, 1, 0, 0, 9, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 3, 1, 4, 1, 1, 0
INVAR-13, Run: 001, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 6, 6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 0, 3, 0, 0, 7, 2, 8, 3, 2, 1, 6, 0, 0, 60, 22, 61, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 4, 2, 1, 0, 3, 0, 0, 9, 4, 11, 5, 2, 1, 4, 2, 0, 30, 8, 33, 9, 1, 1, 0, 3, 0, 0, 3, 1, 4, 2, 1, 0, 0, 4, 0, 10, 6, 11, 7, 1, 6, 0, 0, 17, 0, 2, 18, 3, 1, 1, 1, 1, 1, 3, 0, 7, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 1, 10, 1, 12, 2, 1, 0, 0, 0, 10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 003, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 3, 0, 0, 2, 3, 3, 4, 2, 1, 3, 3, 0, 4, 1, 8, 2, 1, 1, 1, 3, 0, 0, 7, 6, 8, 7, 1, 0, 0, 2, 0, 11, 6, 12, 7, 1, 5, 0, 1, 2, 0, 0, 4, 2, 1, 1, 1, 1, 1, 2, 0, 6, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 3, 11, 4, 1, 1, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 5, 3, 0, 0, 3, 0, 0, 25, 5, 26, 6, 0, 1, 5, 1, 0, 3, 1, 5, 2, 1, 1, 1, 3, 0, 0, 0, 1, 1, 2, 1, 0, 0, 11, 0, 5, 2, 6, 3, 1, 3, 2, 1, 8, 4, 4, 12, 6, 1, 1, 1, 1, 1, 1, 0, 13, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 6, 15, 3, 18, 4, 1, 2, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 005, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 1, 0, 19, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 3, 0, 0, 2, 0, 3, 1, 1, 1, 6, 0, 0, 5, 2, 6, 3, 1, 1, 0, 2, 0, 1, 18, 10, 20, 12, 1, 0, 0, 20, 0, 15, 3, 16, 3, 0, 6, 0, 0, 5, 5, 1, 6, 2, 1, 1, 1, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 006, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 1, 0, 3, 0, 0, 15, 2, 17, 3, 2, 1, 4, 2, 0, 9, 1, 12, 2, 1, 1, 0, 3, 0, 0, 5, 2, 6, 3, 1, 0, 0, 13, 0, 27, 4, 28, 5, 1, 4, 1, 0, 0, 5, 0, 2, 1, 1, 1, 1, 1, 1, 0, 0, 16, 0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 6, 23, 5, 24, 5, 0, 3, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
