Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, CO, D, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 7, 5, 0, 9, 4, 4, 8, 9, 18, 166, 83
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 12, 10, 0, 9, 3, 5, 8, 9, 18, 66, 33
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 7, 5, 0, 9, 5, 3, 8, 9, 18, 260, 130
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 54, 4, 1, 4, 7, 0, 18, 0, 12, 8, 0, 9, 3, 5, 7, 9, 18, 216, 108
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 5, 3, 0, 9, 8, 0, 8, 9, 18, 202, 101
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 5, 3, 9, 9, 18, 118, 59
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 6, 2, 9, 9, 18, 248, 124
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 5, 5, 0, 9, 6, 2, 9, 9, 18, 246, 123
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 6, 6, 0, 9, 5, 3, 9, 9, 18, 328, 164
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 4, 4, 9, 9, 18, 78, 39
