Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, CO, D, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 7, 5, 0, 9, 8, 0, 8, 9, 18, 36, 18
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 1, 1, 0, 9, 4, 4, 9, 9, 18, 356, 178
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 13, 13, 0, 9, 6, 2, 9, 9, 18, 82, 41
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 9, 7, 0, 9, 6, 2, 8, 9, 18, 200, 100
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 5, 5, 0, 9, 6, 2, 9, 9, 18, 230, 115
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 2, 2, 0, 9, 5, 3, 9, 9, 18, 244, 122
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 6, 2, 9, 9, 18, 138, 69
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 6, 4, 0, 9, 4, 4, 8, 9, 18, 84, 42
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 5, 3, 0, 9, 4, 4, 8, 9, 18, 266, 133
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 6, 2, 9, 9, 18, 90, 45
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 8, 6, 0, 9, 5, 3, 8, 9, 18, 82, 41
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 7, 7, 0, 9, 5, 3, 9, 9, 18, 350, 175
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 7, 5, 0, 9, 5, 3, 8, 9, 18, 76, 38
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 1, 1, 0, 9, 5, 3, 9, 9, 18, 356, 178
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 6, 6, 0, 9, 6, 2, 9, 9, 18, 110, 55
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 5, 3, 0, 9, 6, 2, 8, 9, 18, 106, 53
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 6, 6, 0, 9, 8, 0, 9, 9, 18, 90, 45
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 10, 10, 0, 9, 5, 3, 9, 9, 18, 382, 191
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 8, 6, 0, 9, 4, 4, 8, 9, 18, 226, 113
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 7, 7, 0, 9, 5, 3, 9, 9, 18, 294, 147
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 1, 1, 0, 9, 7, 1, 9, 9, 18, 88, 44
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 6, 4, 0, 9, 3, 5, 8, 9, 18, 204, 102
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 10, 8, 0, 9, 6, 2, 8, 9, 18, 156, 78
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 5, 3, 0, 9, 3, 5, 8, 9, 18, 70, 35
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 8, 6, 0, 9, 5, 3, 8, 9, 18, 158, 79
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 4, 2, 0, 9, 5, 3, 8, 9, 18, 138, 69
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 5, 3, 9, 9, 18, 50, 25
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 2, 6, 9, 9, 18, 84, 42
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 9, 7, 0, 9, 5, 3, 8, 9, 18, 66, 33
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 7, 7, 0, 9, 5, 3, 9, 9, 18, 148, 74
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 8, 6, 0, 9, 6, 2, 8, 9, 18, 58, 29
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 14, 12, 0, 9, 4, 4, 8, 9, 18, 290, 145
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 12, 10, 0, 9, 7, 1, 8, 9, 18, 140, 70
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 7, 7, 0, 9, 4, 4, 9, 9, 18, 210, 105
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 11, 9, 0, 9, 5, 3, 8, 9, 18, 152, 76
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 6, 4, 0, 9, 6, 2, 8, 9, 18, 326, 163
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 6, 2, 9, 9, 18, 162, 81
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 8, 6, 0, 9, 4, 4, 8, 9, 18, 102, 51
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 7, 5, 0, 9, 5, 3, 8, 9, 18, 196, 98
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 13, 13, 0, 9, 6, 2, 9, 9, 18, 60, 30
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 7, 1, 9, 9, 18, 272, 136
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 13, 11, 0, 9, 3, 5, 8, 9, 18, 198, 99
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 2, 2, 0, 9, 5, 3, 9, 9, 18, 212, 106
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 10, 10, 0, 9, 6, 2, 9, 9, 18, 100, 50
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 15, 15, 0, 9, 3, 5, 9, 9, 18, 194, 97
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 6, 4, 0, 9, 5, 3, 8, 9, 18, 252, 126
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 8, 6, 0, 9, 7, 1, 8, 9, 18, 80, 40
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 6, 6, 0, 9, 5, 3, 9, 9, 18, 272, 136
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 8, 8, 0, 9, 3, 5, 9, 9, 18, 146, 73
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 2, 2, 0, 9, 5, 3, 9, 9, 18, 50, 25
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 5, 3, 9, 9, 18, 132, 66
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 7, 5, 0, 9, 7, 1, 8, 9, 18, 100, 50
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 7, 7, 0, 9, 8, 0, 9, 9, 18, 610, 305
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 7, 7, 0, 9, 5, 3, 9, 9, 18, 246, 123
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 0, 54, 4, 1, 4, 7, 0, 18, 0, 11, 7, 0, 9, 4, 4, 7, 9, 18, 106, 53
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 1, 1, 0, 9, 4, 4, 9, 9, 18, 64, 32
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 7, 7, 0, 9, 4, 4, 9, 9, 18, 50, 25
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 2, 2, 0, 9, 5, 3, 9, 9, 18, 170, 85
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 11, 9, 0, 9, 6, 2, 8, 9, 18, 202, 101
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 7, 1, 9, 9, 18, 152, 76
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 10, 8, 0, 9, 3, 5, 8, 9, 18, 72, 36
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 5, 5, 0, 9, 5, 3, 9, 9, 18, 76, 38
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 9, 9, 0, 9, 7, 1, 9, 9, 18, 166, 83
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 5, 3, 0, 9, 7, 1, 8, 9, 18, 250, 125
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 8, 6, 0, 9, 4, 4, 8, 9, 18, 100, 50
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 5, 3, 0, 9, 4, 4, 8, 9, 18, 248, 124
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 5, 3, 0, 9, 6, 2, 8, 9, 18, 210, 105
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 7, 1, 9, 9, 18, 76, 38
INVAR-1, Run: 079, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 5, 3, 0, 9, 7, 1, 8, 9, 18, 80, 40
INVAR-1, Run: 080, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 8, 8, 0, 9, 6, 2, 9, 9, 18, 438, 219
INVAR-1, Run: 081, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 9, 7, 0, 9, 4, 4, 8, 9, 18, 368, 184
INVAR-1, Run: 082, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 8, 8, 0, 9, 4, 4, 9, 9, 18, 152, 76
INVAR-1, Run: 083, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 6, 2, 9, 9, 18, 104, 52
INVAR-1, Run: 084, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 7, 1, 9, 9, 18, 392, 196
INVAR-1, Run: 085, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 7, 5, 0, 9, 3, 5, 8, 9, 18, 86, 43
INVAR-1, Run: 086, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 3, 5, 9, 9, 18, 158, 79
INVAR-1, Run: 087, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 5, 3, 0, 9, 3, 5, 8, 9, 18, 498, 249
INVAR-1, Run: 088, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 6, 6, 0, 9, 6, 2, 9, 9, 18, 234, 117
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 4, 4, 9, 9, 18, 104, 52
INVAR-1, Run: 090, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 6, 6, 0, 9, 5, 3, 9, 9, 18, 146, 73
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 9, 7, 0, 9, 5, 3, 8, 9, 18, 138, 69
INVAR-1, Run: 092, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 7, 7, 0, 9, 5, 3, 9, 9, 18, 630, 315
INVAR-1, Run: 093, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 5, 3, 9, 9, 18, 210, 105
INVAR-1, Run: 094, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 4, 2, 0, 9, 6, 2, 8, 9, 18, 136, 68
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 6, 2, 9, 9, 18, 388, 194
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 3, 1, 0, 9, 7, 1, 8, 9, 18, 150, 75
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 1, 1, 0, 9, 5, 3, 9, 9, 18, 164, 82
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 6, 4, 0, 9, 7, 1, 8, 9, 18, 76, 38
INVAR-1, Run: 099, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 9, 7, 0, 9, 7, 1, 8, 9, 18, 206, 103
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 3, 1, 0, 9, 7, 1, 8, 9, 18, 146, 73
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 64, 64, 0, 100, 67, 32, 100, 100, 200, 6072, 3036
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 68, 66, 0, 100, 72, 27, 99, 100, 200, 5124, 2562
INVAR-10, Run: 003, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 60, 60, 0, 100, 61, 38, 100, 100, 200, 7082, 3541
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 74, 72, 0, 100, 60, 39, 99, 100, 200, 6900, 3450
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 57, 55, 0, 100, 56, 43, 99, 100, 200, 4824, 2412
INVAR-10, Run: 006, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 79, 77, 0, 100, 65, 34, 99, 100, 200, 5094, 2547
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 64, 64, 0, 100, 59, 40, 100, 100, 200, 4644, 2322
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 69, 69, 0, 100, 61, 38, 100, 100, 200, 5412, 2706
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 60, 60, 0, 100, 69, 30, 100, 100, 200, 5800, 2900
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 81, 81, 0, 100, 67, 32, 100, 100, 200, 6368, 3184
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 53, 53, 0, 100, 62, 37, 100, 100, 200, 4312, 2156
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 64, 64, 0, 100, 69, 30, 100, 100, 200, 4986, 2493
INVAR-10, Run: 013, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 67, 67, 0, 100, 55, 44, 100, 100, 200, 4326, 2163
INVAR-10, Run: 014, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 80, 80, 0, 100, 63, 36, 100, 100, 200, 3758, 1879
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 70, 68, 0, 100, 61, 38, 99, 100, 200, 6038, 3019
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 61, 59, 0, 100, 60, 39, 99, 100, 200, 7540, 3770
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 64, 64, 0, 100, 67, 32, 100, 100, 200, 5472, 2736
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 93, 93, 0, 100, 62, 37, 100, 100, 200, 6404, 3202
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 79, 77, 0, 100, 64, 35, 99, 100, 200, 5372, 2686
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 53, 53, 0, 100, 64, 35, 100, 100, 200, 10256, 5128
INVAR-10, Run: 021, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 76, 74, 0, 100, 65, 34, 99, 100, 200, 7740, 3870
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 90, 88, 0, 100, 59, 40, 99, 100, 200, 6708, 3354
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 0, 600, 4, 1, 4, 98, 0, 200, 0, 59, 55, 0, 100, 55, 44, 98, 100, 200, 4880, 2440
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 58, 56, 0, 100, 61, 38, 99, 100, 200, 5766, 2883
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 45, 45, 0, 100, 75, 24, 100, 100, 200, 6596, 3298
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 600, 4, 1, 4, 98, 0, 200, 0, 70, 66, 0, 100, 61, 38, 98, 100, 200, 5528, 2764
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 53, 53, 0, 100, 68, 31, 100, 100, 200, 9480, 4740
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 56, 56, 0, 100, 59, 40, 100, 100, 200, 5002, 2501
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 52, 50, 0, 100, 77, 22, 99, 100, 200, 8924, 4462
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 80, 78, 0, 100, 69, 30, 99, 100, 200, 5930, 2965
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 79, 79, 0, 100, 59, 40, 100, 100, 200, 5558, 2779
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 59, 59, 0, 100, 66, 33, 100, 100, 200, 5982, 2991
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 76, 76, 0, 100, 62, 37, 100, 100, 200, 4698, 2349
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 75, 73, 0, 100, 48, 51, 99, 100, 200, 5306, 2653
INVAR-10, Run: 035, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 96, 94, 0, 100, 60, 39, 99, 100, 200, 5184, 2592
INVAR-10, Run: 036, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 67, 65, 0, 100, 59, 40, 99, 100, 200, 6404, 3202
INVAR-10, Run: 037, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 60, 58, 0, 100, 59, 40, 99, 100, 200, 6812, 3406
INVAR-10, Run: 038, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 54, 52, 0, 100, 63, 36, 99, 100, 200, 6500, 3250
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 62, 62, 0, 100, 54, 45, 100, 100, 200, 4968, 2484
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 82, 80, 0, 100, 60, 39, 99, 100, 200, 8198, 4099
INVAR-10, Run: 041, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 75, 73, 0, 100, 58, 41, 99, 100, 200, 7176, 3588
INVAR-10, Run: 042, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 66, 66, 0, 100, 73, 26, 100, 100, 200, 7374, 3687
INVAR-10, Run: 043, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 63, 61, 0, 100, 61, 38, 99, 100, 200, 12126, 6063
INVAR-10, Run: 044, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 65, 63, 0, 100, 67, 32, 99, 100, 200, 5180, 2590
INVAR-10, Run: 045, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 54, 52, 0, 100, 63, 36, 99, 100, 200, 5366, 2683
INVAR-10, Run: 046, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 56, 54, 0, 100, 61, 38, 99, 100, 200, 4618, 2309
INVAR-10, Run: 047, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 82, 82, 0, 100, 55, 44, 100, 100, 200, 5946, 2973
INVAR-10, Run: 048, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 69, 67, 0, 100, 64, 35, 99, 100, 200, 4812, 2406
INVAR-10, Run: 049, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 58, 58, 0, 100, 67, 32, 100, 100, 200, 4676, 2338
INVAR-10, Run: 050, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 200, 0, 57, 55, 0, 100, 62, 37, 99, 100, 200, 7798, 3899
INVAR-10, Run: 051, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 200, 0, 67, 67, 0, 100, 61, 38, 100, 100, 200, 3852, 1926
