Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 032, P, 222, 3, 0, 0, 0, 0, 114, 0, 1, 54, 0, 108, 18, 49, 97, 9, 3, 5, 9, 18, 27, 163, 97
INVAR-1, Run: 033, P, 239, 0, 0, 0, 0, 0, 124, 0, 1, 54, 0, 115, 18, 27, 118, 9, 7, 1, 9, 18, 27, 151, 118
INVAR-1, Run: 034, P, 201, 2, 0, 0, 0, 0, 104, 0, 1, 54, 0, 97, 18, 33, 64, 9, 4, 4, 9, 18, 27, 137, 64
INVAR-1, Run: 035, P, 202, 1, 0, 0, 0, 0, 105, 0, 1, 54, 0, 97, 18, 29, 86, 9, 5, 3, 9, 18, 27, 134, 86
INVAR-1, Run: 036, P, 243, 0, 0, 0, 0, 0, 126, 0, 1, 54, 0, 117, 18, 33, 50, 9, 4, 4, 9, 18, 27, 159, 50
INVAR-1, Run: 037, P, 280, 1, 0, 0, 0, 0, 144, 0, 1, 54, 0, 136, 18, 33, 81, 9, 5, 3, 9, 18, 27, 177, 81
INVAR-1, Run: 038, P, 199, 2, 0, 0, 0, 0, 103, 0, 1, 54, 0, 96, 18, 10, 86, 9, 5, 3, 9, 18, 27, 113, 86
INVAR-1, Run: 039, P, 198, 1, 0, 0, 0, 0, 103, 0, 1, 54, 0, 95, 18, 54, 167, 9, 6, 2, 9, 18, 27, 157, 167
INVAR-1, Run: 040, P, 205, 0, 0, 0, 0, 0, 107, 0, 1, 54, 0, 98, 18, 37, 161, 9, 8, 0, 9, 18, 27, 144, 161
INVAR-1, Run: 041, P, 177, 0, 0, 0, 0, 0, 93, 0, 1, 54, 0, 84, 18, 37, 123, 9, 5, 3, 9, 18, 27, 130, 123
INVAR-1, Run: 042, P, 201, 0, 0, 0, 0, 0, 105, 0, 1, 54, 0, 96, 18, 22, 60, 9, 3, 5, 9, 18, 27, 127, 60
INVAR-1, Run: 043, P, 184, 1, 0, 0, 0, 0, 96, 0, 1, 54, 0, 88, 18, 16, 99, 9, 6, 2, 9, 18, 27, 112, 99
INVAR-1, Run: 044, P, 218, 3, 0, 0, 0, 0, 112, 0, 1, 54, 0, 106, 18, 36, 96, 9, 3, 5, 9, 18, 27, 148, 96
INVAR-1, Run: 045, P, 233, 0, 0, 0, 0, 0, 121, 0, 1, 54, 0, 112, 18, 28, 152, 9, 6, 2, 9, 18, 27, 149, 152
INVAR-1, Run: 046, P, 217, 2, 0, 0, 0, 0, 112, 0, 1, 54, 0, 105, 18, 39, 60, 9, 4, 4, 9, 18, 27, 151, 60
INVAR-1, Run: 047, P, 202, 1, 0, 0, 0, 0, 105, 0, 1, 54, 0, 97, 18, 20, 97, 9, 6, 2, 9, 18, 27, 125, 97
INVAR-1, Run: 048, P, 194, 1, 0, 0, 0, 0, 101, 0, 1, 54, 0, 93, 18, 22, 79, 9, 6, 2, 9, 18, 27, 123, 79
INVAR-1, Run: 049, P, 231, 0, 0, 0, 0, 0, 120, 0, 1, 54, 0, 111, 18, 18, 60, 9, 5, 3, 9, 18, 27, 138, 60
INVAR-1, Run: 050, P, 215, 0, 0, 0, 0, 0, 112, 0, 1, 54, 0, 103, 18, 19, 104, 9, 6, 2, 9, 18, 27, 131, 104
INVAR-1, Run: 051, P, 213, 2, 0, 0, 0, 0, 110, 0, 1, 54, 0, 103, 18, 22, 84, 9, 5, 3, 9, 18, 27, 132, 84
INVAR-1, Run: 052, P, 175, 0, 0, 0, 0, 0, 92, 0, 1, 54, 0, 83, 18, 22, 113, 9, 7, 1, 9, 18, 27, 114, 113
INVAR-1, Run: 053, P, 229, 2, 0, 0, 0, 0, 118, 0, 1, 54, 0, 111, 18, 16, 90, 9, 7, 1, 9, 18, 27, 134, 90
INVAR-1, Run: 054, P, 212, 1, 0, 0, 0, 0, 110, 0, 1, 54, 0, 102, 18, 33, 145, 9, 6, 2, 9, 18, 27, 143, 145
INVAR-1, Run: 055, P, 211, 0, 0, 0, 0, 0, 110, 0, 1, 54, 0, 101, 18, 28, 95, 9, 3, 5, 9, 18, 27, 138, 95
INVAR-1, Run: 056, P, 195, 2, 0, 0, 0, 0, 101, 0, 1, 54, 0, 94, 18, 27, 116, 9, 8, 0, 9, 18, 27, 128, 116
INVAR-1, Run: 057, P, 200, 1, 0, 0, 0, 0, 104, 0, 1, 54, 0, 96, 18, 55, 148, 9, 5, 3, 9, 18, 27, 159, 148
INVAR-1, Run: 058, P, 243, 0, 0, 0, 0, 0, 126, 0, 1, 54, 0, 117, 18, 16, 98, 9, 7, 1, 9, 18, 27, 142, 98
INVAR-1, Run: 059, P, 211, 0, 0, 0, 0, 0, 110, 0, 1, 54, 0, 101, 18, 16, 135, 9, 6, 2, 9, 18, 27, 126, 135
INVAR-1, Run: 060, P, 212, 3, 0, 0, 0, 0, 109, 0, 1, 54, 0, 103, 18, 21, 90, 9, 7, 1, 9, 18, 27, 130, 90
