Input Number, Run_Number, Result@ 100, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 17, 8, 1, 0, 8, 1, 0, 3, 2, 6, 3, 1, 1, 18, 0, 0, 31, 5, 32, 6, 1, 1, 0, 9, 0, 0, 2, 1, 3, 2, 1, 0, 0, 11, 0, 14, 3, 15, 4, 1, 17, 1, 0, 23, 0, 9, 25, 10, 1, 1, 1, 1, 1, 6, 0, 13, 0, 31, 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 5, 2, 1, 3, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 15, 9, 0, 0, 8, 1, 0, 2, 0, 4, 1, 3, 1, 18, 0, 0, 6, 0, 7, 1, 1, 1, 0, 8, 1, 0, 4, 1, 6, 2, 1, 0, 0, 2, 0, 13, 5, 14, 6, 1, 17, 1, 0, 16, 0, 2, 18, 3, 1, 1, 1, 1, 1, 3, 1, 6, 0, 31, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 3, 7, 4, 1, 5, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 13, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 5, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 1, 0, 2, 0, 0, 26, 5, 28, 6, 0, 1, 5, 0, 0, 14, 3, 15, 4, 1, 1, 0, 2, 0, 0, 57, 14, 57, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 2, 0, 1, 4, 2, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 17, 8, 1, 0, 8, 1, 0, 4, 1, 7, 2, 1, 1, 18, 0, 0, 11, 7, 12, 8, 1, 1, 0, 9, 0, 0, 12, 2, 13, 3, 1, 0, 0, 5, 0, 22, 12, 23, 13, 1, 17, 1, 0, 29, 0, 11, 31, 12, 1, 1, 1, 1, 1, 1, 0, 7, 0, 26, 1, 1, 0, 0, 0, 0, 0, 0, 1, 24, 5, 27, 7, 1, 8, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 1, 0, 8, 0, 0, 1, 0, 3, 1, 5, 1, 18, 0, 0, 5, 1, 6, 2, 1, 1, 0, 8, 1, 0, 49, 23, 51, 24, 1, 0, 0, 4, 0, 9, 2, 10, 3, 1, 18, 0, 0, 2, 0, 2, 3, 3, 1, 1, 1, 1, 1, 2, 0, 10, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 9, 0, 0, 7, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 16, 8, 1, 0, 8, 1, 0, 0, 0, 3, 1, 2, 1, 18, 0, 0, 14, 2, 15, 3, 1, 1, 0, 9, 0, 0, 2, 1, 3, 2, 1, 0, 0, 5, 0, 12, 8, 13, 9, 1, 14, 2, 2, 1, 0, 0, 6, 3, 1, 1, 1, 1, 1, 3, 0, 8, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 1, 6, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 17, 9, 0, 0, 7, 1, 1, 7, 0, 10, 2, 1, 1, 18, 0, 0, 17, 4, 18, 5, 1, 1, 0, 8, 1, 0, 3, 2, 5, 3, 1, 0, 0, 12, 0, 2, 1, 3, 2, 1, 17, 1, 0, 26, 1, 5, 28, 6, 1, 1, 1, 1, 1, 5, 1, 14, 0, 27, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 6, 2, 1, 3, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 16, 8, 1, 0, 8, 1, 0, 3, 1, 6, 2, 2, 1, 18, 0, 0, 30, 7, 31, 8, 1, 1, 0, 9, 0, 0, 17, 4, 18, 5, 1, 0, 0, 4, 0, 10, 1, 11, 2, 1, 15, 3, 0, 24, 3, 7, 28, 8, 1, 1, 1, 1, 1, 4, 0, 7, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 1, 6, 2, 1, 5, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 18, 7, 2, 0, 9, 0, 0, 2, 0, 5, 1, 0, 1, 18, 0, 0, 31, 6, 32, 7, 1, 1, 0, 9, 0, 0, 9, 3, 10, 4, 1, 0, 0, 2, 0, 4, 0, 5, 1, 1, 18, 0, 0, 11, 0, 3, 12, 4, 1, 1, 1, 1, 1, 7, 0, 3, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 0, 18, 1, 1, 2, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 15, 9, 0, 0, 8, 1, 0, 5, 1, 7, 2, 2, 1, 18, 0, 0, 6, 0, 7, 1, 1, 1, 1, 9, 0, 0, 13, 1, 14, 2, 1, 0, 0, 6, 0, 6, 1, 7, 2, 1, 17, 1, 0, 19, 1, 7, 21, 8, 1, 1, 1, 1, 1, 7, 0, 10, 0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 3, 1, 1, 2, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
